DATE,ACTUAL_VALUE,D+1
2023-12-01 20:00:00,17.73,13.915075566175178
2023-12-02 20:00:00,12.0,15.797137227481453
2023-12-03 20:00:00,10.26,11.324207018679012
2023-12-04 20:00:00,10.87,10.751894469779781
2023-12-05 20:00:00,9.91,11.425834779040686
2023-12-06 20:00:00,10.17,11.352842948986712
2023-12-07 20:00:00,9.4,10.074611857921282
2023-12-08 20:00:00,9.5,10.685197555883223
2023-12-09 20:00:00,19.4,7.458102898074433
2023-12-10 20:00:00,10.46,14.857263217677593
2023-12-11 20:00:00,10.59,10.506064359492694
2023-12-12 20:00:00,9.47,11.703112687761394
2023-12-13 20:00:00,9.02,10.664805668468626
2023-12-14 20:00:00,8.5,10.715675966724643
2023-12-15 20:00:00,8.0,7.823106404553506
2023-12-16 20:00:00,7.79,7.8331491537944995
2023-12-17 20:00:00,7.62,8.248418699106304
2023-12-18 20:00:00,8.19,7.818019372114232
2023-12-19 20:00:00,7.39,8.48080772547187
2023-12-20 20:00:00,6.92,7.174667519086831
2023-12-21 20:00:00,6.27,6.123652558660939
2023-12-22 20:00:00,10.47,6.654989941473959
2023-12-23 20:00:00,15.2,9.417678084513527
2023-12-24 20:00:00,12.96,9.551309896157298
2023-12-25 20:00:00,12.1,11.390654169456687
2023-12-26 20:00:00,10.74,12.14525072544537
2023-12-27 20:00:00,10.13,9.868603775284537
2023-12-28 20:00:00,8.68,10.209403689015563
2023-12-29 20:00:00,8.05,9.33207239266933
2023-12-30 20:00:00,12.77,10.495470299571787
2023-12-31 20:00:00,9.56,10.543643143399958
2024-01-01 20:00:00,8.51,10.324134252622574
2024-01-02 20:00:00,8.43,8.547171984797584
2024-01-03 20:00:00,8.12,9.64117086126784
2024-01-04 20:00:00,8.54,10.527606864465994
2024-01-05 20:00:00,7.68,8.538350688892068
2024-01-06 20:00:00,7.01,8.057922594206302
2024-01-07 20:00:00,6.34,7.600135521702884
2024-01-08 20:00:00,6.78,7.380839878621264
2024-01-09 20:00:00,6.43,8.039688924425269
2024-01-10 20:00:00,6.24,7.301703031025862
2024-01-11 20:00:00,6.0,6.925371447333906
2024-01-12 20:00:00,5.87,6.034652633350172
2024-01-13 20:00:00,5.32,5.147857223948827
2024-01-14 20:00:00,4.67,5.362243640413949
2024-01-15 20:00:00,5.47,5.475749059307812
2024-01-16 20:00:00,5.71,5.767920584589538
2024-01-17 20:00:00,6.45,6.354888940946227
2024-01-18 20:00:00,5.54,5.766656160252838
2024-01-19 20:00:00,4.97,5.090052377831684
2024-01-20 20:00:00,6.9,5.230216922558767
2024-01-21 20:00:00,5.53,5.474747146207294
2024-01-22 20:00:00,5.16,5.223875519878719
2024-01-23 20:00:00,5.57,5.208123916351248
2024-01-24 20:00:00,4.91,5.371081442685204
2024-01-25 20:00:00,8.93,6.324833773314203
2024-01-26 20:00:00,5.75,6.693947822385863
2024-01-27 20:00:00,6.92,6.54263618845168
2024-01-28 20:00:00,5.68,6.184478376052705
2024-01-29 20:00:00,6.87,6.985606823899609
2024-01-30 20:00:00,5.78,6.194673490125617
2024-01-31 20:00:00,5.45,5.486875082869946
2024-02-01 20:00:00,5.77,6.223891088746791
2024-02-02 20:00:00,5.04,5.04768617240815
2024-02-03 20:00:00,5.25,5.018931914218406
2024-02-04 20:00:00,4.42,4.63103345566657
2024-02-05 20:00:00,4.6,4.7787123872125346
2024-02-06 20:00:00,4.24,4.734316576771983
2024-02-07 20:00:00,7.2,5.922894115956393
2024-02-08 20:00:00,5.45,6.408244230379257
2024-02-09 20:00:00,4.61,5.519919595396212
2024-02-10 20:00:00,3.99,5.058275785425307
2024-02-11 20:00:00,3.64,4.65750935286525
2024-02-12 20:00:00,3.79,4.046561529677272
2024-02-13 20:00:00,3.72,4.208572076097732
2024-02-14 20:00:00,3.29,3.9177143642040457
2024-02-15 20:00:00,3.12,3.570201513002625
2024-02-16 20:00:00,2.96,3.256739195668211
2024-02-17 20:00:00,4.82,3.802789615566749
2024-02-18 20:00:00,3.88,3.720124871957561
2024-02-19 20:00:00,4.27,3.6948832494460704
2024-02-20 20:00:00,3.92,3.774698846160046
2024-02-21 20:00:00,3.78,3.5775207315513615
2024-02-22 20:00:00,3.51,3.3429418975250202
2024-02-23 20:00:00,29.08,4.145707711820736
2024-02-24 20:00:00,8.73,13.87602625025299
2024-02-25 20:00:00,6.31,7.515543221254388
2024-02-26 20:00:00,5.73,7.038261809359811
2024-02-27 20:00:00,5.37,7.140470368393296
2024-02-28 20:00:00,5.36,5.745599494594159
2024-02-29 20:00:00,4.9,5.414947712940786
2024-03-01 20:00:00,4.74,5.412566862673583
2024-03-02 20:00:00,4.43,4.786119543253799
2024-03-03 20:00:00,4.17,5.150468912107004
2024-03-04 20:00:00,4.94,4.597016829062417
2024-03-05 20:00:00,4.6,5.122290489452951
2024-03-06 20:00:00,4.54,4.8220356973676495
2024-03-07 20:00:00,4.14,4.291528508793199
2024-03-08 20:00:00,4.05,3.8622786576315793
2024-03-09 20:00:00,3.87,4.071705549647869
2024-03-10 20:00:00,3.46,3.833014850131708
2024-03-11 20:00:00,4.4,4.285553573463761
2024-03-12 20:00:00,4.63,4.88498121853946
2024-03-13 20:00:00,4.16,4.231551503510622
2024-03-14 20:00:00,4.32,3.979091299357162
2024-03-15 20:00:00,5.31,4.117989699828645
2024-03-16 20:00:00,6.8,5.0521010486686375
2024-03-17 20:00:00,4.91,5.918540198793871
2024-03-18 20:00:00,6.12,5.349019585900884
2024-03-19 20:00:00,6.29,6.078574840094999
2024-03-20 20:00:00,8.27,6.217127825745902
2024-03-21 20:00:00,6.84,6.883697696460901
2024-03-22 20:00:00,6.64,6.330145518996574
2024-03-23 20:00:00,8.3,5.382047580468072
2024-03-24 20:00:00,5.99,6.896918619236496
2024-03-25 20:00:00,13.13,7.081066219863534
2024-03-26 20:00:00,8.15,9.800524294138588
2024-03-27 20:00:00,8.28,8.274438232760124
2024-03-28 20:00:00,11.21,7.077224721359903
2024-03-29 20:00:00,9.2,11.193773901294852
2024-03-30 20:00:00,8.93,8.80849926349017
2024-03-31 20:00:00,10.62,9.789948655050505
2024-04-01 20:00:00,8.32,8.487986405112714
2024-04-02 20:00:00,8.15,8.518771807517721
2024-04-03 20:00:00,9.27,8.79181265311743
2024-04-04 20:00:00,7.88,8.601900956297303
2024-04-05 20:00:00,7.09,7.564182549125661
2024-04-06 20:00:00,7.17,7.374877854128637
2024-04-07 20:00:00,6.66,8.80446858971759
2024-04-08 20:00:00,7.44,7.2294324825285186
2024-04-09 20:00:00,7.5,6.82463634626328
2024-04-10 20:00:00,17.04,8.609473445680928
2024-04-11 20:00:00,20.14,12.901923222597084
2024-04-12 20:00:00,21.2,14.023815731115082
2024-04-13 20:00:00,16.43,14.541255866552934
2024-04-14 20:00:00,14.01,17.041412009349223
2024-04-15 20:00:00,13.04,11.318907705575173
2024-04-16 20:00:00,33.96,15.966777956027196
2024-04-17 20:00:00,30.8,27.33953215876627
