MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,N_OBSERVATIONS,MEAN_ERROR_BIAS,MEDIAN_ERROR_BIAS,ERROR_STD,ERROR_VAR,ABS_ERROR_MEAN,ABS_ERROR_MEDIAN,PREDICTION_STD,ACTUAL_STD,ERROR_AUTOCORR_LAG1
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,00_04,NEG,AVERAGE,168.0,ensemble,243,-0.4003936345679012,0.032599000000001155,2.9072637018219565,8.452182231931506,1.6524654526748972,0.8726380000000002,5.313299253297105,6.010759859506859,0.023677441530462248
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,00_04,NEG,MARGINAL,168.0,ensemble,243,-1.070194851851852,0.6942877000000003,6.8960779554566,47.55589116773448,3.3632216238683124,1.2738378,7.0909570981199925,10.552818626231158,-0.06186471061117613
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,00_04,POS,AVERAGE,168.0,ensemble,243,1.778490222222222,1.4291166,1.5458982740496336,2.3898014737096362,1.8546769802469134,1.4392243000000002,2.421144762777731,1.7587844462463593,0.5256950915000621
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,00_04,POS,MARGINAL,168.0,ensemble,243,2.371035291358025,2.0622787000000002,2.7426681053447326,7.522228336075266,2.7836177893004113,2.1087162999999993,3.2081744277102953,2.8277430295569976,0.37532649244894567
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,NEG,AVERAGE,168.0,ensemble,243,0.5833993530864198,0.5914779999999986,1.2437828058825053,1.546995668208958,0.9396950082304527,0.6467579999999997,4.157346872672732,4.010206206432753,-0.0958079982022489
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,NEG,MARGINAL,168.0,ensemble,243,0.1850417913580247,0.4153209999999996,4.635912275302842,21.49168262430358,1.8584940176954732,0.7321977000000004,6.894760357196782,7.568635942132023,-0.021022438502735243
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,AVERAGE,168.0,ensemble,243,-1.03644354691358,-0.5666565000000006,4.039980763277281,16.32144456765048,2.1956875041152264,1.361927999999999,3.498296332028305,4.976233944206753,0.2182037182531025
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,MARGINAL,168.0,ensemble,243,-3.1633540432098766,-0.3815355,20.40622703392739,416.41410176018906,5.114325686008231,2.0958869999999994,3.972698340684223,20.651499955769342,0.06686632083417783
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,AVERAGE,168.0,ensemble,243,-1.4353709860082304,0.05849800000000016,4.34830748781148,18.907778008557383,2.5755839522633748,1.1641785999999996,7.639128023399644,10.560167175756378,0.5197411908083797
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,MARGINAL,168.0,ensemble,243,-3.862023183950617,-0.3688536,16.550480401372614,273.91840151621903,6.396474941152262,2.445805,9.520827621550708,21.835945348868762,0.19368282970048167
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,AVERAGE,168.0,ensemble,243,-2.8365493720164605,-0.22250299999999967,8.054701408325426,64.8782147772796,3.9047810057613166,1.367794,6.425936312006264,10.609856590555522,0.24901541821465456
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,MARGINAL,168.0,ensemble,243,-4.563580152263373,0.4793769999999995,16.45645098695711,270.8147790861216,7.636297190946502,2.5768500000000003,8.855257173100226,19.567372197604406,0.18425947194217293
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,AVERAGE,168.0,ensemble,243,-2.4546014455555554,-0.8174300000000017,5.468494512756252,29.90443223604524,3.3606622307407408,1.0433499999999967,19.582956995051937,21.644676250389573,0.24596187465726357
