MODEL_BASE,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,BASELINE_STRATEGY,COMPARE_STRATEGY,RMSE_SINGLE,RMSE_COMPARE,MAE_SINGLE,MAE_COMPARE,REVENUE_SINGLE,REVENUE_COMPARE,RMSE_IMPROVEMENT_PCT,MAE_IMPROVEMENT_PCT,REVENUE_IMPROVEMENT_PCT
bidirectional_lstm,00_04,NEG,AVERAGE,42.0,single,ensemble,2.7168798121220497,3.02721296695634,1.4532732666666668,1.815154344444444,5.315312727599999,4.6581077432,-11.42241012832662,-24.901103328475447,-12.364370980232877
bidirectional_lstm,00_04,NEG,AVERAGE,42.0,single,recency,2.7168798121220497,3.021777930837544,1.4532732666666668,1.7941706201646088,5.315312727599999,4.5524410348,-11.222363144483388,-23.457209412504298,-14.352338834905307
bidirectional_lstm,00_04,NEG,AVERAGE,168.0,single,ensemble,2.857917653297584,2.928773574656164,1.5656450707818932,1.6524654526748972,4.8670547424,5.2682251476,-2.4792849184028616,-5.545342524512618,8.242570228461794
bidirectional_lstm,00_04,NEG,AVERAGE,168.0,single,recency,2.857917653297584,2.842424679830912,1.5656450707818932,1.6786533473251029,4.8670547424,4.831939246,0.5421070634696484,-7.218000979415636,-0.7214937628312705
bidirectional_lstm,00_04,NEG,MARGINAL,42.0,single,ensemble,7.173788116851449,7.049857716345283,3.85190599218107,3.594376687242798,3.801106298,3.6646587228,1.727544757212014,6.685762982300904,-3.589680595667468
bidirectional_lstm,00_04,NEG,MARGINAL,42.0,single,recency,7.173788116851449,7.195237444881938,3.85190599218107,3.6324480810699593,3.801106298,3.6404091512,-0.2989958398702125,5.697384919481039,-4.227641486494415
bidirectional_lstm,00_04,NEG,MARGINAL,168.0,single,ensemble,6.6001657396086095,6.964589358521462,3.248834266666667,3.3632216238683124,3.7392763344,3.82123968,-5.521431329002706,-3.520873883142332,2.1919574342759005
bidirectional_lstm,00_04,NEG,MARGINAL,168.0,single,recency,6.6001657396086095,6.921801682927303,3.248834266666667,3.626919532098765,3.7392763344,3.2676266160000007,-4.873149493633263,-11.637567028619683,-12.613395647200266
bidirectional_lstm,00_04,POS,AVERAGE,42.0,single,ensemble,1.089059861751312,1.3886474937014854,0.6282638234567902,1.0091394144032924,2.4907813704,1.4736022076000002,-27.508830549351792,-60.62351144951727,-40.837753762252085
bidirectional_lstm,00_04,POS,AVERAGE,42.0,single,recency,1.089059861751312,1.0584933601477378,0.6282638234567902,0.6405538337448561,2.4907813704,2.139380796,2.806687003818181,-1.9561862117803654,-14.108045715131063
