MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,LEVEL_BIN,N_OBSERVATIONS,BIN_MIN_ACTUAL,BIN_MAX_ACTUAL,BIN_MEAN_ACTUAL,MAE,RMSE,MEAN_ERROR
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,AVERAGE,168.0,ensemble,"(13.612, 51.57]",49,13.64,51.569984,17.557550265306123,5.453331330612245,8.56875394456362,-4.356447942857143
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,AVERAGE,168.0,ensemble,"(2.839, 7.388]",49,2.84,7.379999,5.50387698367347,1.1360095142857145,1.237817697377611,1.003482844897959
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,AVERAGE,168.0,ensemble,"(7.388, 9.658]",48,7.4000006,9.65,8.608124208333333,0.8376107291666669,1.0769729667929882,0.29566872916666687
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,AVERAGE,168.0,ensemble,"(9.658, 11.234]",49,9.659998,11.23,10.438162653061225,1.2981588285714285,1.646371599990527,-0.7449436857142857
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,MARGINAL,168.0,ensemble,"(10.548, 13.016]",49,10.559999,13.009998,11.796734275510206,1.534217775510204,1.9356797963399957,-0.42714485714285716
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,MARGINAL,168.0,ensemble,"(13.016, 16.802]",48,13.040002,16.729998,14.502082625,3.1049286666666673,3.6880691642318144,-2.156707791666667
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,MARGINAL,168.0,ensemble,"(16.802, 304.39]",49,16.85,304.38998,31.03897855102041,16.939339459183675,45.576169603681166,-16.486748316326533
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,MARGINAL,168.0,ensemble,"(3.2390000000000003, 8.28]",49,3.2399995,8.2,6.259591726530612,2.287917951020408,2.528044774236198,2.2601119102040816
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,MARGINAL,168.0,ensemble,"(8.28, 10.548]",48,8.400001,10.499997,9.603124458333333,1.5923392000000003,2.380686822421992,1.1012963208333335
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,AVERAGE,168.0,ensemble,"(1.1190000000000002, 1.95]",49,1.12,1.9099998,1.53571423877551,0.3557056857142857,0.5279161699961172,0.31255041632653063
