MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,SPIKE_QUANTILE,SPIKE_THRESHOLD,N_ALL,N_SPIKES,N_NON_SPIKES,RMSE_ALL,MAE_ALL,RMSE_SPIKES,MAE_SPIKES,RMSE_NON_SPIKES,MAE_NON_SPIKES,SPIKE_RMSE_PREMIUM
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,AVERAGE,168.0,ensemble,0.95,40.626993999999996,243,13,230,8.52392154932156,3.9047810057613166,31.769220983387047,28.102980615384606,4.440439045129559,2.53705668,3.7270663273426816
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,MARGINAL,168.0,ensemble,0.95,65.84398649999996,243,13,230,17.04484023922748,7.636297190946502,64.21108261806509,59.19005192307692,8.596798681445513,4.722389314782609,3.7671859469992497
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,AVERAGE,168.0,ensemble,0.95,63.1119874,243,13,230,5.983848008215485,3.3606622307407408,13.84221278095278,12.824212076923073,5.196183832435567,2.825765935086957,2.3132627636845395
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,MARGINAL,168.0,ensemble,0.95,80.81896099999997,243,13,230,28.917794822926005,7.955728448971194,110.52871594882139,52.59283565384616,13.892487915733982,5.43276152,3.822169588851025
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,AVERAGE,168.0,ensemble,0.95,28.66400339999996,243,13,230,15.448724716893993,3.2103422724279835,66.2433665218833,39.588780615384614,2.0310045393746066,1.1541696704347828,4.287950477196522
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,MARGINAL,168.0,ensemble,0.95,49.48499509999998,243,13,230,92.9707758136774,12.775443981481482,401.53984022260704,194.5190103076923,4.344496790557978,2.5029815369565216,4.318989883738654
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,AVERAGE,168.0,ensemble,0.95,21.622996099999995,243,13,230,1.5767267322564573,1.0738494460493826,3.1921676310737026,2.365387615384616,1.4320025235771057,1.0008494625652173,2.0245535042748872
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,MARGINAL,168.0,ensemble,0.95,26.906999899999995,243,13,230,3.963404196044242,2.202458474526749,10.488092497947369,6.7640893076923065,3.221653707381288,1.9446271665652173,2.64623338402256
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,POS,AVERAGE,168.0,ensemble,0.95,68.41501239999997,243,13,230,19.44576824286707,8.298429080246914,77.42156676970848,71.00177099999999,7.7919198133718135,4.754327145652174,3.9814095181406675
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,POS,MARGINAL,168.0,ensemble,0.95,110.30499099999996,243,13,230,34.74135500500751,13.98883181893004,138.0490614855834,124.5811462307692,14.071809741349114,7.7379618739130445,3.9736234083467794
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,20_24,NEG,AVERAGE,168.0,ensemble,0.95,5.679999999999998,243,13,230,0.6973774857704893,0.49613636720164606,1.6248688045106052,1.2018710230769232,0.6038172401910412,0.4562470170869565,2.329970263831199
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,20_24,NEG,MARGINAL,168.0,ensemble,0.95,8.973000049999994,243,13,230,1.7983921994566416,1.0186785041563786,6.1084547425838505,5.005490161538461,1.1436825965819553,0.7933369756956522,3.396619905507504
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,20_24,POS,AVERAGE,168.0,ensemble,0.95,30.47800149999999,243,13,230,5.416005377449893,3.863813049794239,13.123307680989793,12.829640769230771,4.6105130828464205,3.3570488743478255,2.4230603122423147
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,20_24,POS,MARGINAL,168.0,ensemble,0.95,37.204999599999994,243,13,230,8.052670489115608,5.578015102057614,22.739082416408323,20.132118,6.26779230556179,4.755391894782609,2.8237939758175385
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,00_04,NEG,AVERAGE,168.0,recency,0.95,21.354999699999993,243,13,230,2.842424679830912,1.6786533473251029,8.560866093498381,7.094558846153846,2.096103321781146,1.3725369495652173,3.0118180982046794
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,00_04,NEG,MARGINAL,168.0,recency,0.95,30.95700019999999,243,13,230,6.921801682927303,3.626919532098765,22.962173162540868,18.670479076923076,4.562635161630937,2.7766313839130436,3.317369409640457
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,00_04,POS,AVERAGE,168.0,recency,0.95,6.615998999999995,243,13,230,1.6097606269017652,1.0519790275720167,2.5290738749534856,1.4911949384615384,1.5415156621137944,1.0271537804347826,1.5710869260239528
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,00_04,POS,MARGINAL,168.0,recency,0.95,8.348998999999997,243,13,230,2.560874986572607,1.6192103419753086,6.041146043135779,4.26957476923077,2.205894098178297,1.4694071352173914,2.3590163810460174
