MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,N_DIRECTIONAL_OBSERVATIONS,DIRECTIONAL_HIT_COUNT,DIRECTIONAL_ACCURACY
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,12_16,NEG,MARGINAL,168.0,recency,242,186,0.768595041322314
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,12_16,POS,AVERAGE,168.0,recency,242,184,0.7603305785123967
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,12_16,POS,MARGINAL,168.0,recency,242,173,0.7148760330578512
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,NEG,AVERAGE,168.0,recency,242,188,0.7768595041322314
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,NEG,MARGINAL,168.0,recency,242,187,0.7727272727272727
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,POS,AVERAGE,168.0,recency,242,165,0.6818181818181818
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,POS,MARGINAL,168.0,recency,242,165,0.6818181818181818
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,NEG,AVERAGE,168.0,recency,242,178,0.7355371900826446
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,NEG,MARGINAL,168.0,recency,242,174,0.71900826446281
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,POS,AVERAGE,168.0,recency,242,195,0.8057851239669421
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,POS,MARGINAL,168.0,recency,242,193,0.7975206611570248
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,00_04,NEG,AVERAGE,168.0,single,242,180,0.743801652892562
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,00_04,NEG,MARGINAL,168.0,single,242,168,0.6942148760330579
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,00_04,POS,AVERAGE,168.0,single,242,152,0.628099173553719
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,00_04,POS,MARGINAL,168.0,single,242,138,0.5702479338842975
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,04_08,NEG,AVERAGE,168.0,single,242,194,0.8016528925619835
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,04_08,NEG,MARGINAL,168.0,single,242,193,0.7975206611570248
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,04_08,POS,AVERAGE,168.0,single,242,162,0.6694214876033058
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,04_08,POS,MARGINAL,168.0,single,242,141,0.5826446280991735
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,08_12,NEG,AVERAGE,168.0,single,242,158,0.6528925619834711
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,08_12,NEG,MARGINAL,168.0,single,242,163,0.6735537190082644
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,08_12,POS,AVERAGE,168.0,single,242,183,0.756198347107438
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,08_12,POS,MARGINAL,168.0,single,242,176,0.7272727272727273
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,12_16,NEG,AVERAGE,168.0,single,242,200,0.8264462809917356
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,12_16,NEG,MARGINAL,168.0,single,242,187,0.7727272727272727
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,12_16,POS,AVERAGE,168.0,single,242,186,0.768595041322314
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,12_16,POS,MARGINAL,168.0,single,242,166,0.6859504132231405
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,16_20,NEG,AVERAGE,168.0,single,242,187,0.7727272727272727
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,16_20,NEG,MARGINAL,168.0,single,242,182,0.7520661157024794
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,16_20,POS,AVERAGE,168.0,single,242,161,0.6652892561983471
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,16_20,POS,MARGINAL,168.0,single,242,158,0.6528925619834711
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,20_24,NEG,AVERAGE,168.0,single,242,176,0.7272727272727273
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,20_24,NEG,MARGINAL,168.0,single,242,173,0.7148760330578512
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,20_24,POS,AVERAGE,168.0,single,242,199,0.8223140495867769
bidirectional_lstm_ts168_single,bidirectional_lstm,"BiLSTM (168 TimeSteps), Single",DEEP_LEARNING,20_24,POS,MARGINAL,168.0,single,242,184,0.7603305785123967
