DATE,ACTUAL_VALUE,D+1,MARGINAL_PRICE,RMSE,MAPE,MAE,ACCEPTANCE,REVENUE
2023-12-03,8.199999695093018,9.433843498123805,9.25,1.5223705302774755,0.15046876206216625,1.233843803030787,0,0.0
2023-12-04,8.550000158162902,8.7573867392562,13.26,0.04300919401756688,0.024255740030051383,0.20738658109329755,1,8.7573867392562
2023-12-05,9.389999578104108,8.642108282553796,12.46,0.5593413899599246,0.07964763888746794,0.7478912955503123,1,8.642108282553796
2023-12-06,8.739999543227936,9.81993490854828,10.0,1.166260393269584,0.12356240523572065,1.0799353653203436,1,9.81993490854828
2023-12-07,7.610000341912401,9.322495931940148,9.44,2.932641145864482,0.22503226190360398,1.7124955900277472,1,9.322495931940148
2023-12-08,8.960000756484808,9.805462664943423,13.0,0.7148058386544839,0.09435958003091813,0.8454619084586152,1,9.805462664943423
2023-12-09,8.850000693622263,10.417710471746318,10.55,2.457713948425773,0.1771423339270269,1.5677097781240548,1,10.417710471746318
2023-12-10,31.91999703286857,22.226739444049077,66.31,93.95924268320667,0.3036735115870524,9.693257588819492,1,22.226739444049077
2023-12-11,25.410003982577024,23.89922725669885,33.92,2.2824463154551737,0.059455981467538284,1.5107767258781735,1,23.89922725669885
2023-12-12,15.380000576628076,18.89593398906373,17.82,12.361787760681436,0.22860424451339598,3.515933412435656,0,0.0
2023-12-13,13.480000667023113,14.733995640380934,15.8,1.5725033932066834,0.09302632873198147,1.2539949733578215,1,14.733995640380934
2023-12-14,10.749999930142348,14.182004454898816,12.5,11.778655057948873,0.3192562369357172,3.4320045247564686,0,0.0
2023-12-15,9.1200003912973,10.165266573295034,10.1,1.09258139122812,0.11461251503839544,1.045266181997734,0,0.0
2023-12-16,9.26999936236968,10.545821056591096,12.4,1.6277209954460066,0.13762910269448822,1.275821694221417,1,10.545821056591096
2023-12-17,25.890001570459177,15.333520953136883,36.83,111.43928302390127,0.4077435294313529,10.556480617322293,1,15.333520953136883
2023-12-18,24.42000171797589,26.16003254585722,29.79,3.0277072819773885,0.07125432864324782,1.7400308278813306,1,26.16003254585722
2023-12-19,21.11999972497642,20.36866252351965,25.9,0.5645075902928921,0.0355746785625306,0.7513372014567707,1,20.36866252351965
2023-12-20,19.220000473756023,17.710753970238123,20.67,2.2778250083810074,0.07852479013092134,1.5092465035179004,1,17.710753970238123
2023-12-21,24.190003517285405,19.330933069342088,32.75,23.61056561807607,0.20087101039366034,4.859070447943317,1,19.330933069342088
2023-12-22,32.96000029869292,35.12692402104758,45.0,4.695558418503377,0.06574404437856128,2.1669237223546602,1,35.12692402104758
2023-12-23,36.070001371552,33.96861729907822,40.97,4.415815020046509,0.058258497160222515,2.1013840724737847,1,33.96861729907822
2023-12-24,33.48999649002909,30.644150618450333,37.66,8.098838724781873,0.08497599790510721,2.84584587157876,1,30.644150618450333
2023-12-25,31.81000487802092,41.332191069271246,38.86,90.6720298608384,0.29934563756793603,9.522186191250327,0,0.0
2023-12-26,28.479997492576864,28.200416117490224,32.15,0.07816574529533614,0.00981676262996549,0.2795813750866394,1,28.200416117490224
2023-12-27,18.60999945221444,24.81563283544144,22.31,38.509885687021416,0.3334569352976839,6.205633383227003,0,0.0
2023-12-28,27.25000299204253,16.609123210248185,39.17,113.22832253059963,0.39049095829096475,10.640879781794343,1,16.609123210248185
2023-12-29,29.329995323550325,27.57371966590636,33.88,3.0845041856327406,0.0598798478577927,1.7562756576439646,1,27.57371966590636
2023-12-30,26.86000232468537,27.551430218933824,29.94,0.4780725329448488,0.025741914907170482,0.6914278942484522,1,27.551430218933824
2023-12-31,20.31999670103064,22.56047472212768,24.49,5.019741763018909,0.11025976303349508,2.24047802109704,1,22.56047472212768
