DATE,PRODUCT,CUMULATED_CAPACITY_MORE_EXPENSIVE_THAN_ELECTRICITY_PRICE_EXCESS_CAPACITY,RES_SHARE,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,CLEAN_SPREAD_OF_GAS
2021-01-01 00:00:00,00_04,20861.125,0.0938847810384153,20861.125,-17.69652
2021-01-01 04:00:00,04_08,22273.5,0.0718693690102214,22273.5,-24.284019999999995
2021-01-01 08:00:00,08_12,19788.0625,0.1108837584399317,19788.0625,-19.77402
2021-01-01 12:00:00,12_16,19368.5,0.1394263024577257,19368.5,-17.464019999999998
2021-01-01 16:00:00,16_20,14131.375,0.10064088967001,14131.375,-5.806519999999999
2021-01-01 20:00:00,20_24,17199.75,0.1195010302270748,17199.75,-10.75402
2021-01-02 00:00:00,00_04,21749.0,0.1105755035882356,21749.0,-22.02652
2021-01-02 04:00:00,04_08,20080.1875,0.0850267316251582,20080.1875,-23.67902
2021-01-02 08:00:00,08_12,11565.4375,0.0925298668009337,11565.4375,-13.42902
2021-01-02 12:00:00,12_16,10485.25,0.0914918875204683,10485.25,-11.55652
2021-01-02 16:00:00,16_20,6085.25,0.0568998480592512,6085.25,-2.76902
2021-01-02 20:00:00,20_24,14448.1875,0.095194293127138,14448.1875,-10.63902
2021-01-03 00:00:00,00_04,27178.0,0.2200978501767901,27178.0,-23.89652
2021-01-03 04:00:00,04_08,33644.375,0.3529865505369597,33644.375,-32.31902
2021-01-03 08:00:00,08_12,32171.0,0.4260929402171116,32171.0,-26.22152
2021-01-03 12:00:00,12_16,32970.375,0.4747814838391352,32970.375,-23.019020000000005
2021-01-03 16:00:00,16_20,17285.0,0.4627164784524781,30785.5625,-19.96902
2021-01-03 20:00:00,20_24,34150.0625,0.4909696008809005,34150.0625,-31.97902000000001
2021-01-04 00:00:00,00_04,38404.625,0.5185323904390761,38404.625,-40.57851999999999
2021-01-04 04:00:00,04_08,31878.3125,0.4368239068128632,31878.3125,-30.13851999999999
2021-01-04 08:00:00,08_12,17285.0,0.3412190023703688,18960.0625,-8.978519999999989
2021-01-04 12:00:00,12_16,17285.0,0.3288839300257354,17448.5,-6.208519999999988
2021-01-04 16:00:00,16_20,0.0,0.2941472854212084,14697.375,-5.01851999999999
2021-01-04 20:00:00,20_24,20978.0625,0.3120653094391907,20978.0625,-19.841019999999983
2021-01-05 00:00:00,00_04,31781.5,0.3912043593026022,31781.5,-27.596659999999986
2021-01-05 04:00:00,04_08,17285.0,0.3446447865175829,25821.0625,-20.244159999999987
2021-01-05 08:00:00,08_12,15238.375,0.2859082950981128,15238.375,-1.7541599999999846
2021-01-05 12:00:00,12_16,15329.375,0.2950940541046275,15329.375,-2.564159999999987
2021-01-05 16:00:00,16_20,0.0,0.2922473587874506,14570.75,-3.821659999999984
2021-01-05 20:00:00,20_24,17285.0,0.3202622416767504,22032.125,-13.181659999999985
2021-01-06 00:00:00,00_04,29878.25,0.3578156211987635,29878.25,-20.495500000000007
2021-01-06 04:00:00,04_08,25027.0625,0.3036963502440375,25027.0625,-18.780500000000007
2021-01-06 08:00:00,08_12,13387.0625,0.2253454387537464,13387.0625,-8.478000000000009
2021-01-06 12:00:00,12_16,11921.0625,0.212013106433387,11921.0625,-4.120500000000005
2021-01-06 16:00:00,16_20,8530.5625,0.1827687096251501,8530.5625,-3.830500000000004
2021-01-06 20:00:00,20_24,15079.6875,0.1943528275154336,15079.6875,-9.740500000000004
2021-01-07 00:00:00,00_04,20058.1875,0.164515325934886,20058.1875,-14.187820000000004
2021-01-07 04:00:00,04_08,0.0,0.1516256514563497,13865.0,-7.890320000000004
2021-01-07 08:00:00,08_12,0.0,0.1403145465881645,3411.75,23.30468
2021-01-07 12:00:00,12_16,0.0,0.1371923690039349,3409.6875,20.84718
2021-01-07 16:00:00,16_20,0.0,0.1081675593884493,927.3125,26.68468
2021-01-07 20:00:00,20_24,0.0,0.1314190236061787,9948.6875,-3.672820000000005
2021-01-08 00:00:00,00_04,19082.8125,0.1585585897268713,19082.8125,-18.97726999999999
2021-01-08 04:00:00,04_08,0.0,0.1372785928285677,12549.75,-7.277269999999989
2021-01-08 08:00:00,08_12,0.0,0.1205274668852103,2936.3125,40.762730000000005
2021-01-08 12:00:00,12_16,0.0,0.1123272192148,3713.3125,30.67023000000001
2021-01-08 16:00:00,16_20,0.0,0.0854561974348296,1231.4375,31.935230000000008
2021-01-08 20:00:00,20_24,8424.5,0.0792209787996321,8424.5,-8.674769999999992
2021-01-09 00:00:00,00_04,15969.4375,0.1026232268752272,15969.4375,-16.85476999999999
2021-01-09 04:00:00,04_08,16381.0,0.0958057591688589,16381.0,-18.64476999999999
2021-01-09 08:00:00,08_12,8244.0625,0.0907763346821563,8244.0625,-3.6647699999999936
2021-01-09 12:00:00,12_16,7915.5,0.0965466548414815,7915.5,-6.88726999999999
2021-01-09 16:00:00,16_20,0.0,0.0527824947951649,3942.125,-0.8622699999999917
2021-01-09 20:00:00,20_24,10022.0625,0.0726558095409634,10022.0625,-12.807269999999992
2021-01-10 00:00:00,00_04,12446.0,0.0967938783279177,12446.0,-18.31477
