DATE,PRODUCT,POS_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],POS_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h]
2021-01-07 00:00:00,00_04,0.9763,1.1725,3.9529,4.77
2021-01-07 04:00:00,04_08,1.4181,1.73,2.0823,2.455
2021-01-07 08:00:00,08_12,4.6291,7.02,0.5836,0.75
2021-01-07 12:00:00,12_16,3.24,4.67,0.542,0.7175
2021-01-07 16:00:00,16_20,6.9122,11.66,0.5116,0.685
2021-01-07 20:00:00,20_24,1.5005,1.8125,0.5527,0.7425
2021-01-08 00:00:00,00_04,0.9228,1.1,3.9407,4.42
2021-01-08 04:00:00,04_08,1.419,1.77,1.7911,2.36
2021-01-08 08:00:00,08_12,6.1578,9.1,0.5322,0.645
2021-01-08 12:00:00,12_16,4.3739,6.54,0.5154,0.6275
2021-01-08 16:00:00,16_20,9.7937,13.88,0.5026,0.6175
2021-01-08 20:00:00,20_24,1.4926,1.78,0.5474,0.6675
2021-01-09 00:00:00,00_04,0.864,1.0725,3.85,4.4575
2021-01-09 04:00:00,04_08,1.3498,1.57,1.7773,2.1
2021-01-09 08:00:00,08_12,3.6762,4.35,0.5609,0.7375
2021-01-09 12:00:00,12_16,2.5611,2.95,0.5257,0.6475
2021-01-09 16:00:00,16_20,5.5045,6.64,0.5156,0.65
2021-01-09 20:00:00,20_24,1.3761,1.5875,0.5414,0.66
2021-01-10 00:00:00,00_04,0.7966,0.94,3.5199,3.88
2021-01-10 04:00:00,04_08,1.1312,1.2975,1.524,1.8075
2021-01-10 08:00:00,08_12,2.8409,3.42,0.4455,0.6225
2021-01-10 12:00:00,12_16,2.1372,2.4275,0.4161,0.56
2021-01-10 16:00:00,16_20,4.6739,5.29,0.4019,0.54
