DATE,ACTUAL_VALUE,D+1,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01 12:00:00,10.869998,10.243077,13.26,0.39302994024100146,0.6269210000000012,0.057674435634670874,1,10.243077
2024-07-02 12:00:00,11.139999,11.893473,12.25,0.567723068676001,0.7534740000000006,0.06763681038032415,1,11.893473
2024-07-03 12:00:00,11.109999,11.081517,12.17,0.0008112243240000193,0.02848200000000034,0.0025636365943867627,1,11.081517
2024-07-04 12:00:00,10.379999,10.018936,11.51,0.13036648996899977,0.3610629999999997,0.034784492753804665,1,10.018936
2024-07-05 12:00:00,10.07,10.033232,10.78,0.0013518858240000261,0.036768000000000356,0.0036512413108242656,1,10.033232
2024-07-06 12:00:00,9.320001,9.552168,9.89,0.05390151588900021,0.23216700000000046,0.02491061964478335,1,9.552168
2024-07-07 12:00:00,8.469999,8.339703,9.08,0.016977047615999875,0.13029599999999952,0.015383236763073942,1,8.339703
2024-07-08 12:00:00,10.49,9.651695,11.53,0.7027552730250002,0.8383050000000001,0.07991468064823642,1,9.651695
2024-07-09 12:00:00,10.179999,10.437945,10.77,0.06653613891599931,0.2579459999999987,0.02533850936527584,1,10.437945
2024-07-10 12:00:00,9.919999,9.939567,11.19,0.00038290662399998376,0.019567999999999586,0.0019725808440101238,1,9.939567
2024-07-11 12:00:00,9.609999,9.956301,10.1,0.11992507520399977,0.34630199999999967,0.036035591679041766,1,9.956301
2024-07-12 12:00:00,9.190001,9.407019,10.51,0.04709681232399978,0.2170179999999995,0.02361457849678139,1,9.407019
2024-07-13 12:00:00,8.5,8.747347,9.08,0.06118053840899977,0.24734699999999954,0.029099647058823477,1,8.747347
2024-07-14 12:00:00,7.919999,8.167482,8.26,0.06124783528899995,0.2474829999999999,0.031247857480790075,1,8.167482
2024-07-15 12:00:00,8.76,8.29739,10.14,0.21400801209999976,0.46260999999999974,0.05280936073059358,1,8.29739
2024-07-16 12:00:00,47.53,20.397257,120.0,736.1857427040491,27.132743,0.5708551020408164,1,20.397257
2024-07-17 12:00:00,30.059998,38.377895,38.32,69.18741050260904,8.317897000000002,0.2767098321164227,0,0.0
2024-07-18 12:00:00,19.530003,21.236797,22.98,2.913145758435995,1.7067939999999986,0.08739343255605227,1,21.236797
2024-07-19 12:00:00,14.430002,14.455068,16.68,0.000628304356000035,0.0250660000000007,0.0017370752963167086,1,14.455068
2024-07-20 12:00:00,11.7699995,11.968049,12.5,0.03922360445024991,0.19804949999999977,0.016826636228829045,1,11.968049
2024-07-21 12:00:00,9.759998,9.725903,10.83,0.0011624690249999233,0.034094999999998876,0.003493340879782852,1,9.725903
2024-07-22 12:00:00,10.73,9.49073,11.64,1.535790132900003,1.2392700000000012,0.11549580615097867,1,9.49073
2024-07-23 12:00:00,10.319998,10.678228,11.62,0.12832873290000052,0.3582300000000007,0.0347122160294993,1,10.678228
2024-07-24 12:00:00,9.839998,10.035978,10.32,0.03840816040000019,0.1959800000000005,0.01991667071477052,1,10.035978
2024-07-25 12:00:00,9.500001,9.808187,10.16,0.09497861059600059,0.30818600000000096,0.03244062816414451,1,9.808187
2024-07-26 12:00:00,9.3099985,9.388218,9.91,0.006118290180249912,0.07821949999999944,0.008401666230128764,1,9.388218
2024-07-27 12:00:00,8.659998,8.757692,9.0,0.00954411763600012,0.09769400000000061,0.01128106496098505,1,8.757692
2024-07-28 12:00:00,8.0199995,8.335627,8.94,0.09962071875624982,0.3156274999999997,0.03935505232886856,1,8.335627
2024-07-29 12:00:00,8.989999,8.604262,9.7,0.14879303316899914,0.3857369999999989,0.042907346263330946,1,8.604262
2024-07-30 12:00:00,8.679998,9.056539,9.24,0.14178312468100102,0.37654100000000135,0.04338030953463369,1,9.056539
2024-07-31 12:00:00,8.700001,8.821481,13.06,0.014757390400000008,0.12148000000000003,0.013963216785837155,1,8.821481
2024-08-01 12:00:00,9.3099985,8.620333,10.27,0.47563850189025036,0.6896655000000003,0.0740779388954789,1,8.620333
2024-08-02 12:00:00,8.809999,8.837023,12.79,0.0007302965760000446,0.027024000000000825,0.0030674237306951824,1,8.837023
2024-08-03 12:00:00,8.7699995,8.194748,11.82,0.3309142882522503,0.5752515000000002,0.06559310522195586,1,8.194748
2024-08-04 12:00:00,8.6399975,8.286466,9.85,0.1249845214922493,0.353531499999999,0.0409180095248869,1,8.286466
2024-08-05 12:00:00,9.949999,9.406475,11.0,0.29541833857599964,0.5435239999999997,0.05462553312819425,1,9.406475
2024-08-06 12:00:00,9.74,14.808641,10.5,25.691121586880996,5.0686409999999995,0.5203943531827515,0,0.0
2024-08-07 12:00:00,10.979999,10.121029,27.26,0.7378294608999989,0.8589699999999993,0.07823042606834477,1,10.121029
