PRODUCT,PRODUCT_SIGN,PRICE_TYPE,FEATURES,NUM_FEATURES,FEATURE_NUMBERS,TIMESTEP,HIDDEN_SIZE,NUM_STACKED_LAYERS,LEARNING_RATE,DROPOUT_RATE,WEIGHT_DECAY,BATCH_SIZE,EXECUTION_TIME_[S],CV_MEAN_LOSS
all,NEG,AVERAGE,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,"1, 3",168,111,2,0.000979106100647189,0.2935072868752436,6.523041476282561e-06,32,943.8548905849457,0.003924235518134082
all,NEG,MARGINAL,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,"1, 3",168,111,2,0.0009792988333660758,0.1363649934414201,2.3270677083837795e-06,32,1065.2437460422516,0.005086261472606566
all,POS,AVERAGE,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,"1, 3",168,124,2,0.0008903488639350984,0.15607494705524583,1.0547702880095967e-06,32,1218.1244151592255,0.004141381182671466
all,POS,MARGINAL,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,"1, 3",168,111,2,0.000979106100647189,0.2678262200464228,1.0206003422731302e-06,32,1040.9139165878296,0.004958938722556923
