DATE,ACTUAL_VALUE,D+1,ORDER,MARGINAL_PRICE,RMSE,MAPE,MAE,ACCEPTANCE,REVENUE
2023-12-01 04:00:00,8.48,8.963329618234543,"(4, 0, 0)",18.68,0.23360751986274825,0.0569964172446394,0.4833296182345421,1,8.963329618234543
2023-12-02 04:00:00,8.88,8.83159917417505,"(4, 0, 0)",10.5,0.002342639940537209,0.005450543448755702,0.048400825824950644,1,8.83159917417505
2023-12-03 04:00:00,7.97,9.069565961483674,"(4, 0, 0)",9.13,1.2090453036535167,0.13796310683609464,1.0995659614836741,1,9.069565961483674
2023-12-04 04:00:00,8.03,8.112612986694591,"(4, 0, 0)",11.34,0.0068249055706008244,0.01028804317491805,0.08261298669459194,1,8.112612986694591
2023-12-05 04:00:00,8.42,8.172660476029913,"(4, 0, 0)",12.6,0.06117684011774928,0.0293752403764949,0.24733952397008707,1,8.172660476029913
2023-12-06 04:00:00,8.46,8.547560226448727,"(4, 0, 0)",10.0,0.007666793255752228,0.01034990856367923,0.0875602264487263,1,8.547560226448727
2023-12-07 04:00:00,7.23,9.622688539817956,"(2, 0, 2)",9.0,5.72495844857618,0.33093894050040873,2.3926885398179554,0,0.0
2023-12-08 04:00:00,8.21,8.431196822642022,"(2, 0, 1)",10.78,0.04892803434692575,0.026942365729844226,0.22119682264202112,1,8.431196822642022
2023-12-09 04:00:00,8.26,8.871548128878983,"(1, 0, 4)",9.95,0.37399111393538526,0.07403730373837566,0.611548128878983,1,8.871548128878983
2023-12-10 04:00:00,29.65,8.911095872772533,"(1, 0, 3)",54.12,430.1021443983323,0.6994571375118875,20.738904127227464,1,8.911095872772533
2023-12-11 04:00:00,20.35,22.126811422592628,"(2, 0, 1)",26.45,3.157058831455632,0.08731260061880226,1.7768114225926261,1,22.126811422592628
2023-12-12 04:00:00,12.58,17.62061177471113,"(2, 0, 1)",15.48,25.40776706335648,0.4006845607878481,5.040611774711129,0,0.0
2023-12-13 04:00:00,10.93,12.908903887946687,"(2, 0, 1)",12.93,3.916060597730516,0.1810525057590748,1.9789038879466876,1,12.908903887946687
2023-12-14 04:00:00,8.81,11.719467697953764,"(2, 0, 1)",10.62,8.465002285436372,0.33024604971098337,2.9094676979537635,0,0.0
