PRODUCT,PRODUCT_SIGN,PRICE_TYPE,TIMESTEP,HIDDEN_SIZE,NUM_STACKED_LAYERS,LEARNING_RATE,DROPOUT_RATE,WEIGHT_DECAY,BATCH_SIZE,EXECUTION_TIME_[S]
all,NEG,AVERAGE,168,127,2,0.0008059990754008219,0.12909113042475676,3.124655787956555e-06,32,1186.7165939807892
all,NEG,MARGINAL,168,99,2,0.0008691954010129843,0.2265969791561758,1.7828136233907468e-06,32,1103.380447626114
all,POS,AVERAGE,168,111,2,0.0009548373722604034,0.26648852816008434,2.6587543983272713e-06,32,1089.6314089298248
all,POS,MARGINAL,168,103,2,0.0008903488639350984,0.1312037280884873,2.0511104188433975e-06,32,1052.5956654548645
