DATE,ACTUAL_VALUE,D+1_ENSEMBEL_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-10,6.059999761047502,8.341482749723433,7.8661151262444955,8.069047549706115
2023-12-11,7.000000392652717,6.154551565786777,5.406905451660373,4.119031135900218
2023-12-12,8.679999356708867,7.189813152964723,6.6582770177901525,6.520385645026009
2023-12-13,6.369999652647953,7.720840013266027,7.33715839027564,7.100902084329166
2023-12-14,5.899999842361438,6.780659723532172,6.233477128411063,6.149792104174842
2023-12-15,5.499999890782627,6.719870426924417,6.205020703278054,6.008966982942387
2023-12-16,5.570000103792248,6.167823950437327,5.727680384122529,5.480297962980689
2023-12-17,6.680000200982472,5.911491463728651,5.49981552233176,5.518594744699951
2023-12-18,6.569999906475878,6.312736523239906,6.167228501946692,6.048607159007918
2023-12-19,6.160000263290126,6.849879389283794,6.5997823729831735,6.408626502915478
2023-12-20,5.640000050777555,6.093226337668624,5.783852264194955,5.610343688075522
2023-12-21,5.1400000722158365,5.736674659469218,5.446467371163302,5.3278106769858145
2023-12-22,5.0000002661696294,5.559656041221535,5.4028596534677105,4.926372676587749
2023-12-23,6.150000226396275,6.141547290258901,5.858292085633568,5.8807986981328
2023-12-24,7.199999889703434,6.872601860480105,6.398147181777663,6.537682348434076
2023-12-25,6.6500000827540875,6.9922362495977035,6.520234648932648,5.996067529384683
2023-12-26,6.260000254531597,6.993624577151617,6.560908260855742,6.155256940614948
2023-12-27,6.360000304437258,6.215385134211328,5.791661757391628,5.829895165747959
2023-12-28,5.730000037358874,6.822508337548818,6.450411449095146,5.822162017280754
2023-12-29,5.369999718266482,5.981838794177958,5.602215221915768,5.148955929893521
2023-12-30,5.019999780226253,5.753551259131919,5.44196953366039,5.286317767983936
2023-12-31,6.83000029095797,5.991139433605758,5.4362959229295855,6.293012816523546
2024-01-01,5.249999756490438,6.062777631444734,5.81920494024059,5.676483098782518
2024-01-02,5.189999850091494,5.316065531129951,5.004598396524757,5.038959183210937
2024-01-03,4.880000099584233,5.55768490376559,5.253200244869155,5.253156400593007
2024-01-04,4.6399998024893705,5.109826755064595,4.686909593402545,4.972959948578741
2024-01-05,4.900000126301698,5.154967977078205,4.720794794696851,4.979235017861254
2024-01-06,4.219999825552821,4.996673267079264,4.6489986597677575,4.611606330192026
2024-01-07,3.9499999102712335,4.406947933155307,4.023217882348475,4.167850684959618
2024-01-08,3.9800000145776435,4.269094866388546,3.954381768895531,3.9816652162610606
2024-01-09,3.6899998090052315,4.66119368281624,4.378097426474714,4.25489605215353
2024-01-10,3.5400001053051504,4.207628692900828,3.795628832196923,3.965075147473378
2024-01-11,3.4700001745249485,5.004003903814409,4.647217178191043,3.251641161485978
2024-01-12,3.210000211439793,4.370251190362052,3.9221520116781567,3.5566460406054605
2024-01-13,3.679999792045828,4.1690701740159986,3.7820362658822337,3.258319879877679
2024-01-14,3.1299998762863845,3.852241923320363,3.5056385787256743,3.311464050509834
2024-01-15,2.9999998951328863,3.6240884528112067,3.292267864111209,2.9711219986264235
2024-01-16,3.049999807704781,4.158341853416485,3.8090352381371817,3.360987171673385
2024-01-17,2.8799999063486013,3.972720837147786,3.5288084721425714,3.187257038683087
2024-01-18,2.7800000457866654,3.914737573141189,3.3963570194640678,3.5271695978213646
2024-01-19,2.58999991098459,3.5876574009384967,3.1286697972500797,2.9289142667819306
2024-01-20,4.000000102642053,3.414977360967803,3.0204884281610553,2.6720145027473
2024-01-21,6.899999640087901,4.139913375484371,3.8587454313884764,3.490260261164128
2024-01-22,4.559999739074514,5.084773860519831,5.300993022994522,4.069428029429437
2024-01-23,3.9900001106143534,4.565311783366892,4.384358415293993,4.050196311198423
2024-01-24,3.5000001783872907,4.315142861084566,4.034782928003512,4.0566546316242285
2024-01-25,3.5000001783872907,3.95422018840676,3.6527983656540273,3.534086529261048
2024-01-26,3.169999784623551,5.235969252905392,4.828981650562589,4.723598421612758
2024-01-27,3.5200000706065264,3.628051514624972,3.14472686472871,3.1105957678676237
2024-01-28,4.39999976909429,4.0485838248399135,3.703828455497744,3.680635728965049
2024-01-29,3.9800000145776435,4.121963170139457,3.905523532504116,3.708343018386777
2024-01-30,3.8999999662042137,4.466634266040617,4.108888603954325,4.221258245180599
2024-01-31,3.650000039588423,3.9144692119257365,3.5315271265602934,3.6100358049097556
2024-02-01,3.3500002130757798,3.9846694898547366,3.678110390886349,3.338834891145535
2024-02-02,3.100000071692447,4.067554217133617,3.7399431423428156,3.4955592990638893
2024-02-03,3.169999784623551,3.7347674775771065,3.39213133705983,3.0589744728581283
2024-02-04,4.860000012636423,3.7659034163928116,3.4372001958512883,3.2671332689990873
2024-02-05,3.400000097898719,4.288825858320333,4.266390785768537,3.7444389397240205
2024-02-06,3.1599999831190493,3.9842050987578093,3.745200080166434,3.5763628720401406
2024-02-07,2.960000163797157,3.6353825819040466,3.3369067605801916,3.29161995174395
2024-02-08,3.440000172187082,4.552914477817789,4.144313058505632,4.292297600988499
2024-02-09,2.90000014807241,4.178352321089899,3.814483371368886,3.440844566824848
2024-02-10,2.8299998966026467,3.550170805981439,3.2016632408312256,2.988014168754057
2024-02-11,2.7299998438708064,3.3677917194411258,3.0827753875981228,2.978185358831557
2024-02-12,2.7999998960435826,3.403237805596269,3.1957392574137145,2.83945565410206
2024-02-13,2.519999913775909,3.4659134041108395,3.226442282038722,3.0293613118359812
2024-02-14,2.3499999613319704,3.23902840145734,2.925804699850589,2.902250538527802
2024-02-15,2.329999936541269,3.123688881346735,2.8925760332506343,2.582437222715719
2024-02-16,2.110000001757669,3.0014823622787468,2.7597863058800853,2.6526387795474666
2024-02-17,2.18999991627359,2.8166462188627723,2.5866344398610543,2.345568178953578
2024-02-18,3.6100000534622874,3.2689423970389537,3.017950445449038,2.8089526401475844
2024-02-19,3.0699998257186847,3.418610051591714,3.300940873797228,2.8971043190775965
2024-02-20,2.890000190908779,3.5293709346624937,3.311380690047633,3.045874070419343
2024-02-21,2.5000000779941316,3.381880015301961,3.12207399436626,2.885826493038984
2024-02-22,2.3999999180460367,4.526558488453176,4.100182826614315,2.575408142188024
2024-02-23,2.1999999364979117,4.075080042949958,3.844174696375876,3.246020188426
2024-02-24,3.169999784623551,7.567230793695068,7.064450135603851,7.996595992549786
2024-02-25,2.6199999079425527,4.205775138685341,3.590580604670394,2.8555243714498184
2024-02-26,2.669999814849889,3.3068029211805827,2.7627303947480604,2.6085896272605305
2024-02-27,2.6799998751206378,3.4114245145480973,2.946721904440774,2.979185410622176
2024-02-28,22.46000055431539,3.5328102588443464,3.097468484250714,3.1328141065705832
2024-02-29,7.210000435177949,7.9770281585155285,9.343350452729412,6.132698943292238
2024-03-01,4.3700001721212764,5.764104788088723,5.981255087650863,4.956155678992951
2024-03-02,3.8999999662042137,4.358476254373396,4.160052435990413,4.5651243660982415
2024-03-03,3.5400001053051504,3.9978625776309764,3.840820011504724,3.958828088277168
2024-03-04,3.479999780365589,3.768305939176031,3.63540326445005,3.6811797498317276
2024-03-05,3.110000166301553,3.9285204102835753,3.624036381596591,4.03814196703742
2024-03-06,3.2399998826262877,3.552737836651503,3.2468908553420106,3.446595434515143
2024-03-07,3.0899999762764896,3.586875725446709,3.250787583977029,3.3979088252723333
2024-03-08,3.049999807704781,4.6178341828555585,4.327234562487544,3.020192446897555
2024-03-09,4.619999831738384,4.155081205543581,4.009036651477875,3.841200582670964
2024-03-10,7.57999956466692,4.532306392402678,4.539551908478382,4.3009100618012885
2024-03-11,4.539999771291472,5.349642135120848,5.711710456896063,5.255367598113794
2024-03-12,3.880000156502561,4.918621214157529,4.813642175542482,4.954623348431226
2024-03-13,3.479999780365589,4.352584255837082,4.069300932904653,4.707599387903648
2024-03-14,3.2399998826262877,3.7697711403990395,3.5001072646770957,3.7992963386372525
2024-03-15,2.9699999758832907,3.7336142421631116,3.5231718299315555,3.578587156303931
2024-03-16,3.9599998337826388,3.7827450066413055,3.5085430484573616,3.5967265687939753
2024-03-17,3.5400001053051504,4.222925327819725,4.009449605772789,4.066856022324835
2024-03-18,3.28999991505217,3.7433856421342746,3.4579547087062488,3.3196398227134654
2024-03-19,3.040000202732488,4.187405346609501,3.7952243346391468,4.066198827376704
2024-03-20,3.210000211439793,3.484393846901289,2.945847382187743,3.422444930007802
2024-03-21,3.229999831901495,3.7128298713214543,3.1454869191326544,3.3202052214324933
2024-03-22,3.100000071692447,3.424997253298483,2.8656767583818654,2.8642856564979033
2024-03-23,8.209999779925113,4.317336998105647,3.845736309753218,2.2856582257813436
2024-03-24,6.660000369990791,5.978034824902721,5.72062483644905,4.449427108654018
2024-03-25,4.96999992712797,5.548766803436513,5.435961572614095,4.35010843412802
2024-03-26,4.470000159243629,5.863981100952193,5.283466122490716,6.034045890722739
2024-03-27,4.000000102642053,4.29415890265556,3.671839732042462,3.6887214923734724
2024-03-28,7.089999596268161,4.298123237396699,3.8278050315942274,3.9074854916814665
2024-03-29,5.560000302016768,5.650911688663672,5.621488662409972,4.783788942329718
2024-03-30,9.250000341267489,5.167218709129262,4.855791923237694,4.474787662495807
2024-03-31,8.94000053926332,6.999773477621313,7.0970999837335516,6.299778956956198
2024-04-01,7.519999556222828,8.113507699671102,8.289161969429628,7.252738727537807
2024-04-02,6.639999864903872,6.696245327061678,6.545143578745586,6.343892245638694
2024-04-03,6.169999813874678,6.382145419329849,6.174619524160468,6.318404428019887
2024-04-04,5.4500000653687275,6.639503159585318,6.463706965984376,6.338543724252648
2024-04-05,5.030000179400433,5.429449651636069,4.98700734950234,5.092973358804155
2024-04-06,5.119999780122716,5.221777239508602,4.9189846517725275,5.011666011551373
