DATE,ACTUAL_VALUE,D+1,ORDER,AIC,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01,4.49,4.892531352337621,"(3, 0, 1)",107.6193765564156,4.94,0.16203148961475403,0.40253135233762105,0.08965063526450356,1,4.892531352337621
2024-07-02,4.18,4.416455797219822,"(3, 0, 1)",107.6647679921207,4.73,0.05591134403886159,0.23645579721982202,0.05656837254062728,1,4.416455797219822
2024-07-03,3.97,4.203287052910733,"(3, 0, 1)",106.75347616698382,4.21,0.0544228490557751,0.23328705291073293,0.058762481841494435,1,4.203287052910733
2024-07-04,4.59,4.029991434167726,"(3, 0, 1)",106.79406695554512,6.2,0.3136095938055206,0.5600085658322742,0.1220062234928702,1,4.029991434167726
2024-07-05,4.83,4.619070980574603,"(3, 0, 1)",106.96492596944292,5.8,0.044491051235759686,0.21092901942539743,0.04367060443590009,1,4.619070980574603
2024-07-06,4.61,4.722453536763798,"(2, 0, 2)",106.71466007817683,5.08,0.012645797930686715,0.11245353676379732,0.024393391922732606,1,4.722453536763798
2024-07-07,5.59,4.5076677812761465,"(3, 0, 1)",106.53124178138737,7.74,1.1714430316876991,1.0823322187238533,0.1936193593423709,1,4.5076677812761465
2024-07-08,4.72,5.445418534758097,"(3, 0, 1)",106.71296311144896,6.51,0.5262320505705841,0.7254185347580968,0.1536903675334951,1,5.445418534758097
2024-07-09,4.31,4.547444966381137,"(3, 0, 1)",106.98024172016036,4.6,0.05638011205973965,0.23744496638113777,0.055091639531586495,1,4.547444966381137
2024-07-10,4.43,4.297860874593661,"(3, 0, 1)",106.81616525196114,5.34,0.01746074846315221,0.1321391254063391,0.029828245012717632,1,4.297860874593661
2024-07-11,4.03,4.453654977939532,"(3, 0, 1)",106.73720722388592,4.34,0.17948354033294533,0.423654977939532,0.10512530469963573,0,0.0
2024-07-12,3.45,4.0408692129022405,"(1, 0, 3)",103.16225561607185,3.79,0.34912642675571304,0.5908692129022404,0.17126643852238851,0,0.0
2024-07-13,3.64,3.5087398525839943,"(1, 0, 3)",102.9906516646276,4.42,0.01722922629967157,0.13126014741600578,0.036060480059342245,1,3.5087398525839943
2024-07-14,3.83,3.776434175297215,"(1, 0, 3)",102.34143015669004,4.76,0.002869297576089496,0.053565824702785036,0.013985855013781993,1,3.776434175297215
2024-07-15,3.58,3.875213451864001,"(2, 0, 2)",101.05596273800153,3.99,0.08715098216145874,0.29521345186400083,0.08246185806257006,1,3.875213451864001
2024-07-16,3.54,3.6088010986778336,"(2, 0, 2)",101.05914214278694,4.78,0.004733591179276992,0.06880109867783357,0.019435338609557505,1,3.6088010986778336
2024-07-17,3.75,3.593290287314401,"(2, 0, 2)",100.70008295816068,4.73,0.024557934050003047,0.1567097126855992,0.04178925671615978,1,3.593290287314401
2024-07-18,3.58,3.772842525095242,"(2, 0, 2)",100.70195008194756,3.99,0.03718823948510909,0.19284252509524213,0.05386662712157601,1,3.772842525095242
2024-07-19,3.43,3.5407893489699025,"(1, 0, 3)",100.15548530709503,3.7,0.012274279845174799,0.11078934896990233,0.03230010174049631,1,3.5407893489699025
2024-07-20,3.34,3.4167207287730537,"(1, 0, 3)",99.477982349093,3.82,0.005886070223468486,0.0767207287730538,0.022970278075764614,1,3.4167207287730537
2024-07-21,3.82,3.3698633893792698,"(1, 0, 3)",98.8136534275224,4.3,0.20262296822111875,0.45013661062073007,0.11783680906301834,1,3.3698633893792698
2024-07-22,3.4,3.8239875128024026,"(2, 0, 2)",97.52298263051698,3.88,0.17976541101236757,0.42398751280240266,0.12470220964776549,1,3.8239875128024026
2024-07-23,3.19,3.3705241076543118,"(2, 0, 2)",97.59759142194146,3.61,0.03258895344438556,0.18052410765431182,0.05659062935871844,1,3.3705241076543118
2024-07-24,3.02,3.231649623175495,"(2, 0, 2)",97.5933497941936,3.35,0.04479556299032911,0.21164962317549518,0.07008265668062755,1,3.231649623175495
2024-07-25,2.78,3.075452963886952,"(2, 0, 2)",97.63683578135678,3.21,0.0872924538695846,0.2954529638869521,0.10627804456365184,1,3.075452963886952
2024-07-26,2.72,2.851927501461364,"(2, 0, 2)",97.73102022437745,3.0,0.017404865641838112,0.13192750146136367,0.04850275789020723,1,2.851927501461364
2024-07-27,2.66,2.800895311553724,"(2, 0, 2)",96.9765009211672,3.07,0.019851488817820867,0.1408953115537237,0.05296816223824199,1,2.800895311553724
2024-07-28,3.18,2.726393164021613,"(2, 0, 2)",96.96052692786064,4.41,0.2057591616463234,0.45360683597838714,0.14264365911270036,1,2.726393164021613
2024-07-29,3.09,3.2077429055946074,"(2, 0, 2)",96.79463504153571,3.55,0.013863391817860664,0.11774290559460754,0.03810450019242963,1,3.2077429055946074
2024-07-30,2.77,3.04642024745028,"(2, 0, 2)",96.7496499620858,3.1,0.07640815320047412,0.27642024745028015,0.09979070305064265,1,3.04642024745028
2024-07-31,2.48,2.718238440974737,"(1, 0, 3)",91.54795724134036,2.82,0.0567575547580733,0.23823844097473712,0.09606388748981336,1,2.718238440974737
2024-08-01,2.32,2.5308603728931147,"(1, 0, 3)",91.00293072571176,2.5,0.04446209685662345,0.21086037289311488,0.09088809176427366,0,0.0
2024-08-02,1.98,2.3963916592937213,"(2, 0, 2)",90.51482318529122,2.19,0.17338201392937852,0.41639165929372135,0.21029881782511178,0,0.0
2024-08-03,1.92,2.0638292396914992,"(2, 0, 2)",90.90557164470336,2.16,0.020686850190234758,0.1438292396914993,0.07491106233932256,1,2.0638292396914992
2024-08-04,2.06,2.0257080541456958,"(2, 0, 2)",90.97482557517668,2.4,0.0011759375504745368,0.034291945854304284,0.016646575657429264,1,2.0257080541456958
2024-08-05,1.94,2.1521325973858234,"(2, 0, 2)",90.79551183529172,2.32,0.045000238873655875,0.21213259738582346,0.10934669968341416,1,2.1521325973858234
2024-08-06,1.83,2.022912726726322,"(2, 0, 2)",89.64546294738147,2.14,0.037215320132984585,0.19291272672632198,0.10541679056083168,1,2.022912726726322
2024-08-07,1.79,1.9198431196393464,"(2, 0, 2)",88.74733838748627,1.96,0.016859235717677612,0.12984311963934636,0.0725380556644393,1,1.9198431196393464
2024-08-08,1.62,1.8780030979357984,"(2, 0, 2)",88.13031474072544,1.76,0.06656559854446915,0.25800309793579834,0.1592611715653076,0,0.0
2024-08-09,1.81,1.7019375461743698,"(2, 0, 2)",88.09202920940362,2.5,0.011677493926816478,0.10806245382563029,0.05970301316333165,1,1.7019375461743698
2024-08-10,2.51,1.8944381103715968,"(2, 0, 2)",87.98269577321255,3.7,0.37891643996289015,0.615561889628403,0.2452437807284474,1,1.8944381103715968
2024-08-11,3.14,2.515264889183356,"(2, 0, 2)",88.71693057319828,3.88,0.3902939586870846,0.6247351108166441,0.19896022637472743,1,2.515264889183356
2024-08-12,2.9,2.980368995635194,"(2, 0, 2)",88.27023166535552,3.49,0.006459175459409878,0.08036899563519428,0.027713446770756652,1,2.980368995635194
2024-08-13,2.88,2.719884483452402,"(2, 0, 2)",87.74998923641263,3.32,0.02563697863930407,0.1601155165475978,0.05559566546791591,1,2.719884483452402
2024-08-14,2.69,2.7575917536683403,"(2, 0, 2)",87.4702086974485,3.05,0.004568645163961603,0.06759175366834036,0.02512704597336073,1,2.7575917536683403
2024-08-15,2.5,2.5995630485593715,"(2, 0, 2)",87.3017703386705,2.7,0.009912800638435764,0.09956304855937148,0.039825219423748594,1,2.5995630485593715
2024-08-16,2.41,2.462849900999258,"(2, 0, 2)",87.32127171725861,2.63,0.0027931120356313732,0.052849900999258015,0.02192941950176681,1,2.462849900999258
2024-08-17,2.24,2.4036715911436444,"(2, 0, 2)",87.23039770277862,2.5,0.026788389747492217,0.16367159114364416,0.07306767461769828,1,2.4036715911436444
2024-08-18,2.68,2.254262707037905,"(2, 0, 2)",87.29924718190604,3.93,0.18125224261869294,0.4257372929620953,0.15885719886645344,1,2.254262707037905
