DATE,ACTUAL_VALUE,D+1,ORDER,AIC,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01,7.28,8.250895889550781,"(2, 0, 1)",15.751181522544808,7.28,0.9426388283466025,0.9708958895507811,0.13336481999323915,0,0.0
2024-07-02,7.0,7.590042634891382,"(2, 0, 1)",13.55825336265768,7.0,0.3481503109895643,0.5900426348913816,0.08429180498448309,0,0.0
2024-07-03,6.68,7.317520453377739,"(2, 0, 1)",7.377801412318778,6.68,0.40643232847495814,0.6375204533777392,0.09543719361942204,0,0.0
2024-07-04,8.44,7.013975781479517,"(2, 0, 1)",4.59376740205558,8.44,2.033545071806953,1.4260242185204826,0.16896021546451215,1,7.013975781479517
2024-07-05,7.18,8.149201009245466,"(2, 0, 1)",1.7174400658310385,7.18,0.939350596322431,0.9692010092454666,0.1349862129868338,0,0.0
2024-07-06,11.48,7.3188057662218045,"(2, 0, 1)",-5.609345039311091,11.48,17.315537451228906,4.161194233778196,0.36247336531168955,1,7.3188057662218045
2024-07-07,7.8,10.038783447665011,"(2, 0, 1)",-7.307729009863596,7.8,5.012151325538835,2.2387834476650115,0.28702351893141176,0,0.0
2024-07-08,7.43,7.864759939352823,"(2, 0, 1)",-18.781443176292527,7.43,0.1890162048660709,0.43475993935282364,0.05851412373523872,0,0.0
2024-07-09,6.6,7.579376091756866,"(2, 0, 1)",-20.0581223665815,6.6,0.9591775291049539,0.9793760917568664,0.14839031693285853,0,0.0
2024-07-10,6.3,6.949946353689721,"(2, 0, 1)",-21.37897801995725,6.3,0.4224302626745639,0.649946353689721,0.1031660878872573,0,0.0
2024-07-11,6.01,6.655774629068048,"(2, 0, 1)",-26.131764742623545,6.01,0.4170248715479758,0.6457746290680486,0.10745002147554886,0,0.0
2024-07-12,5.67,6.367854114467036,"(2, 0, 1)",-28.576915521365308,5.67,0.48700036507857136,0.6978541144670363,0.1230783270664967,0,0.0
2024-07-13,8.14,6.041456248738598,"(2, 0, 1)",-35.78876939722556,8.14,4.40388587595828,2.0985437512614027,0.2578063576488209,1,6.041456248738598
2024-07-14,7.3,7.640840159688176,"(2, 0, 1)",-43.20363798882239,7.3,0.11617201445626166,0.3408401596881765,0.04669043283399678,0,0.0
2024-07-15,6.18,7.150264702772891,"(2, 0, 1)",-43.20988776785885,6.18,0.9414135934469678,0.9702647027728917,0.15700076096648732,0,0.0
2024-07-16,5.94,6.391288302309465,"(2, 0, 1)",-42.90335064313263,5.94,0.2036611318013586,0.4512883023094645,0.07597446166826001,0,0.0
2024-07-17,5.6,6.176715265363304,"(2, 0, 2)",-49.93186594870568,5.6,0.332600497303067,0.5767152653633048,0.10298486881487585,0,0.0
2024-07-18,5.3,5.87333753498479,"(2, 0, 1)",-59.47921304538308,5.3,0.32871592902243557,0.5733375349847902,0.10817689339335665,0,0.0
