DATE,ACTUAL_VALUE,D+1,ORDER,AIC,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01,7.06,7.115672104272016,"(3, 0, 1)",-492.7064172249312,7.28,0.003099383194074255,0.0556721042720163,0.007885567177339419,1,7.115672104272016
2024-07-02,6.65,7.002244657139153,"(3, 0, 1)",-492.7725360391074,7.0,0.1240762984830792,0.35224465713915265,0.05296912137430867,0,0.0
2024-07-03,6.38,6.564342097257727,"(3, 0, 1)",-497.9078761956442,6.68,0.033982008821377356,0.1843420972577272,0.02889374565168138,1,6.564342097257727
2024-07-04,6.36,6.359742245788715,"(3, 0, 1)",-505.3911052499775,8.44,6.643723343511785e-08,0.0002577542112849329,4.052739171146744e-05,1,6.359742245788715
2024-07-05,6.36,6.388696320051267,"(3, 0, 1)",-512.7336716597706,7.18,0.0008234787844847159,0.028696320051266433,0.00451200000806076,1,6.388696320051267
2024-07-06,7.16,6.358153622787303,"(3, 0, 1)",-518.1438320474399,11.48,0.6429576126491267,0.8018463772126969,0.11198971748780683,1,6.358153622787303
2024-07-07,6.88,7.292487542416069,"(3, 0, 1)",-529.6060840660825,7.8,0.17014597264844833,0.412487542416069,0.0599545846534984,1,7.292487542416069
2024-07-08,6.64,6.669134829539148,"(3, 0, 1)",-534.9613640271141,7.43,0.0008488382922752386,0.029134829539148477,0.004387775533004289,1,6.669134829539148
2024-07-09,6.35,6.531674753363399,"(3, 0, 1)",-541.0866894635128,6.6,0.03300571600965198,0.18167475336339933,0.028610197380062888,1,6.531674753363399
2024-07-10,5.96,6.2801559669113445,"(3, 0, 1)",-557.4379816089044,6.3,0.10249984314893792,0.3201559669113445,0.0537174441126417,1,6.2801559669113445
2024-07-11,5.73,5.902478141437951,"(3, 0, 1)",-560.7927121492719,6.01,0.029748709273889538,0.17247814143795015,0.030100897284109973,1,5.902478141437951
2024-07-12,5.45,5.73152501517602,"(3, 0, 1)",-561.2008706448999,5.67,0.07925633416985818,0.2815250151760198,0.05165596608734308,0,0.0
2024-07-13,5.81,5.434043263449497,"(3, 0, 1)",-563.9684072320059,8.14,0.14134346775770415,0.37595673655050277,0.0647085605078318,1,5.434043263449497
2024-07-14,6.26,5.932946403432361,"(3, 0, 1)",-572.2454799367156,7.3,0.10696405502782803,0.3270535965676391,0.052244983477258644,1,5.932946403432361
