DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER,AIC
2023-12-01,5.61,5.4588695421261555,"(2, 0, 1)","(0, 0, 1, 7)",137.5656224975715
2023-12-02,5.0,5.661186617895497,"(2, 0, 1)","(0, 0, 1, 7)",137.41848018053003
2023-12-03,4.91,5.190607004916397,"(2, 0, 1)","(0, 0, 1, 7)",137.21034949976143
2023-12-04,4.96,5.095240157007009,"(2, 0, 1)","(0, 0, 1, 7)",137.2393230602222
2023-12-05,4.68,5.021535370938784,"(2, 0, 1)","(0, 0, 1, 7)",136.95123936614377
2023-12-06,9.45,4.778582943018018,"(2, 0, 1)","(1, 0, 0, 7)",136.83888136899904
2023-12-07,6.28,7.062639667841085,"(2, 0, 1)","(0, 0, 1, 7)",142.38567598681092
2023-12-08,5.35,6.103295394937913,"(2, 0, 1)","(0, 0, 1, 7)",142.61353956371602
2023-12-09,8.8,5.492640398855362,"(2, 0, 1)","(0, 0, 1, 7)",142.7121246091979
2023-12-10,6.06,7.362972642613064,"(2, 0, 1)","(0, 0, 1, 7)",143.36202692141424
2023-12-11,7.0,6.377759512111738,"(5, 0, 1)","(0, 0, 0, 7)",147.72751366817218
2023-12-12,8.68,6.756642657847664,"(5, 0, 1)","(0, 0, 0, 7)",146.3149514880105
2023-12-13,6.37,7.529817589965692,"(5, 0, 1)","(0, 0, 0, 7)",147.0481974376357
2023-12-14,5.9,6.728673581960524,"(5, 0, 1)","(0, 0, 0, 7)",146.9794673803242
2023-12-15,5.5,6.188835151604412,"(5, 0, 1)","(0, 0, 0, 7)",140.27742917319773
2023-12-16,5.57,5.84875783607702,"(5, 0, 1)","(0, 0, 0, 7)",140.32605440331125
2023-12-17,6.68,5.988595553410846,"(5, 0, 1)","(0, 0, 0, 7)",138.6123740681847
2023-12-18,6.57,6.496391929857879,"(5, 0, 1)","(0, 0, 0, 7)",136.9812393017119
2023-12-19,6.16,6.412415825461847,"(5, 0, 1)","(0, 0, 0, 7)",136.6323667811577
2023-12-20,5.64,6.058689744043304,"(5, 0, 1)","(0, 0, 0, 7)",136.56503031617143
2023-12-21,5.14,5.72352731700701,"(5, 0, 1)","(0, 0, 0, 7)",136.57520073805767
2023-12-22,5.0,5.443898291702288,"(5, 0, 1)","(0, 0, 0, 7)",136.66262139640483
2023-12-23,6.15,5.316028874898517,"(5, 0, 1)","(0, 0, 0, 7)",136.76045059168902
2023-12-24,7.2,5.945255497381189,"(5, 0, 1)","(0, 0, 0, 7)",133.35190523111544
2023-12-25,6.65,6.572978650958796,"(5, 0, 1)","(0, 0, 0, 7)",130.4849954625499
2023-12-26,6.26,6.258210997336924,"(5, 0, 0)","(1, 0, 0, 7)",130.4160096486989
2023-12-27,6.36,6.032760660832613,"(5, 0, 0)","(1, 0, 0, 7)",129.52859022249868
2023-12-28,5.73,6.167576233394041,"(5, 0, 1)","(0, 0, 0, 7)",127.19217237732914
2023-12-29,5.37,5.862649958892742,"(2, 0, 1)","(0, 0, 1, 7)",124.01153240517507
2023-12-30,5.02,5.723184026645577,"(1, 0, 1)","(1, 0, 0, 7)",131.03402493627104
2023-12-31,6.83,5.367488003871241,"(5, 0, 0)","(1, 0, 0, 7)",128.80033183821203
2024-01-01,5.25,6.293654919923787,"(5, 0, 0)","(1, 0, 0, 7)",129.55436252695154
2024-01-02,5.19,5.490863262388884,"(2, 0, 1)","(0, 0, 1, 7)",123.9740484927532
