DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER,AIC,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01 04:00:00,18.51,14.340321513892672,"(2, 0, 2)","(2, 0, 1, 7)",41.95035954440658,18.51,17.386218677506314,4.16967848610733,0.22526626072973147,1,14.340321513892672
2024-07-02 04:00:00,17.01,19.120934804489163,"(1, 0, 3)","(1, 0, 1, 7)",37.16181078581146,17.01,4.456045748803696,2.110934804489162,0.12409963577243749,0,0.0
2024-07-03 04:00:00,15.2,15.87903045754566,"(1, 0, 4)","(2, 0, 1, 7)",29.50850276396045,15.2,0.46108236227466964,0.6790304575456609,0.044673056417477694,0,0.0
2024-07-04 04:00:00,13.6,14.837604058606892,"(1, 0, 2)","(1, 0, 1, 7)",10.8958125404967,13.6,1.5316638058802534,1.2376040586068928,0.09100029842697742,0,0.0
2024-07-05 04:00:00,12.95,12.719668225598744,"(1, 0, 2)","(1, 0, 1, 7)",3.1590338694872173,12.95,0.05305272629883092,0.23033177440125563,0.017786237405502368,1,12.719668225598744
2024-07-06 04:00:00,11.62,12.777589907657058,"(5, 0, 0)","(1, 0, 1, 7)",-15.02124359521912,11.62,1.3400143943094776,1.1575899076570586,0.099620473980814,0,0.0
2024-07-07 04:00:00,10.48,10.52656834886627,"(1, 0, 0)","(1, 0, 1, 7)",-17.496488369084467,10.48,0.0021686111161306133,0.046568348866269815,0.004443544739147883,0,0.0
2024-07-08 04:00:00,17.14,13.670262098242551,"(1, 0, 0)","(1, 0, 1, 7)",-19.102560673532658,17.14,12.039081106892189,3.4697379017574494,0.2024351167886493,1,13.670262098242551
2024-07-09 04:00:00,15.27,17.66408824205497,"(1, 0, 3)","(1, 0, 1, 7)",-20.21026743679212,15.27,5.731658510745856,2.39408824205497,0.1567837748562521,0,0.0
2024-07-10 04:00:00,14.41,14.010319651473749,"(2, 0, 2)","(1, 0, 1, 7)",-38.48238398656777,14.41,0.15974438099806582,0.39968034852625145,0.027736318426526817,1,14.010319651473749
2024-07-11 04:00:00,13.98,13.599021371044834,"(1, 0, 3)","(1, 0, 1, 7)",-55.351135422905486,13.98,0.14514471572055804,0.380978628955166,0.027251690197079112,1,13.599021371044834
2024-07-12 04:00:00,13.09,13.023276530474211,"(1, 0, 3)","(1, 0, 1, 7)",-56.00159727176119,13.09,0.0044520213855588344,0.06672346952578856,0.005097285678058713,1,13.023276530474211
2024-07-13 04:00:00,12.04,11.8115975379089,"(1, 0, 3)","(1, 0, 1, 7)",-55.86989959145154,12.04,0.05216768468927578,0.2284024620910987,0.01897030416039026,1,11.8115975379089
2024-07-14 04:00:00,10.78,11.362746565145562,"(2, 0, 2)","(1, 0, 1, 7)",-56.1815411260598,10.78,0.3395935591889514,0.5827465651455626,0.054058122926304505,0,0.0
2024-07-15 04:00:00,14.29,13.410999927091494,"(2, 0, 2)","(1, 0, 1, 7)",-56.61557667365979,14.29,0.7726411281731579,0.8790000729085055,0.061511551638103956,1,13.410999927091494
2024-07-16 04:00:00,28.94,14.263868833797272,"(2, 0, 2)","(1, 0, 1, 7)",-59.06227064432602,28.94,215.38882600758708,14.67613116620273,0.5071227078853742,1,14.263868833797272
2024-07-17 04:00:00,17.92,21.540156777396607,"(1, 0, 3)","(1, 0, 1, 7)",-51.806536778166986,17.92,13.105535092930575,3.6201567773966055,0.20201767731007841,0,0.0
2024-07-18 04:00:00,15.69,16.588248880164954,"(1, 0, 3)","(1, 0, 1, 7)",-66.74425898459823,15.69,0.8068510507175954,0.8982488801649549,0.05724976929030943,0,0.0
2024-07-19 04:00:00,13.65,14.129864580777292,"(1, 0, 3)","(1, 0, 1, 7)",-67.64516878379456,13.65,0.2302700158845663,0.4798645807772921,0.03515491434265876,0,0.0
2024-07-20 04:00:00,11.72,12.708271588540637,"(1, 0, 3)","(1, 0, 1, 7)",-67.27948348504698,11.72,0.9766807327166319,0.9882715885406359,0.08432351438060033,0,0.0
2024-07-21 04:00:00,10.89,10.738281857420477,"(1, 0, 1)","(1, 0, 1, 7)",-65.53189674877314,10.89,0.02301839478778077,0.15171814257952398,0.013931877188202385,1,10.738281857420477
2024-07-22 04:00:00,12.66,14.237101477774306,"(1, 0, 1)","(1, 0, 1, 7)",-65.64697383149039,12.66,2.4872490711979003,1.5771014777743062,0.1245735764434681,0,0.0
2024-07-23 04:00:00,12.21,14.1649958553453,"(2, 0, 2)","(1, 0, 1, 7)",-73.78613604196345,12.21,3.8220087944172967,1.9549958553452988,0.16011432066710063,0,0.0
2024-07-24 04:00:00,11.05,12.26996204924685,"(2, 0, 2)","(1, 0, 1, 7)",-76.00131002074224,11.05,1.4883074016025712,1.219962049246849,0.11040380536170578,0,0.0
2024-07-25 04:00:00,11.93,11.22631683259297,"(2, 0, 2)","(1, 0, 1, 7)",-76.33601802215595,11.93,0.49517000009199064,0.7036831674070303,0.05898433926295309,1,11.22631683259297
2024-07-26 04:00:00,10.28,11.089645388051167,"(2, 0, 2)","(1, 0, 1, 7)",-76.0238703427437,10.28,0.6555256543925261,0.8096453880511678,0.07875927899330426,0,0.0
2024-07-27 04:00:00,9.46,9.512940769526736,"(1, 0, 3)","(1, 0, 1, 7)",-74.88379295040639,9.46,0.0028027250780828955,0.05294076952673521,0.005596275848492094,0,0.0
2024-07-28 04:00:00,10.23,8.709054928285074,"(1, 0, 1)","(1, 0, 1, 7)",-73.16792188146061,10.23,2.3132739111739236,1.5209450717149267,0.14867498257232908,1,8.709054928285074
2024-07-29 04:00:00,11.89,12.90159235253763,"(1, 0, 1)","(1, 0, 1, 7)",-72.72669506159737,11.89,1.023319087712616,1.0115923525376296,0.08507925589046506,0,0.0
