MODEL,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,RMSE,MAPE,MAE,ZERO_COUNT,NEGATIVE_COUNT,ACCEPTANCE,CHANCE_OF_ACCEPTANCE,REVENUE,MAPE_NORM,RMSE_NORM,MAE_NORM,COMBINED_SCORE,MODEL_NAME,MODEL_GROUP
lstm_ts42_ensemble,00_04,NEG,AVERAGE,2.688239941487401,0.13899501388715266,1.4064031511706785,0,0,402,0.8854625550660793,3025.6614001763537,0.7995861983757044,0.9783818844157007,0.9201516155234185,0.8983753624276489,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,00_04,NEG,MARGINAL,6.17066145243438,0.22337770513718394,3.0329310204215028,0,0,238,0.5242290748898678,2273.2573245736926,0.6779166832487946,0.9503771704111734,0.8278056743487935,0.8172920110753792,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,00_04,POS,AVERAGE,1.905272959004077,0.3249402688260361,1.4394600910032156,0,0,110,0.2422907488986784,591.331087395348,0.531475894314323,0.9846782980894925,0.9182748113942678,0.8086763301965108,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,00_04,POS,MARGINAL,4.167728864966698,0.38594716095740933,2.258155997072438,0,0,50,0.11013215859030837,304.3288867153,0.4435114210904244,0.9664842252596622,0.8717934412246946,0.757425513110582,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,04_08,NEG,AVERAGE,1.517333000225367,0.09819763464842722,0.7706508541915448,0,0,413,0.9096916299559471,2941.797246063152,0.8584110269855947,0.9877980087742486,0.9562463823751597,0.9333943982544071,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,04_08,NEG,MARGINAL,5.995053937354098,0.15230157087527268,1.8244182561289854,0,0,228,0.5022026431718062,1990.8758372523314,0.7803997714821138,0.9517893596655211,0.8964188538398671,0.8752446327606969,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,04_08,POS,AVERAGE,3.60464425391553,0.16883938680011584,1.6652418703532268,0,0,273,0.6013215859030837,2881.9972910219203,0.7565542646011869,0.9710124029783183,0.9054560756638055,0.8764630479163045,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,04_08,POS,MARGINAL,16.836855325732415,0.2528295229996855,4.1751041701611555,0,0,182,0.4008810572687225,2168.405590221481,0.6354507658212643,0.8646024564658399,0.7629589191894885,0.7531485143454882,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,08_12,NEG,AVERAGE,5.709266895843059,0.2257449640018332,3.083014551538028,0,0,343,0.7555066079295154,3714.527469473557,0.6745033856403039,0.9540875835705132,0.8249621873691118,0.8164175755277796,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,08_12,NEG,MARGINAL,19.001441266298784,0.2984312095708219,6.03745762249899,0,0,243,0.5352422907488987,3579.0877943357996,0.5696987139266475,0.8471954280480485,0.6572240064301004,0.6901559761128493,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,08_12,POS,AVERAGE,12.132091884368586,0.12664679738193382,3.5234434070198355,0,0,372,0.8193832599118943,5550.966727168328,0.8173908155621884,0.9024369214265509,0.799956887460747,0.8397028342239523,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,08_12,POS,MARGINAL,57.542966496879416,0.16135550705170654,9.863923762859345,0,0,232,0.5110132158590308,4261.794271858717,0.7673451034185814,0.5372546618347196,0.43997681147907375,0.5833837213558696,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,12_16,NEG,AVERAGE,6.178895510468591,0.13295857346635614,3.4436085570356116,0,0,432,0.9515418502202643,8645.357688363629,0.80829000680147,0.9503109542912638,0.8044895023022768,0.8539027529883683,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,12_16,NEG,MARGINAL,24.273582445355206,0.2151520578619354,7.709465214301743,0,0,306,0.6740088105726872,6410.777841142801,0.6897770600720345,0.8047982611781432,0.5622959590015241,0.685665293083782,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,12_16,POS,AVERAGE,11.562162741765889,0.20935818298918005,2.778619113128711,0,0,217,0.4779735682819383,2463.248912142662,0.6981311186595398,0.9070201410601483,0.8422442049604355,0.8146218145310362,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,12_16,POS,MARGINAL,68.42443083990159,0.34692111528075037,9.490181991946047,0,0,57,0.12555066079295155,1160.3340364500534,0.4997822034565649,0.4497487996296784,0.46119595948368586,0.4705377196826423,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,16_20,NEG,AVERAGE,1.5654410106714856,0.1764349497622315,0.9021580119377861,0,0,353,0.7775330396475771,2817.304284604098,0.745602392255966,0.9874111368606577,0.9487800779343571,0.8924479142493834,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,16_20,NEG,MARGINAL,10.854566632960024,0.3173521831063904,2.3091312335643406,0,0,199,0.43832599118942733,2382.7369258891135,0.5424169853908697,0.9127104420749832,0.8688993277702403,0.7723529990818194,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,16_20,POS,AVERAGE,15.348879264081708,0.18800801898156022,5.907933412743259,0,0,417,0.9185022026431718,6859.287594310581,0.7289154426032982,0.8765683669454072,0.6645777292164807,0.7564094622185444,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,16_20,POS,MARGINAL,29.667635532393888,0.1980767691122227,9.565169654576199,0,0,296,0.6519823788546255,6162.666912884972,0.7143975369974935,0.7614207109439448,0.4569385431719345,0.644953716437388,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,20_24,NEG,AVERAGE,0.7162499594085867,0.19427424931301962,0.4654299621900888,0,0,303,0.6674008810572687,937.2800957964632,0.7198803052450556,0.9942401070042962,0.9735752650035375,0.8941383765459041,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,20_24,NEG,MARGINAL,2.185602229376993,0.2744458634731766,1.0336303707983028,0,0,159,0.3502202643171806,648.744120997285,0.6042826479849315,0.9824239641384722,0.9413157491964704,0.8402902057154078,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,20_24,POS,AVERAGE,4.3059109777430065,0.15345957985579536,2.772039675734005,0,0,375,0.8259911894273128,4982.148323072662,0.7787300642342693,0.9653730012057453,0.8426177517960599,0.8614051703302474,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_ensemble,20_24,POS,MARGINAL,6.6013188967494765,0.17986267782725718,3.631901628168528,0,0,245,0.539647577092511,4586.207910253552,0.7406600278269526,0.9469139369903905,0.7937991838643649,0.8262597393432332,"LSTM (42 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_recency,00_04,NEG,AVERAGE,2.536293773322615,0.15765523923921645,1.4603182319261379,0,0,317,0.698237885462555,2632.0390361912446,0.7726804368135709,0.9796037953676525,0.9170905927337124,0.8886204965900646,"LSTM (42 TimeSteps, Weighted Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_recency,00_04,NEG,MARGINAL,6.106339078903611,0.24293252864336923,3.0646358833666985,0,0,200,0.44052863436123346,2110.669784294996,0.6497210206176982,0.95089443395011,0.8260056342364559,0.8072821695115842,"LSTM (42 TimeSteps, Weighted Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_recency,00_04,POS,AVERAGE,1.2286457739428422,0.15038701083942402,0.7388802682734341,0,0,244,0.5374449339207048,1091.9223936646008,0.7831603327748656,0.9901195551991683,0.9580501539020678,0.9091705171468623,"LSTM (42 TimeSteps, Weighted Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_recency,00_04,POS,MARGINAL,3.8235498325299133,0.2536932018134406,1.6192305570145844,0,0,99,0.21806167400881057,509.12152506824987,0.634205446657603,0.9692520221330299,0.9080683629263008,0.8351455789331641,"LSTM (42 TimeSteps, Weighted Ensemble)",EXPANDING_WINDOW_LSTM
lstm_ts42_recency,04_08,NEG,AVERAGE,1.5040219080841415,0.08875602514757061,0.7156058358647854,0,0,428,0.9427312775330396,2956.4304714813866,0.8720246725445282,0.987905053061487,0.9593715572464027,0.9390896700667433,"LSTM (42 TimeSteps, Weighted Ensemble)",EXPANDING_WINDOW_LSTM
