DATE,ACTUAL_VALUE,MARGINAL_PRICE,MODEL,MODEL_NAME,D+1_arma,RMSE_arma,MAPE_arma,MAE_arma,D+1_armax,RMSE_armax,MAPE_armax,MAE_armax,D+1_sarma,RMSE_sarma,MAPE_sarma,MAE_sarma,D+1_sarmax,RMSE_sarmax,MAPE_sarmax,MAE_sarmax
2023-12-01 12:00:00,3.38,3.88,arma,ARMA,5.717785560101808,5.465241325020523,0.6916525325744993,2.337785560101808,3.88731496134762,0.2573684700071374,0.1500931838306568,0.5073149613476202,4.330670938730136,0.903775233746038,0.2812635913402769,0.950670938730136,4.855900923877787,2.178283537103305,0.4366570780703512,1.475900923877787
2023-12-02 12:00:00,3.38,4.34,arma,ARMA,5.020099351378389,2.689925882391812,0.4852364944906476,1.6400993513783888,3.2752064265443845,0.0109816930375974,0.0310040158152708,0.1047935734556153,4.871249332514957,2.223824571726304,0.441198027371289,1.4912493325149567,4.257267560180892,0.7695983721457345,0.2595466154381336,0.8772675601808917
2023-12-03 12:00:00,3.52,4.29,arma,ARMA,3.824638507166803,0.0928046200488182,0.0865450304451144,0.3046385071668029,3.73109352545852,0.0445604764905067,0.0599697515507158,0.2110935254585197,4.739678952601252,1.4876167474184865,0.3464997024435374,1.2196789526012517,5.078737262057941,2.429661852127886,0.442823085811915,1.558737262057941
2023-12-04 12:00:00,2.95,3.38,arma,ARMA,4.481256357622148,2.344746032758247,0.5190699517363213,1.5312563576221478,3.274018160581285,0.1049877683864793,0.1098366646038253,0.3240181605812848,3.037792369203141,0.0077075000903005,0.029760125153607,0.0877923692031408,3.625877222263168,0.4568100195741754,0.2291109228010737,0.6758772222631677
2023-12-05 12:00:00,2.43,3.0,arma,ARMA,3.603963553539397,1.3781904250388477,0.4831125734730027,1.1739635535393966,2.9976769607901845,0.3222571318119805,0.2336119180206519,0.5676769607901844,2.978418088174989,0.3007623994375099,0.22568645603909,0.5484180881749889,3.081360698915675,0.4242707600919166,0.2680496703356687,0.651360698915675
2023-12-06 12:00:00,2.68,6.53,arma,ARMA,3.067790377948447,0.150381377229399,0.1446979022195696,0.3877903779484466,2.223809607859423,0.2081096738813736,0.1702202955748422,0.4561903921405772,2.48126098659971,0.0394971954473206,0.0741563482836902,0.19873901340029,2.525160553467415,0.0239752542025172,0.0577759128852929,0.154839446532585
2023-12-07 12:00:00,3.36,4.84,arma,ARMA,3.426664756719943,0.0044441897885291,0.0198407014047449,0.0666647567199429,2.837133372229554,0.273389510436038,0.1556150677888232,0.5228666277704459,2.960837404630799,0.1593307775418765,0.1187983914789289,0.399162595369201,3.411856727511744,0.0026891201882272,0.0154335498546857,0.051856727511744
2023-12-08 12:00:00,3.38,4.3,arma,ARMA,3.9648787324160257,0.3420831316325771,0.1730410450934987,0.5848787324160258,3.6845150528578463,0.092729417417017,0.0900932109046882,0.3045150528578464,3.263451301815556,0.0135835990484885,0.0344818633681786,0.1165486981844439,2.884900610605722,0.2451234053785868,0.1464791092882479,0.4950993893942779
2023-12-09 12:00:00,4.46,7.35,arma,ARMA,3.462255697490261,0.9954936931906456,0.2237094848676545,0.997744302509739,5.357753331889924,0.8059610449194604,0.2012899847286825,0.8977533318899242,4.298774534392563,0.0259936507603348,0.0361492075352997,0.161225465607437,4.861008777884974,0.1608080399408006,0.0899122820369897,0.4010087778849742
2023-12-10 12:00:00,7.16,11.69,arma,ARMA,4.622004421307432,6.441421557463023,0.3544686562419787,2.537995578692568,5.59735660028952,2.441854394658728,0.2182462848757654,1.5626433997104805,5.561800927531047,2.554240275240621,0.2232121609593509,1.5981990724689528,6.480258305052225,0.4620487718504737,0.0949359909144936,0.6797416949477748
2023-12-11 12:00:00,5.67,6.9,arma,ARMA,6.1798868122069655,0.2599845612625813,0.0899271273733625,0.5098868122069655,5.159624130091851,0.2604835285844997,0.0900133809361814,0.5103758699081489,5.275198220413504,0.1558684451646641,0.0696299434896818,0.394801779586496,4.046143639822232,2.6369094784897875,0.2863944197844387,1.6238563601777676
2023-12-12 12:00:00,4.01,5.51,arma,ARMA,4.821912806945126,0.6592024060815138,0.2024720216820763,0.8119128069451262,4.636661611340055,0.3927047751273146,0.1562747160449016,0.6266616113400554,4.991122436399035,0.9626012352055788,0.2446689367578641,0.9811224363990352,2.94884637577266,1.126047014210818,0.2646268389594363,1.0611536242273396
