PRODUCT,PRODUCT_SIGN,PRICE_TYPE,MODEL,RMSE,MAPE,MAE,ZERO_COUNT,NEGATIVE_COUNT,ACCEPTANCE,CHANCE_OF_ACCEPTANCE,REVENUE,MAPE_NORM,RMSE_NORM,MAE_NORM,COMBINED_SCORE
00_04,NEG,AVERAGE,"LSTM (168 TimeSteps, Ensemble)",2.998988636099229,0.1326428727509388,1.488173903389359,0,0,426,0.9530201342281879,3026.0388830815964,0.8087452086017566,0.9758829254894109,0.9155090900451006,0.8991327360509862
00_04,NEG,MARGINAL,SARMAX (6 Months),6.773034804865581,0.24981015163033726,3.3051437288669026,0,0,321,0.7039473684210527,2548.396495678716,0.6398043298644891,0.9455330430113869,0.8123508277173228,0.7976351494944005
00_04,POS,AVERAGE,SARMA,1.3899531585131695,0.0658039615784476,0.39775121394753515,0,0,419,0.918859649122807,1817.259961139132,0.9051187396363523,0.9888223638173927,0.9774177185034937,0.9565995986422524
00_04,POS,MARGINAL,SARMAX (3 Months),5.051875586192359,0.24808060532222495,1.8497436074259233,0,0,390,0.8552631578947368,1494.7412561739782,0.6422981240014174,0.9593741508507685,0.8949810098008523,0.8303185651755167
04_08,NEG,AVERAGE,"BiLSTM (42 TimeSteps, Single)",1.5293318731734424,0.09081015687637171,0.7230838873180907,0,0,423,0.9317180616740088,2969.3942496304303,0.8690628659495064,0.9877015170071747,0.9589469916962742,0.9378753822949704
04_08,NEG,MARGINAL,"LSTM (42 TimeSteps, Weighted Ensemble)",6.040319271543552,0.14689899142974375,1.8514804144995938,0,0,269,0.5925110132158591,2365.6763814954575,0.7881896299452008,0.951425347803571,0.894882402769956,0.8772660318706322
04_08,POS,AVERAGE,SARMA,3.6275874498252496,0.10069623800313297,1.3146601933995483,0,0,398,0.8728070175438597,3590.1814000729855,0.8548083466946719,0.9708278998566306,0.9253603118769713,0.9163769477482772
04_08,POS,MARGINAL,"LSTM with Feature (42 TimeSteps, Single)",16.764836473607097,0.2181316000491557,4.045673539447822,0,0,279,0.6145374449339207,2831.455664470996,0.6854809248356613,0.8651816130528194,0.7703073290360123,0.7727748653334393
08_12,NEG,AVERAGE,"LSTM with Feature (42 TimeSteps, Single)",3.8211842379875898,0.15920152661862122,1.847582375442844,0,0,417,0.9185022026431718,4401.019628459275,0.770450879626996,0.969271045619532,0.8951037135093759,0.8771969695857182
08_12,NEG,MARGINAL,"LSTM with Feature (168 TimeSteps, Single)",18.55952766492861,0.25469528198600955,5.133738382879245,0,0,243,0.5424107142857143,3622.149014951511,0.6327605696702896,0.850749180510862,0.7085325670259548,0.7297015703750481
08_12,POS,AVERAGE,"BiLSTM (42 TimeSteps, Weighted Ensemble)",11.868834443321292,0.11028617179878095,3.2211427736286957,0,0,395,0.8700440528634361,5883.28559719234,0.8409808356526461,0.904553968235192,0.8171199727271853,0.8540858846394843
08_12,POS,MARGINAL,"LSTM with Feature (168 TimeSteps, Ensemble)",58.96654916992119,0.23297812735958878,11.908726158010749,0,0,360,0.8035714285714286,5048.053310549531,0.6640740491788227,0.525806585978591,0.32388338002538575,0.5061828655021121
12_16,NEG,AVERAGE,"LSTM with Feature (42 TimeSteps, Single)",5.496473215335798,0.12234281212303928,2.7582798631177585,0,0,428,0.9427312775330396,9165.417206233105,0.8235966356398086,0.955798814145515,0.843398963646441,0.8737581227888804
12_16,NEG,MARGINAL,"BiLSTM (168 TimeSteps, Ensemble)",22.92183622670289,0.22538187011058228,8.776574600755419,0,0,372,0.8303571428571429,8528.442611642575,0.6750269226007823,0.815668647241709,0.5017109407603486,0.664244417724945
12_16,POS,AVERAGE,"LSTM (42 TimeSteps, Single)",11.494638418958129,0.13083378142934687,2.2269042783925075,0,0,395,0.8700440528634361,3719.1957171415193,0.8113536969144389,0.9075631538294631,0.8735677541211297,0.863633456574605
12_16,POS,MARGINAL,"BiLSTM (168 TimeSteps, Single)",69.19445472488195,0.22579677215405014,8.851986757233204,0,0,340,0.7589285714285714,3316.5914876857546,0.6744286846244145,0.44355647092743977,0.49742942385700983,0.5398310980511694
16_20,NEG,AVERAGE,"LSTM (42 TimeSteps, Single)",1.3898855937740155,0.14554015289792013,0.7195138299908956,0,0,400,0.8810572687224669,3072.195666313417,0.7901489088311142,0.9888229071551796,0.9591496813090129,0.9114815831957623
16_20,NEG,MARGINAL,"LSTM (42 TimeSteps, Weighted Ensemble)",11.211288286388033,0.27302155664285366,2.458010790158418,0,0,307,0.6762114537444934,2731.6310690221617,0.6063363241461226,0.9098417807563949,0.8604467072924409,0.7903495512657974
16_20,POS,AVERAGE,"LSTM with Feature (168 TimeSteps, Weighted Ensemble)",14.615550223155783,0.1416731801969668,4.844941349172047,0,0,424,0.9464285714285714,7434.24049609933,0.7957246102760929,0.8824656054037006,0.7249289869031099,0.800986582955119
16_20,POS,MARGINAL,"BiLSTM (42 TimeSteps, Ensemble)",31.735068136530423,0.24096564279081728,11.176363420852692,0,0,388,0.8546255506607929,7068.5580345621065,0.6525570293351837,0.7447949639973224,0.3654631940099047,0.5882545821163474
20_24,NEG,AVERAGE,"LSTM with Feature (168 TimeSteps, Single)",0.582220602531567,0.12868232579553043,0.3553435177948029,0,0,427,0.953125,1117.2656231676235,0.8144558326712599,0.995317935692108,0.9798254107959568,0.9287122874492899
20_24,NEG,MARGINAL,SARMAX (3 Months),2.330071322223826,0.2165638573857977,1.0548373809786755,0,0,309,0.6776315789473685,948.8394522698464,0.6877414179162783,0.9812621818513622,0.9401117235221311,0.8678854708647874
20_24,POS,AVERAGE,"LSTM with Feature (168 TimeSteps, Single)",2.0386283395997005,0.07894202321782195,1.204812632656577,0,0,425,0.9486607142857143,5850.464845105961,0.8861752624173849,0.9836058893409232,0.9315968950762613,0.9333165080795818
20_24,POS,MARGINAL,"BiLSTM (168 TimeSteps, Single)",7.442904411802546,0.1623436592123991,3.4012966854214546,0,0,274,0.6116071428571429,4935.979788736305,0.7659203089200648,0.9401461285601568,0.8068917541670844,0.8369354063328116
