DATE,ACTUAL_VALUE,MARGINAL_PRICE,D+1,RMSE,MAPE,MAE
2023-12-02 12:00:00,4.34,4.34,3.88,0.45999999999999996,0.10599078341013825,0.45999999999999996
2023-12-03 12:00:00,4.29,4.29,4.34,0.04999999999999982,0.011655011655011614,0.04999999999999982
2023-12-04 12:00:00,3.38,3.38,4.29,0.9100000000000001,0.2692307692307693,0.9100000000000001
2023-12-05 12:00:00,3.0,3.0,3.38,0.3799999999999999,0.12666666666666662,0.3799999999999999
2023-12-06 12:00:00,6.53,6.53,3.0,3.5300000000000002,0.5405819295558959,3.5300000000000002
2023-12-07 12:00:00,4.84,4.84,6.53,1.6900000000000004,0.3491735537190084,1.6900000000000004
2023-12-08 12:00:00,4.3,4.3,4.84,0.54,0.12558139534883722,0.54
2023-12-09 12:00:00,7.35,7.35,4.3,3.05,0.41496598639455784,3.05
2023-12-10 12:00:00,11.69,11.69,7.35,4.34,0.3712574850299401,4.34
2023-12-11 12:00:00,6.9,6.9,11.69,4.789999999999999,0.6942028985507245,4.789999999999999
2023-12-12 12:00:00,5.51,5.51,6.9,1.3900000000000006,0.25226860254083494,1.3900000000000006
2023-12-13 12:00:00,5.9,5.9,5.51,0.39000000000000057,0.06610169491525433,0.39000000000000057
2023-12-14 12:00:00,4.5,4.5,5.9,1.4000000000000004,0.31111111111111117,1.4000000000000004
2023-12-15 12:00:00,4.05,4.05,4.5,0.4500000000000002,0.11111111111111116,0.4500000000000002
2023-12-16 12:00:00,5.69,5.69,4.05,1.6400000000000006,0.288224956063269,1.6400000000000006
2023-12-17 12:00:00,12.65,12.65,5.69,6.96,0.550197628458498,6.96
2023-12-18 12:00:00,7.61,7.61,12.65,5.04,0.6622864651773981,5.04
2023-12-19 12:00:00,5.61,5.61,7.61,2.0,0.35650623885918004,2.0
2023-12-20 12:00:00,7.19,7.19,5.61,1.58,0.21974965229485396,1.58
2023-12-21 12:00:00,15.29,15.29,7.19,8.099999999999998,0.5297580117724001,8.099999999999998
2023-12-22 12:00:00,20.97,20.97,15.29,5.68,0.2708631378159275,5.68
2023-12-23 12:00:00,16.0,16.0,20.97,4.969999999999999,0.31062499999999993,4.969999999999999
2023-12-24 12:00:00,24.11,24.11,16.0,8.11,0.3363749481542928,8.11
