DATE,ACTUAL_VALUE,MARGINAL_PRICE,D+1,RMSE,MAPE,MAE
2023-12-02 12:00:00,3.38,4.34,3.38,0.0,0.0,0.0
2023-12-03 12:00:00,3.52,4.29,3.38,0.14000000000000012,0.03977272727272731,0.14000000000000012
2023-12-04 12:00:00,2.95,3.38,3.52,0.5699999999999998,0.19322033898305077,0.5699999999999998
2023-12-05 12:00:00,2.43,3.0,2.95,0.52,0.2139917695473251,0.52
2023-12-06 12:00:00,2.68,6.53,2.43,0.25,0.09328358208955223,0.25
2023-12-07 12:00:00,3.36,4.84,2.68,0.6799999999999997,0.2023809523809523,0.6799999999999997
2023-12-08 12:00:00,3.38,4.3,3.36,0.020000000000000018,0.0059171597633136145,0.020000000000000018
2023-12-09 12:00:00,4.46,7.35,3.38,1.08,0.242152466367713,1.08
2023-12-10 12:00:00,7.16,11.69,4.46,2.7,0.3770949720670391,2.7
2023-12-11 12:00:00,5.67,6.9,7.16,1.4900000000000002,0.2627865961199295,1.4900000000000002
2023-12-12 12:00:00,4.01,5.51,5.67,1.6600000000000001,0.4139650872817956,1.6600000000000001
2023-12-13 12:00:00,3.95,5.9,4.01,0.05999999999999961,0.01518987341772142,0.05999999999999961
2023-12-14 12:00:00,3.64,4.5,3.95,0.31000000000000005,0.08516483516483518,0.31000000000000005
2023-12-15 12:00:00,3.35,4.05,3.64,0.29000000000000004,0.08656716417910448,0.29000000000000004
2023-12-16 12:00:00,4.06,5.69,3.35,0.7099999999999995,0.1748768472906403,0.7099999999999995
2023-12-17 12:00:00,9.6,12.65,4.06,5.54,0.5770833333333334,5.54
2023-12-18 12:00:00,5.91,7.61,9.6,3.6899999999999995,0.6243654822335024,3.6899999999999995
2023-12-19 12:00:00,4.86,5.61,5.91,1.0499999999999998,0.21604938271604934,1.0499999999999998
2023-12-20 12:00:00,5.25,7.19,4.86,0.3899999999999997,0.07428571428571422,0.3899999999999997
2023-12-21 12:00:00,8.11,15.29,5.25,2.8599999999999994,0.35265104808877923,2.8599999999999994
2023-12-22 12:00:00,12.8,20.97,8.11,4.690000000000001,0.3664062500000001,4.690000000000001
2023-12-23 12:00:00,12.55,16.0,12.8,0.25,0.0199203187250996,0.25
2023-12-24 12:00:00,18.53,24.11,12.55,5.98,0.3227199136535348,5.98
2023-12-25 12:00:00,16.2,19.29,18.53,2.330000000000002,0.1438271604938273,2.330000000000002
2023-12-26 12:00:00,13.54,15.39,16.2,2.66,0.19645494830132942,2.66
2023-12-27 12:00:00,8.22,9.86,13.54,5.3199999999999985,0.6472019464720192,5.3199999999999985
2023-12-28 12:00:00,8.88,11.92,8.22,0.6600000000000001,0.07432432432432433,0.6600000000000001
2023-12-29 12:00:00,10.77,16.0,8.88,1.8899999999999988,0.1754874651810584,1.8899999999999988
2023-12-30 12:00:00,9.84,11.46,10.77,0.9299999999999997,0.09451219512195119,0.9299999999999997
2023-12-31 12:00:00,14.36,25.0,9.84,4.52,0.31476323119777155,4.52
2024-01-01 12:00:00,15.02,20.63,14.36,0.6600000000000001,0.04394141145139815,0.6600000000000001
2024-01-02 12:00:00,10.88,12.33,15.02,4.139999999999999,0.3805147058823528,4.139999999999999
2024-01-03 12:00:00,10.29,12.84,10.88,0.5900000000000016,0.05733722060252689,0.5900000000000016
2024-01-04 12:00:00,8.36,9.33,10.29,1.9299999999999997,0.23086124401913874,1.9299999999999997
2024-01-05 12:00:00,6.3,7.29,8.36,2.0599999999999996,0.32698412698412693,2.0599999999999996
2024-01-06 12:00:00,5.42,6.2,6.3,0.8799999999999999,0.16236162361623616,0.8799999999999999
2024-01-07 12:00:00,5.19,5.86,5.42,0.22999999999999954,0.044315992292870816,0.22999999999999954
2024-01-08 12:00:00,4.44,4.99,5.19,0.75,0.16891891891891891,0.75
2024-01-09 12:00:00,3.65,3.98,4.44,0.7900000000000005,0.2164383561643837,0.7900000000000005
2024-01-10 12:00:00,3.22,7.52,3.65,0.4299999999999997,0.13354037267080734,0.4299999999999997
2024-01-11 12:00:00,3.9,4.67,3.22,0.6799999999999997,0.1743589743589743,0.6799999999999997
2024-01-12 12:00:00,3.18,3.77,3.9,0.7199999999999998,0.22641509433962256,0.7199999999999998
2024-01-13 12:00:00,4.84,6.24,3.18,1.6599999999999997,0.3429752066115702,1.6599999999999997
2024-01-14 12:00:00,4.95,5.36,4.84,0.11000000000000032,0.022222222222222286,0.11000000000000032
2024-01-15 12:00:00,3.85,4.29,4.95,1.1,0.28571428571428575,1.1
2024-01-16 12:00:00,3.03,3.54,3.85,0.8200000000000003,0.27062706270627074,0.8200000000000003
2024-01-17 12:00:00,2.4,2.76,3.03,0.6299999999999999,0.26249999999999996,0.6299999999999999
2024-01-18 12:00:00,2.02,2.29,2.4,0.3799999999999999,0.18811881188118806,0.3799999999999999
2024-01-19 12:00:00,2.45,3.82,2.02,0.43000000000000016,0.1755102040816327,0.43000000000000016
2024-01-20 12:00:00,3.8,4.8,2.45,1.3499999999999996,0.3552631578947368,1.3499999999999996
2024-01-21 12:00:00,8.16,14.07,3.8,4.36,0.5343137254901961,4.36
2024-01-22 12:00:00,6.74,8.36,8.16,1.42,0.21068249258160235,1.42
2024-01-23 12:00:00,5.02,5.91,6.74,1.7200000000000006,0.3426294820717133,1.7200000000000006
2024-01-24 12:00:00,5.12,6.88,5.02,0.10000000000000053,0.019531250000000104,0.10000000000000053
2024-01-25 12:00:00,4.41,6.4,5.12,0.71,0.16099773242630383,0.71
2024-01-26 12:00:00,5.09,6.94,4.41,0.6799999999999997,0.13359528487229858,0.6799999999999997
2024-01-27 12:00:00,5.07,5.89,5.09,0.019999999999999574,0.003944773175542322,0.019999999999999574
2024-01-28 12:00:00,8.27,13.54,5.07,3.1999999999999993,0.3869407496977025,3.1999999999999993
2024-01-29 12:00:00,6.02,7.5,8.27,2.25,0.37375415282392027,2.25
2024-01-30 12:00:00,5.19,5.9,6.02,0.8299999999999992,0.1599229287090557,0.8299999999999992
2024-01-31 12:00:00,4.62,5.5,5.19,0.5700000000000003,0.12337662337662343,0.5700000000000003
2024-02-01 12:00:00,4.73,5.31,4.62,0.11000000000000032,0.023255813953488438,0.11000000000000032
2024-02-02 12:00:00,4.47,5.2,4.73,0.2600000000000007,0.05816554809843416,0.2600000000000007
2024-02-03 12:00:00,7.55,10.47,4.47,3.08,0.40794701986754967,3.08
2024-02-04 12:00:00,12.54,17.8,7.55,4.989999999999999,0.39792663476874,4.989999999999999
2024-02-05 12:00:00,9.06,11.73,12.54,3.4799999999999986,0.3841059602649005,3.4799999999999986
2024-02-06 12:00:00,7.93,10.13,9.06,1.1300000000000008,0.1424968474148803,1.1300000000000008
2024-02-07 12:00:00,5.65,6.54,7.93,2.2799999999999994,0.40353982300884944,2.2799999999999994
2024-02-08 12:00:00,4.1,4.86,5.65,1.5500000000000007,0.3780487804878051,1.5500000000000007
2024-02-09 12:00:00,3.84,4.6,4.1,0.2599999999999998,0.06770833333333329,0.2599999999999998
2024-02-10 12:00:00,3.52,3.84,3.84,0.31999999999999984,0.09090909090909087,0.31999999999999984
2024-02-11 12:00:00,3.64,4.73,3.52,0.1200000000000001,0.032967032967032996,0.1200000000000001
2024-02-12 12:00:00,3.44,3.83,3.64,0.20000000000000018,0.058139534883720985,0.20000000000000018
2024-02-13 12:00:00,3.02,3.46,3.44,0.41999999999999993,0.1390728476821192,0.41999999999999993
2024-02-14 12:00:00,2.68,2.99,3.02,0.33999999999999986,0.126865671641791,0.33999999999999986
2024-02-15 12:00:00,2.21,2.57,2.68,0.4700000000000002,0.21266968325791866,0.4700000000000002
2024-02-16 12:00:00,6.33,59.86,2.21,4.12,0.65086887835703,4.12
2024-02-17 12:00:00,5.93,10.0,6.33,0.40000000000000036,0.0674536256323778,0.40000000000000036
2024-02-18 12:00:00,9.1,13.56,5.93,3.17,0.34835164835164834,3.17
2024-02-19 12:00:00,6.37,8.11,9.1,2.7299999999999995,0.4285714285714285,2.7299999999999995
2024-02-20 12:00:00,5.26,6.19,6.37,1.1100000000000003,0.21102661596958183,1.1100000000000003
2024-02-21 12:00:00,4.86,6.5,5.26,0.39999999999999947,0.08230452674897108,0.39999999999999947
2024-02-22 12:00:00,5.19,6.45,4.86,0.33000000000000007,0.06358381502890174,0.33000000000000007
2024-02-23 12:00:00,7.56,10.28,5.19,2.369999999999999,0.3134920634920634,2.369999999999999
2024-02-24 12:00:00,10.07,19.03,7.56,2.5100000000000007,0.24925521350546181,2.5100000000000007
2024-02-25 12:00:00,9.71,12.5,10.07,0.35999999999999943,0.037075180226570484,0.35999999999999943
2024-02-26 12:00:00,6.78,8.28,9.71,2.9300000000000006,0.4321533923303836,2.9300000000000006
2024-02-27 12:00:00,5.11,5.56,6.78,1.67,0.3268101761252446,1.67
2024-02-28 12:00:00,4.15,4.79,5.11,0.96,0.23132530120481926,0.96
2024-02-29 12:00:00,5.13,8.65,4.15,0.9799999999999995,0.19103313840155936,0.9799999999999995
2024-03-01 12:00:00,4.57,5.08,5.13,0.5599999999999996,0.12253829321663011,0.5599999999999996
2024-03-02 12:00:00,5.51,7.23,4.57,0.9399999999999995,0.17059891107078032,0.9399999999999995
2024-03-03 12:00:00,9.94,18.87,5.51,4.43,0.44567404426559354,4.43
2024-03-04 12:00:00,6.45,7.71,9.94,3.4899999999999993,0.5410852713178294,3.4899999999999993
2024-03-05 12:00:00,4.94,5.87,6.45,1.5099999999999998,0.3056680161943319,1.5099999999999998
2024-03-06 12:00:00,4.17,4.59,4.94,0.7700000000000005,0.18465227817745813,0.7700000000000005
2024-03-07 12:00:00,4.6,6.67,4.17,0.4299999999999997,0.09347826086956516,0.4299999999999997
2024-03-08 12:00:00,10.11,16.39,4.6,5.51,0.5450049455984174,5.51
2024-03-09 12:00:00,18.64,27.0,10.11,8.530000000000001,0.457618025751073,8.530000000000001
2024-03-10 12:00:00,21.91,31.61,18.64,3.2699999999999996,0.14924691921497032,3.2699999999999996
2024-03-11 12:00:00,11.52,14.14,21.91,10.39,0.9019097222222223,10.39
2024-03-12 12:00:00,7.16,8.43,11.52,4.359999999999999,0.6089385474860334,4.359999999999999
2024-03-13 12:00:00,5.61,6.44,7.16,1.5499999999999998,0.2762923351158645,1.5499999999999998
2024-03-14 12:00:00,6.5,8.19,5.61,0.8899999999999997,0.13692307692307687,0.8899999999999997
2024-03-15 12:00:00,8.95,13.4,6.5,2.4499999999999993,0.27374301675977647,2.4499999999999993
2024-03-16 12:00:00,20.85,33.25,8.95,11.900000000000002,0.5707434052757795,11.900000000000002
2024-03-17 12:00:00,16.34,20.2,20.85,4.510000000000002,0.27600979192166475,4.510000000000002
2024-03-18 12:00:00,8.96,10.47,16.34,7.379999999999999,0.8236607142857141,7.379999999999999
2024-03-19 12:00:00,8.07,8.91,8.96,0.8900000000000006,0.11028500619578693,0.8900000000000006
2024-03-20 12:00:00,6.97,7.72,8.07,1.1000000000000005,0.1578192252510761,1.1000000000000005
2024-03-21 12:00:00,6.04,6.45,6.97,0.9299999999999997,0.1539735099337748,0.9299999999999997
2024-03-22 12:00:00,8.49,12.71,6.04,2.45,0.28857479387514723,2.45
2024-03-23 12:00:00,27.23,38.0,8.49,18.740000000000002,0.6882115313991921,18.740000000000002
2024-03-24 12:00:00,30.75,36.96,27.23,3.5199999999999996,0.11447154471544714,3.5199999999999996
2024-03-25 12:00:00,14.31,16.97,30.75,16.439999999999998,1.1488469601677147,16.439999999999998
