PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,EXOGENOUS_FACTORS,NUM_FEATURES,FEATURE_NUMBERS,N_ESTIMATORS,LEARNING_RATE,MAX_DEPTH,MIN_CHILD_WEIGHT,SUBSAMPLE,COLSAMPLE_BYTREE,REG_ALPHA,REG_LAMBDA,OUTPUT_FILE,SUCCESS,MESSAGE
00_04,NEG,AVERAGE,7,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1,427,0.09691933397433784,3,5,0.7142707108349287,0.8366070683982904,0.03387557668886891,0.0004429798667791313,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_model_output/xgboost_v2_exog_1_ts7_model_results_00_04_NEG_AVERAGE.csv,True,Completed successfully
00_04,NEG,MARGINAL,7,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1,865,0.024550704048609623,3,1,0.8163979497102536,0.8005828061689467,1.2251519907597375e-08,0.0008770260971972172,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_model_output/xgboost_v2_exog_1_ts7_model_results_00_04_NEG_MARGINAL.csv,True,Completed successfully
00_04,POS,AVERAGE,7,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1,380,0.044487102375380824,4,9,0.6927907327681682,0.8964338507779219,4.340290398807059e-05,0.0031123156566109254,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_model_output/xgboost_v2_exog_1_ts7_model_results_00_04_POS_AVERAGE.csv,True,Completed successfully
00_04,POS,MARGINAL,7,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1,297,0.05388108577817234,3,10,0.7035119926400067,0.8650089137415928,6.388511557344611e-06,0.0004793052550782129,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_model_output/xgboost_v2_exog_1_ts7_model_results_00_04_POS_MARGINAL.csv,True,Completed successfully
04_08,NEG,AVERAGE,7,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1,888,0.014146947420743338,3,6,0.64813396624724,0.9561165465674691,0.00438649761540708,4.515998506775899e-05,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_model_output/xgboost_v2_exog_1_ts7_model_results_04_08_NEG_AVERAGE.csv,True,Completed successfully
04_08,NEG,MARGINAL,7,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1,390,0.1251197350837251,3,7,0.8078589460917822,0.7656617747562384,1.4080482610090153e-07,0.03381604888753462,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_model_output/xgboost_v2_exog_1_ts7_model_results_04_08_NEG_MARGINAL.csv,True,Completed successfully
04_08,POS,AVERAGE,7,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1,354,0.031451368029987666,6,10,0.7809305251510433,0.7539796407337818,5.482417813288472e-07,0.14184312049385903,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_model_output/xgboost_v2_exog_1_ts7_model_results_04_08_POS_AVERAGE.csv,True,Completed successfully
04_08,POS,MARGINAL,7,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1,290,0.02406701931674723,3,3,0.7431112214919919,0.7226940853470663,0.7652539401359317,5.925567411188582e-05,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_model_output/xgboost_v2_exog_1_ts7_model_results_04_08_POS_MARGINAL.csv,True,Completed successfully
08_12,NEG,AVERAGE,7,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1,784,0.012557913195426816,4,5,0.6725163005566686,0.7793058880210455,1.8190282466861846e-07,0.21956774205104937,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_model_output/xgboost_v2_exog_1_ts7_model_results_08_12_NEG_AVERAGE.csv,True,Completed successfully
08_12,NEG,MARGINAL,7,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1,383,0.06983157823755716,3,10,0.7288543750571814,0.9004711805555862,1.1478769814695538e-05,0.0009720130982057109,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_model_output/xgboost_v2_exog_1_ts7_model_results_08_12_NEG_MARGINAL.csv,True,Completed successfully
