DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER,MARGINAL_PRICE,RMSE,MAPE,MAE,ACCEPTANCE,REVENUE
2023-12-01 04:00:00,18.68,9.967994627304922,"(1, 0, 0)","(0, 0, 0, 7)",18.68,75.8990376138679,0.46638144393442604,8.712005372695078,1,9.967994627304922
2023-12-02 04:00:00,10.5,17.90723925748179,"(1, 0, 0)","(0, 0, 0, 7)",10.5,54.867193417579394,0.7054513578554087,7.407239257481791,0,0.0
2023-12-03 04:00:00,9.13,10.097716460411808,"(1, 0, 0)","(0, 0, 0, 7)",9.13,0.9364751477519576,0.1059930405708442,0.9677164604118076,0,0.0
2023-12-04 04:00:00,11.34,8.796736373686352,"(1, 0, 0)","(0, 0, 0, 7)",11.34,6.468189872930045,0.22427368838744688,2.5432636263136477,1,8.796736373686352
2023-12-05 04:00:00,12.6,10.914247645307231,"(1, 0, 0)","(0, 0, 0, 7)",12.6,2.8417610013522134,0.133789869420061,1.6857523546927684,1,10.914247645307231
2023-12-06 04:00:00,10.0,12.132996743296571,"(1, 0, 0)","(0, 0, 0, 7)",10.0,4.549675106913779,0.21329967432965713,2.1329967432965713,0,0.0
2023-12-07 04:00:00,9.0,9.651590040764018,"(1, 0, 0)","(0, 0, 0, 7)",9.0,0.42456958122285526,0.07239889341822428,0.6515900407640185,0,0.0
2023-12-08 04:00:00,10.78,8.700441892146006,"(1, 0, 0)","(0, 0, 0, 7)",10.78,4.324561923941279,0.19290891538534258,2.079558107853993,1,8.700441892146006
2023-12-09 04:00:00,9.95,10.393294167530316,"(1, 0, 0)","(0, 0, 0, 7)",9.95,0.19650971896639638,0.04455217764123785,0.4432941675303166,0,0.0
2023-12-10 04:00:00,54.12,9.605407559247958,"(1, 0, 0)","(0, 0, 0, 7)",54.12,1981.5489401662587,0.8225164900360687,44.51459244075204,1,9.605407559247958
2023-12-11 04:00:00,26.45,41.453980476347056,"(1, 0, 0)","(0, 0, 0, 7)",26.45,225.11943013460365,0.5672582410717224,15.003980476347056,0,0.0
2023-12-12 04:00:00,15.48,25.15214739769476,"(1, 0, 0)","(0, 0, 0, 7)",15.48,93.55043528273347,0.6248157233652945,9.672147397694758,0,0.0
2023-12-13 04:00:00,12.93,14.796028913068664,"(1, 0, 0)","(0, 0, 0, 7)",12.93,3.4820639044082204,0.14431778136648601,1.8660289130686643,0,0.0
2023-12-14 04:00:00,10.62,12.374854040202615,"(1, 0, 0)","(0, 0, 0, 7)",10.62,3.0795127024154456,0.16524049342774166,1.7548540402026163,0,0.0
2023-12-15 04:00:00,9.0,10.197604970866232,"(1, 0, 0)","(0, 0, 0, 7)",9.0,1.4342576662435083,0.13306721898513688,1.197604970866232,0,0.0
2023-12-16 04:00:00,13.64,8.664278761800064,"(1, 0, 0)","(0, 0, 0, 7)",13.64,24.757801840273906,0.36478894708210674,4.975721238199936,1,8.664278761800064
