DATE,ACTUAL_VALUE,D+1,ORDER,MARGINAL_PRICE,RMSE,MAPE,MAE,ACCEPTANCE,REVENUE
2023-12-01,13.24,6.832994188291627,"(4, 0, 4)",13.24,41.04972347126487,0.48391282565773214,6.407005811708373,1,6.832994188291627
2023-12-02,9.84,7.596345327925575,"(4, 0, 4)",9.84,5.033986287521395,0.22801368618642529,2.243654672074425,1,7.596345327925575
2023-12-03,9.25,7.9680979587540355,"(3, 0, 3)",9.25,1.6432728433505706,0.1385840044590232,1.2819020412459645,1,7.9680979587540355
2023-12-04,13.26,18.29442997958571,"(3, 0, 4)",13.26,25.34548521935139,0.3796704358661924,5.0344299795857115,0,0.0
2023-12-05,12.46,15.372638856637463,"(1, 0, 2)",12.46,8.483465109194386,0.23375913777186696,2.9126388566374626,0,0.0
2023-12-06,10.0,12.23774988532218,"(1, 0, 4)",10.0,5.007524549259434,0.22377498853221808,2.237749885322181,0,0.0
2023-12-07,9.44,8.902344155845038,"(2, 0, 2)",9.44,0.2890738067539847,0.05695506823675445,0.5376558441549619,1,8.902344155845038
2023-12-08,13.0,26.06137059751764,"(1, 0, 4)",13.0,170.59940188569834,1.0047208151936646,13.06137059751764,0,0.0
2023-12-09,10.55,13.739924061939362,"(2, 0, 4)",10.55,10.175615520939717,0.3023624703260058,3.1899240619393616,0,0.0
2023-12-10,66.31,36.99224339075929,"(1, 0, 4)",66.31,859.5308525986774,0.4421317540226317,29.31775660924071,1,36.99224339075929
2023-12-11,33.92,31.449183894347456,"(1, 0, 4)",33.92,6.104932227952011,0.07284245594494532,2.4708161056525455,1,31.449183894347456
2023-12-12,17.82,14.917852507579076,"(2, 0, 2)",17.82,8.422460067765062,0.16285900630869388,2.9021474924209247,1,14.917852507579076
2023-12-13,15.8,17.95942444403632,"(3, 0, 3)",15.8,4.663113929501563,0.1366724331668556,2.1594244440363184,0,0.0
2023-12-14,12.5,11.905812571504088,"(4, 0, 2)",12.5,0.35305870018258495,0.04753499427967298,0.5941874284959123,1,11.905812571504088
2023-12-15,10.1,12.977946686121994,"(2, 0, 3)",10.1,8.28257712816057,0.28494521644772225,2.8779466861219944,0,0.0
2023-12-16,12.4,18.64402773595281,"(1, 0, 3)",12.4,38.987882367347986,0.5035506238671621,6.244027735952811,0,0.0
2023-12-17,36.83,23.40466084198824,"(1, 0, 3)",36.83,180.2397315076439,0.36452183432016727,13.42533915801176,1,23.40466084198824
2023-12-18,29.79,31.912644128007987,"(1, 0, 3)",29.79,4.50561809416679,0.07125357932218823,2.1226441280079875,0,0.0
2023-12-19,25.9,25.19217682213689,"(1, 0, 3)",25.9,0.5010136511202298,0.027329080226374848,0.7078231778631086,1,25.19217682213689
2023-12-20,20.67,26.044078180149064,"(3, 0, 2)",20.67,28.88071628635426,0.2599941064416576,5.374078180149063,0,0.0
2023-12-21,32.75,26.7946976944588,"(1, 0, 3)",32.75,35.465625550384324,0.18184129177225036,5.955302305541199,1,26.7946976944588
2023-12-22,45.0,32.55516892614075,"(2, 0, 2)",45.0,154.87382045689273,0.27655180164131665,12.444831073859248,1,32.55516892614075
2023-12-23,40.97,40.65371486095384,"(1, 0, 2)",40.97,0.10003628918144769,0.007719920406301155,0.3162851390461583,1,40.65371486095384
2023-12-24,37.66,34.120013030619255,"(2, 0, 2)",37.66,12.531507743385449,0.09399859185822469,3.5399869693807418,1,34.120013030619255
2023-12-25,38.86,43.710285084885335,"(1, 0, 2)",38.86,23.52526540466115,0.12481433568927781,4.850285084885336,0,0.0
