DATE,ACTUAL_VALUE,D+1,MARGINAL_PRICE,RMSE,MAPE,MAE,ACCEPTANCE,REVENUE
2023-12-03,4.24999997830353,3.9017296110978377,4.91,0.1212922486735875,0.08194596917261887,0.34827036720569193,1,3.9017296110978377
2023-12-04,4.110000030754504,3.720048454306852,4.96,0.15206223197400914,0.09487872835272602,0.3899515764476522,1,3.720048454306852
2023-12-05,4.060000107586835,3.831346305470212,4.68,0.05228256122238774,0.05631866897967378,0.2286538021166229,1,3.831346305470212
2023-12-06,4.480000075624536,3.7616112916345914,9.45,0.5160824449625518,0.16035463657660712,0.718388783989945,1,3.7616112916345914
2023-12-07,5.050000479727856,4.144334705437728,6.28,0.820230494720537,0.1793397402486849,0.905665774290128,1,4.144334705437728
2023-12-08,4.599999708382822,4.645614760723675,5.35,0.002080733000058774,0.009916316354917687,0.04561505234085317,1,4.645614760723675
2023-12-09,4.960000445343994,4.049115154018468,8.8,0.8297120139531882,0.18364621160076383,0.9108852913255259,1,4.049115154018468
2023-12-10,5.039999966848681,4.904101106666224,6.06,0.01846850019889097,0.02696405973737124,0.1358988601824569,1,4.904101106666224
2023-12-11,5.410000132582679,4.601504966067809,7.0,0.6536644342779075,0.14944457425159113,0.8084951665148701,1,4.601504966067809
2023-12-12,5.5799996085797465,5.008623123747473,8.68,0.3264710874192856,0.10239722668684985,0.5713764848322738,1,5.008623123747473
2023-12-13,5.669999764071468,5.062802629162055,6.37,0.36868836064219956,0.10708944623895389,0.6071971349094127,1,5.062802629162055
2023-12-14,5.410000132582679,5.092513619830414,5.9,0.10079768577959429,0.0586851210668456,0.31748651275226525,1,5.092513619830414
2023-12-15,5.119999552446252,4.877299082837265,5.5,0.05890351794842301,0.047402439614087286,0.2427004696089874,1,4.877299082837265
2023-12-16,4.890000091713654,4.715131720658541,5.57,0.03057894719546864,0.035760402408056384,0.17486837105511288,1,4.715131720658541
2023-12-17,4.890000091713654,4.621366995521049,6.68,0.07216374037002556,0.05493519246509163,0.26863309619260534,1,4.621366995521049
2023-12-18,5.459999664166348,4.521989372128198,6.57,0.8798633079694961,0.17179676735041868,0.9380102920381503,1,4.521989372128198
2023-12-19,5.550000441320073,5.130993725180006,6.16,0.17556662817048252,0.07549669960754195,0.4190067161400668,1,5.130993725180006
2023-12-20,5.30999962714051,5.033296365848579,5.64,0.07656469480959047,0.05210984571027894,0.2767032612919307,1,5.033296365848579
2023-12-21,4.740000452669926,4.976462759681159,5.14,0.05591442263707453,0.04988655789643215,0.23646230701123283,1,4.976462759681159
2023-12-22,4.349999922867713,4.353361216948582,5.0,1.1298297898084555e-05,0.0007727112966597532,0.0033612940808689373,1,4.353361216948582
2023-12-23,4.520000170891262,4.11071210227353,6.15,0.16751672311283333,0.0905504542352767,0.40928806861773204,1,4.11071210227353
2023-12-24,5.259999648864385,4.436483257827964,7.2,0.678179246305651,0.15656206197926553,0.8235163910364207,1,4.436483257827964
2023-12-25,5.5799996085797465,5.226667953490319,6.65,0.12484325848823442,0.06332108958325892,0.3533316550894279,1,5.226667953490319
