DATE,ACTUAL_VALUE,D+1,MARGINAL_PRICE,RMSE,MAPE,MAE,ACCEPTANCE,REVENUE
2023-12-01 12:00:00,3.38,4.855900923877787,3.88,2.178283537103305,0.4366570780703512,1.475900923877787,0,0.0
2023-12-02 12:00:00,3.38,4.257267560180892,4.34,0.7695983721457345,0.2595466154381336,0.8772675601808917,1,4.257267560180892
2023-12-03 12:00:00,3.52,5.078737262057941,4.29,2.429661852127886,0.44282308581191504,1.558737262057941,0,0.0
2023-12-04 12:00:00,2.95,3.625877222263168,3.38,0.4568100195741754,0.22911092280107379,0.6758772222631677,0,0.0
2023-12-05 12:00:00,2.43,3.081360698915675,3.0,0.42427076009191667,0.26804967033566873,0.651360698915675,0,0.0
2023-12-06 12:00:00,2.68,2.525160553467415,6.53,0.02397525420251727,0.057775912885292935,0.15483944653258508,1,2.525160553467415
2023-12-07 12:00:00,3.36,3.411856727511744,4.84,0.0026891201882272755,0.01543354985468574,0.05185672751174408,1,3.411856727511744
2023-12-08 12:00:00,3.38,2.884900610605722,4.3,0.24512340537858682,0.1464791092882479,0.4950993893942779,1,2.884900610605722
2023-12-09 12:00:00,4.46,4.861008777884974,7.35,0.16080803994080062,0.08991228203698974,0.40100877788497424,1,4.861008777884974
2023-12-10 12:00:00,7.16,6.480258305052225,11.69,0.46204877185047377,0.09493599091449369,0.6797416949477748,1,6.480258305052225
2023-12-11 12:00:00,5.67,4.046143639822232,6.9,2.6369094784897875,0.28639441978443875,1.6238563601777676,1,4.046143639822232
2023-12-12 12:00:00,4.01,2.94884637577266,5.51,1.1260470142108179,0.26462683895943634,1.0611536242273396,1,2.94884637577266
2023-12-13 12:00:00,3.95,3.128789911923308,5.9,0.6743860087589288,0.2079012881206816,0.8212100880766924,1,3.128789911923308
2023-12-14 12:00:00,3.64,4.00576931738289,4.5,0.13378719353874496,0.10048607620409053,0.36576931738288954,1,4.00576931738289
2023-12-15 12:00:00,3.35,3.238108387229446,4.05,0.01251973300839566,0.033400481424046044,0.11189161277055426,1,3.238108387229446
2023-12-16 12:00:00,4.06,5.903195200107531,5.69,3.397368545699442,0.4539889655437269,1.8431952001075311,0,0.0
2023-12-17 12:00:00,9.6,5.957973998794022,12.65,13.264353393460405,0.3793777084589561,3.642026001205978,1,5.957973998794022
2023-12-18 12:00:00,5.91,5.826276970681228,7.61,0.007009545638312005,0.014166333218066377,0.08372302931877229,1,5.826276970681228
2023-12-19 12:00:00,4.86,4.756379265923677,5.61,0.010737256530516161,0.021321138698832006,0.10362073407632355,1,4.756379265923677
2023-12-20 12:00:00,5.25,6.172175459206954,7.19,0.8504075775635572,0.17565246842037227,0.9221754592069544,1,6.172175459206954
2023-12-21 12:00:00,8.11,8.645445348687849,15.29,0.28670172143145267,0.06602285433882238,0.5354453486878494,1,8.645445348687849
2023-12-22 12:00:00,12.8,6.957287655232159,20.97,34.13728754370253,0.4564619019349876,5.8427123447678415,1,6.957287655232159
2023-12-23 12:00:00,12.55,6.973690458380957,16.0,31.095228103951595,0.44432745351546166,5.576309541619044,1,6.973690458380957
2023-12-24 12:00:00,18.53,17.394023882582996,24.11,1.290441739341814,0.06130470142563439,1.1359761174170053,1,17.394023882582996
2023-12-25 12:00:00,16.2,12.53307400001709,19.29,13.446346289350663,0.2263534567890685,3.66692599998291,1,12.53307400001709
2023-12-26 12:00:00,13.54,14.61515248146612,15.39,1.1559528584027583,0.07940564855732063,1.0751524814661213,1,14.61515248146612
2023-12-27 12:00:00,8.22,4.749890366243272,9.86,12.041660870291258,0.4221544566614025,3.4701096337567288,1,4.749890366243272
2023-12-28 12:00:00,8.88,12.550359500263118,11.92,13.471538861171721,0.41332877255215283,3.6703595002631175,0,0.0
2023-12-29 12:00:00,10.77,11.829688817031943,16.0,1.1229403889425607,0.098392647820979,1.0596888170319438,1,11.829688817031943
2023-12-30 12:00:00,9.84,9.565146317818725,11.46,0.07554454660860548,0.027932284774519842,0.27485368218127526,1,9.565146317818725
2023-12-31 12:00:00,14.36,12.366882498073982,25.0,3.972517376483806,0.13879648342103182,1.993117501926017,1,12.366882498073982
2024-01-01 12:00:00,15.02,13.408010113729503,20.63,2.598511393438368,0.10732289522440057,1.6119898862704964,1,13.408010113729503
2024-01-02 12:00:00,10.88,7.129633079527983,12.33,14.065252038170764,0.3447028419551486,3.7503669204720174,1,7.129633079527983
2024-01-03 12:00:00,10.29,13.04206000577538,12.84,7.5738342753883865,0.26744995197039656,2.7520600057753803,0,0.0
2024-01-04 12:00:00,8.36,5.993742062146867,9.33,5.599176628452957,0.2830452078771689,2.366257937853132,1,5.993742062146867
2024-01-05 12:00:00,6.3,8.296911641980822,7.29,3.987656105878543,0.3169701019017178,1.9969116419808222,0,0.0
2024-01-06 12:00:00,5.42,5.678471521995824,6.2,0.06680752768283797,0.04768847269295654,0.25847152199582446,1,5.678471521995824
2024-01-07 12:00:00,5.19,8.017952040675691,5.86,7.997312744361805,0.5448847862573586,2.827952040675691,0,0.0
2024-01-08 12:00:00,4.44,4.868973100319474,4.99,0.1840179207977012,0.09661556313501658,0.42897310031947367,1,4.868973100319474
2024-01-09 12:00:00,3.65,4.044158001809155,3.98,0.15536053039018588,0.10798849364634386,0.39415800180915506,0,0.0
2024-01-10 12:00:00,3.22,3.692208131698623,7.52,0.22298051964230395,0.14664848810516237,0.47220813169862286,1,3.692208131698623
2024-01-11 12:00:00,3.9,3.637925499260336,4.67,0.0686830439379442,0.0671985899332472,0.2620745007396641,1,3.637925499260336
2024-01-12 12:00:00,3.18,3.7379575665586975,3.77,0.3113166460801032,0.1754583542637413,0.5579575665586973,1,3.7379575665586975
2024-01-13 12:00:00,4.84,7.235877217878347,6.24,5.740227643148488,0.4950159541070965,2.395877217878347,0,0.0
2024-01-14 12:00:00,4.95,5.9327836087285,5.36,0.9658636215854134,0.19854214317747473,0.9827836087285,0,0.0
2024-01-15 12:00:00,3.85,4.132155905382002,4.29,0.07961195494193737,0.0732872481511694,0.2821559053820022,1,4.132155905382002
2024-01-16 12:00:00,3.03,2.7373581216119174,3.54,0.08563926898650522,0.09658147801586879,0.2926418783880824,1,2.7373581216119174
2024-01-17 12:00:00,2.4,2.7649183976257232,2.76,0.1331654369257255,0.15204933234405138,0.3649183976257233,0,0.0
2024-01-18 12:00:00,2.02,2.68162620638798,2.29,0.43774923697935003,0.3275377259346436,0.6616262063879801,0,0.0
2024-01-19 12:00:00,2.45,2.919525343424516,3.82,0.2204540481179096,0.19164299731612894,0.4695253434245159,1,2.919525343424516
