DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-09 12:00:00,9.990000543311517,9.387923742479511,9.298523645745817,9.472268318598749
2023-12-10 12:00:00,8.659999345031522,8.127301790024687,8.044816121289085,8.48795333418292
2023-12-11 12:00:00,8.840000324956073,8.765194268171722,8.669806505355009,9.112821322337217
2023-12-12 12:00:00,9.330000674786978,10.024169977526057,9.623262160280563,9.391026832687599
2023-12-13 12:00:00,9.180000020369802,10.053752110440373,9.617353231889501,9.482993864802433
2023-12-14 12:00:00,9.020000410632884,9.806490701987675,9.331762669122023,9.094370124396685
2023-12-15 12:00:00,8.889999909762922,9.49777308407711,9.016845256296229,8.849669933250876
2023-12-16 12:00:00,7.919999965253265,7.6760119350976685,7.5551097338677575,7.71711871885553
2023-12-17 12:00:00,7.130000045886886,6.832177235530214,6.656518628798944,6.890302233841766
2023-12-18 12:00:00,7.400000463850263,7.3085784886636596,7.044241854337839,7.029393830997944
2023-12-19 12:00:00,7.119999796663005,7.428150547572141,7.158082229624806,6.983798902513814
2023-12-20 12:00:00,6.669999945225785,6.7057288389252205,6.462907215164835,6.574445669137656
2023-12-21 12:00:00,5.930000071435295,5.934998978781389,5.645523836055034,5.704876081157191
2023-12-22 12:00:00,5.3200001762680325,5.1876205648851395,4.9331646033958965,5.0676228712123255
2023-12-23 12:00:00,4.670000306263281,4.898994500023439,4.6126124702604105,4.715925328407884
2023-12-24 12:00:00,4.680000457378136,4.569311048732669,4.1195443769842,4.200562774816096
2023-12-25 12:00:00,4.680000457378136,4.745652267926683,4.3739045131310945,4.54346547880237
2023-12-26 12:00:00,4.740000452669926,4.758979778660295,4.322242999485329,4.43441882833424
2023-12-27 12:00:00,5.330000107944008,6.3149478992983985,5.980769135481359,6.263529138493244
2023-12-28 12:00:00,5.059999815343964,5.069884418899639,4.665308953578484,4.724160628243616
2023-12-29 12:00:00,4.599999708382822,4.6145391940344815,4.326167460520938,4.672887449499297
2023-12-30 12:00:00,4.540000133774984,4.304364470207351,3.9862674729659586,4.045975657107635
2023-12-31 12:00:00,4.300000203293474,4.3248162745422585,4.022703278836239,4.216048453305437
2024-01-01 12:00:00,4.120000126691975,3.999542705126248,3.6733606787081956,3.8980601498148486
2024-01-02 12:00:00,4.6100004474712115,4.702242219378709,4.366495951634355,4.468789110748702
2024-01-03 12:00:00,4.55000020147615,4.330873959818799,4.098991352202577,4.3326294021691405
2024-01-04 12:00:00,4.480000075624536,4.879203872782983,4.484748428455885,4.443041427710579
2024-01-05 12:00:00,4.390000119314464,4.74488815878453,4.284163044873348,4.119964331182954
2024-01-06 12:00:00,4.140000148625897,4.581716745417837,4.099285670183497,4.073575579865807
2024-01-07 12:00:00,3.7299998188003594,4.1095763246643235,3.733628034236413,3.753660461538124
2024-01-08 12:00:00,3.6300000623989854,4.266821314957599,3.761535421965732,3.540867371160029
2024-01-09 12:00:00,3.940000014325859,4.657240185276543,4.1029872357118045,3.8200111492058326
2024-01-10 12:00:00,4.680000457378136,5.9959230215745,5.784461640141055,6.333603713624785
2024-01-11 12:00:00,7.0199997843389745,5.821861690870841,5.3179310019183,5.525121376130485
2024-01-12 12:00:00,5.240000181217543,6.218427916970074,5.859337427309359,5.977569176151399
2024-01-13 12:00:00,4.079999906475317,3.8773050140680327,3.6135890806100917,3.9649872035059226
2024-01-14 12:00:00,3.3000001746392322,3.3188578832730355,3.0463878563588707,3.290757091404693
2024-01-15 12:00:00,3.4900001196289474,3.5791996335898992,3.262135708432956,3.3132933797334227
2024-01-16 12:00:00,3.7100000924037273,4.6262442444153695,4.181356029404679,3.9297150378517567
2024-01-17 12:00:00,4.289999879188025,4.436356859689742,3.8477097239273323,3.5900158655819747
2024-01-18 12:00:00,4.55000020147615,4.956474213991672,4.436198645182807,4.222556806424538
2024-01-19 12:00:00,3.990000176576275,4.314015663483265,3.9727348001186913,4.019885038197485
2024-01-20 12:00:00,3.5100001413330064,3.3510679200383926,3.0898235491276136,3.414003068066923
2024-01-21 12:00:00,3.070000051583397,3.0692788211181377,2.8014128191102725,2.9819187177649784
2024-01-22 12:00:00,3.2799998786668634,3.2287760542549,2.9243890365764793,2.9941925496361748
2024-01-23 12:00:00,3.4300001242499336,3.410892709948764,3.1654226280954947,3.193057419997272
2024-01-24 12:00:00,3.260000141602189,3.1448906738948508,2.9455761246671135,3.1134618081866834
2024-01-25 12:00:00,5.079999655317594,4.28273061023484,3.82913634478297,3.8141433808489142
2024-01-26 12:00:00,4.169999867046046,4.203249374688334,4.1755667008580595,4.409167153557088
2024-01-27 12:00:00,3.3799998606729758,3.312187930128272,3.0477160431672106,3.4606479849163554
2024-01-28 12:00:00,3.0400001002853996,3.277334438408896,2.981239311708487,3.0130438817671434
2024-01-29 12:00:00,3.4300001242499336,4.155173894987157,3.56477705586519,3.1720015708118448
2024-01-30 12:00:00,3.3099999546519396,4.326388722287526,3.7676793573995453,3.256039102197728
2024-01-31 12:00:00,3.4900001196289474,4.138582147111309,3.671592110881395,3.7110087524595423
2024-02-01 12:00:00,3.3900000991531556,3.4421558428898966,3.143152676274252,3.178713197075343
2024-02-02 12:00:00,3.230000076098255,3.368693224675952,3.107729470975827,3.2507265849292977
2024-02-03 12:00:00,2.8199998607266363,2.6805304744020213,2.4573789981586613,2.6842724654881422
2024-02-04 12:00:00,2.510000055342622,2.3580829278807474,2.1451889502805748,2.302274978590943
2024-02-05 12:00:00,2.760000147671448,2.4738562947922915,2.3128610657722577,2.5351667365497836
2024-02-06 12:00:00,2.799999867951799,2.5404673026976226,2.3496027220679077,2.459162260818256
2024-02-07 12:00:00,3.6300000623989854,3.453769191999028,2.982429562455373,2.779731233598368
2024-02-08 12:00:00,4.740000452669926,4.879955254200946,4.5056589562101514,4.304777160094594
2024-02-09 12:00:00,4.179999890723359,4.056319036382953,3.8240225246283814,4.054546893473206
2024-02-10 12:00:00,3.359999972801375,3.8803594050532575,3.6244000749863097,3.8537817609023484
2024-02-11 12:00:00,2.9300000242132325,3.265907865310652,2.95637140752153,2.994665349902852
2024-02-12 12:00:00,2.9600001099859035,3.4735405482398805,3.1406986890850113,3.135242705443238
2024-02-13 12:00:00,2.8100000594354344,3.1522840352893104,2.834501523899314,2.7455019271917553
2024-02-14 12:00:00,2.7000000381167775,3.1736397015328874,2.763641800606576,2.6374001323413205
2024-02-15 12:00:00,2.610000117225088,3.2647483396933223,2.838095829106053,2.637406046365076
2024-02-16 12:00:00,2.4400000917866316,2.7433814570162998,2.480934936237014,2.4512207074203283
2024-02-17 12:00:00,2.2399999682032634,2.652395791982333,2.3202893527426114,2.263045853248164
2024-02-18 12:00:00,2.029999931942419,2.396270799744736,2.0760337882619653,2.017273871994989
2024-02-19 12:00:00,2.619999963606568,2.960287600856977,2.5528207761026303,2.333050872945929
2024-02-20 12:00:00,2.569999902569928,3.2582436480353247,2.9356657464703333,2.7843160475684074
2024-02-21 12:00:00,11.990000196115043,2.9849585286407456,2.5874989034128806,2.4062008113743105
2024-02-22 12:00:00,7.810000193107588,6.872005269904964,8.587852365741137,10.725901576355097
2024-02-23 12:00:00,5.180000482626892,4.437933953139498,5.004204109184053,5.624599657483098
2024-02-24 12:00:00,3.889999943186532,4.0746043450263,4.127756583270407,4.994094124583186
2024-02-25 12:00:00,3.189999882968102,3.457915343400698,3.1976832285782795,3.5222279532773575
2024-02-26 12:00:00,3.1000001187584423,3.9802130977512475,3.5160915520790246,3.501060098753953
2024-02-27 12:00:00,3.090000100095911,3.9326975878522163,3.4750824306898287,3.090906248996814
2024-02-28 12:00:00,3.059999930852287,4.445534986319577,3.886654675930423,3.4211510927260123
2024-02-29 12:00:00,2.9699998426467187,3.8669697480666603,3.397237941379877,2.839551661749484
2024-03-01 12:00:00,3.119999879696817,4.009142981960149,3.354534324349109,2.8894494752451436
2024-03-02 12:00:00,2.8100000594354344,3.433765134409176,3.0460697747567242,2.915514375548745
2024-03-03 12:00:00,2.4699999275453735,2.6755084194859835,2.3820528598509774,2.422192431916306
2024-03-04 12:00:00,2.7399998970317085,3.722585104138582,3.1748518368372243,2.8584977009583987
2024-03-05 12:00:00,2.8900000030740047,3.658442329088288,3.0531270571154194,2.5172424142295275
2024-03-06 12:00:00,2.8300000648691057,3.9530727416557245,3.452502498560204,3.193755585769151
2024-03-07 12:00:00,7.549999452425851,3.4815266897469166,2.9482264423432145,2.528995258052586
2024-03-08 12:00:00,7.599999581258615,4.603084418945927,5.531483595018743,7.214376326396563
2024-03-09 12:00:00,4.749999721280396,4.2223012241830995,4.912712308863684,6.182721727023875
2024-03-10 12:00:00,4.079999906475317,3.6834390021289676,3.9037611053706205,4.693969945390233
2024-03-11 12:00:00,4.310000006838899,4.231571312113776,4.099794341446601,4.111506548845362
2024-03-12 12:00:00,4.200000088258092,4.80791971108908,4.38530139666377,4.068150172506413
2024-03-13 12:00:00,3.8300001038571363,4.508091196959739,4.045629861492328,3.7236287156587657
2024-03-14 12:00:00,3.4499998566538888,3.6804698046648903,3.4266334213359997,3.51025166243021
2024-03-15 12:00:00,3.1600000126509586,3.1517875168325182,2.9669259712775466,3.130996334643122
2024-03-16 12:00:00,2.8700000208901457,2.733719720590108,2.6077630753928682,2.875693613348224
2024-03-17 12:00:00,2.6399999766495705,2.964382344062319,2.6651755635381655,2.6783364437211894
2024-03-18 12:00:00,2.680000018246855,3.7061703776398702,3.1736882209030406,2.8363062082561776
