PRODUCT,PRODUCT_SIGN,PRICE_TYPE,FEATURE,TIMESTEP,HIDDEN_SIZE,NUM_STACKED_LAYERS,LEARNING_RATE,DROPOUT_RATE,WEIGHT_DECAY,BATCH_SIZE,EXECUTION_TIME_[S]
all,NEG,AVERAGE,CUMULATED_CAPACITY_MORE_EXPENSIVE_THAN_ELECTRICITY_PRICE_EXCESS_CAPACITY,42,81,2,0.0009955102648569905,0.1363649934414201,2.3270677083837795e-06,32,336.1148693561554
all,NEG,MARGINAL,CUMULATED_CAPACITY_MORE_EXPENSIVE_THAN_ELECTRICITY_PRICE_EXCESS_CAPACITY,42,99,2,0.0008822023251629321,0.22537672898131356,1.0170597258508908e-06,32,318.2889189720154
all,POS,AVERAGE,CUMULATED_CAPACITY_MORE_EXPENSIVE_THAN_ELECTRICITY_PRICE_EXCESS_CAPACITY,42,120,2,0.0009914678617822868,0.1363649934414201,2.3270677083837795e-06,32,341.12318778038025
all,POS,MARGINAL,CUMULATED_CAPACITY_MORE_EXPENSIVE_THAN_ELECTRICITY_PRICE_EXCESS_CAPACITY,42,114,2,0.000988069462955884,0.18638900372842315,3.823475224675187e-06,32,319.8878548145294
