DATE,ACTUAL_VALUE,D+1,ORDER,AIC
2023-12-01 12:00:00,3.88,3.145194713352548,"(3, 0, 2)",153.76352560855184
2023-12-02 12:00:00,4.34,2.7642613627499744,"(3, 0, 2)",151.57970923235578
2023-12-03 12:00:00,4.29,3.5417965741508355,"(3, 0, 2)",152.12817687474086
2023-12-04 12:00:00,3.38,5.651229199246909,"(2, 0, 3)",154.22688363319344
2023-12-05 12:00:00,3.0,4.364914999060828,"(2, 0, 3)",148.7145085440737
2023-12-06 12:00:00,6.53,3.927692816088321,"(2, 0, 3)",148.40542255616288
2023-12-07 12:00:00,4.84,7.17923028133525,"(2, 0, 3)",149.18913399533037
2023-12-08 12:00:00,4.3,3.5086672961458167,"(3, 0, 2)",146.5756234259243
2023-12-09 12:00:00,7.35,4.091585977309863,"(2, 0, 3)",143.95902972986227
2023-12-10 12:00:00,11.69,7.962782934495711,"(2, 0, 3)",145.18918990195056
2023-12-11 12:00:00,6.9,8.02246583286029,"(2, 0, 3)",145.69032551616084
2023-12-12 12:00:00,5.51,5.518347858565358,"(2, 0, 3)",145.75635620489368
2023-12-13 12:00:00,5.9,6.945821469966713,"(3, 0, 3)",145.72061536938116
2023-12-14 12:00:00,4.5,6.095123479640346,"(2, 0, 3)",143.76381106201643
2023-12-15 12:00:00,4.05,4.458951528616971,"(2, 0, 3)",144.11025471747382
2023-12-16 12:00:00,5.69,4.516792760227555,"(2, 0, 3)",144.11236595567803
2023-12-17 12:00:00,12.65,6.053099167370252,"(2, 0, 3)",143.5290483125035
2023-12-18 12:00:00,7.61,9.473779749081894,"(2, 0, 3)",145.55063955562127
2023-12-19 12:00:00,5.61,5.70208855383282,"(2, 0, 3)",145.44847612798375
2023-12-20 12:00:00,7.19,4.855489276190843,"(2, 0, 3)",145.44617447514014
2023-12-21 12:00:00,15.29,8.069732721868641,"(3, 0, 3)",138.86636432367834
2023-12-22 12:00:00,20.97,10.994992568192371,"(3, 0, 3)",140.3487067526255
2023-12-23 12:00:00,16.0,13.911159141386,"(3, 0, 3)",141.20521430843849
