DATE,ACTUAL_VALUE,D+1,ORDER,AIC
2023-12-01 16:00:00,64.59,38.91177820953451,"(2, 0, 3)",64.61803500189829
2023-12-02 16:00:00,43.67,42.265246436087,"(1, 0, 3)",64.1144942948524
2023-12-03 16:00:00,35.0,32.580524436062746,"(2, 0, 1)",62.29922798415695
2023-12-04 16:00:00,32.84,28.439975755086245,"(2, 0, 1)",62.04896316600134
2023-12-05 16:00:00,33.3,31.99411363636732,"(1, 0, 3)",55.22573973783294
2023-12-06 16:00:00,79.0,33.590351211819794,"(1, 0, 2)",53.71575183991066
2023-12-07 16:00:00,38.75,53.50634222453953,"(1, 0, 2)",59.98214182872091
2023-12-08 16:00:00,29.83,34.803456949724904,"(1, 0, 2)",60.690395720358694
2023-12-09 16:00:00,23.98,34.591238370918255,"(1, 0, 2)",59.435087130288466
2023-12-10 16:00:00,19.58,29.031536593845196,"(1, 0, 2)",60.602787993897444
2023-12-11 16:00:00,20.4,25.7967529416449,"(1, 0, 2)",60.96687478346354
2023-12-12 16:00:00,19.81,23.527149118975267,"(2, 0, 1)",60.75380313854612
2023-12-13 16:00:00,18.38,23.616975190419275,"(1, 0, 2)",59.21602689419262
2023-12-14 16:00:00,18.73,21.762931169837035,"(1, 0, 2)",59.05200356244309
2023-12-15 16:00:00,17.72,21.11023206429204,"(1, 0, 2)",56.83405134236419
2023-12-16 16:00:00,16.16,19.564584189922204,"(1, 0, 2)",56.97804713303112
2023-12-17 16:00:00,14.94,17.971164695680553,"(2, 0, 1)",57.21289267054198
2023-12-18 16:00:00,18.54,16.923050007542685,"(1, 0, 3)",56.25523154214222
2023-12-19 16:00:00,16.13,18.614565988021898,"(1, 0, 2)",54.41753091445762
2023-12-20 16:00:00,14.5,16.350422961629206,"(1, 0, 2)",54.2449487886365
2023-12-21 16:00:00,13.01,15.632653837789595,"(1, 0, 2)",54.387475609627806
2023-12-22 16:00:00,12.33,13.99719227139541,"(1, 0, 3)",50.41860170009109
2023-12-23 16:00:00,15.02,13.219921459690624,"(1, 0, 2)",48.177907274108726
2023-12-24 16:00:00,13.0,14.579548948611732,"(1, 0, 2)",48.23914243134336
2023-12-25 16:00:00,15.0,13.021875809460163,"(1, 0, 2)",48.14788904795963
2023-12-26 16:00:00,13.09,14.478862711268679,"(1, 0, 2)",45.20729498440326
2023-12-27 16:00:00,12.81,13.070917408386611,"(1, 0, 2)",40.87110857360045
2023-12-28 16:00:00,12.11,13.135797830403659,"(1, 0, 2)",37.43698883800653
2023-12-29 16:00:00,11.95,12.465316059364103,"(1, 0, 2)",34.59292114232351
2023-12-30 16:00:00,17.02,12.215287269820813,"(1, 0, 2)",32.69907852708743
2023-12-31 16:00:00,14.46,14.931433312066517,"(1, 0, 2)",33.207409709329745
2024-01-01 16:00:00,11.92,13.359442764963807,"(1, 0, 2)",31.872062874705247
2024-01-02 16:00:00,12.31,12.46770052399015,"(1, 0, 2)",31.774267733017577
2024-01-03 16:00:00,15.48,12.600232637056516,"(1, 0, 2)",29.493980524970656
2024-01-04 16:00:00,18.68,14.255605907322233,"(1, 0, 2)",28.544898397448293
2024-01-05 16:00:00,15.09,16.42024902895904,"(3, 0, 3)",28.37104300656635
2024-01-06 16:00:00,12.78,14.135724340719161,"(1, 0, 3)",28.27753754759336
2024-01-07 16:00:00,11.1,12.823613083882739,"(1, 0, 3)",26.18851743729869
2024-01-08 16:00:00,13.29,12.120898363802066,"(1, 0, 2)",25.24297299334537
