DATE,ACTUAL_VALUE,D+1,ORDER,AIC
2023-12-01 16:00:00,2.11,3.0208826453666315,"(1, 0, 3)",167.1635667573169
2023-12-02 16:00:00,2.02,2.498362254901397,"(1, 0, 3)",166.9991390436584
2023-12-03 16:00:00,1.88,2.387499325230909,"(1, 0, 3)",167.05936069180223
2023-12-04 16:00:00,1.61,2.136275590495423,"(1, 0, 3)",167.31754575976933
2023-12-05 16:00:00,1.31,1.7750992689715006,"(1, 0, 3)",166.56222935088812
2023-12-06 16:00:00,1.33,1.4645891263492161,"(1, 0, 3)",167.17523628558058
2023-12-07 16:00:00,1.63,1.5275448038726867,"(1, 0, 3)",165.6204602345953
2023-12-08 16:00:00,1.61,1.8104804092275821,"(1, 0, 3)",165.19350503051479
2023-12-09 16:00:00,3.66,1.6143339642623264,"(1, 0, 3)",165.01375672981246
2023-12-10 16:00:00,3.48,3.774405970930804,"(1, 0, 3)",169.6808152810405
2023-12-11 16:00:00,2.71,2.9151678831078174,"(1, 0, 3)",168.5851354322984
2023-12-12 16:00:00,2.32,2.19139228450448,"(1, 0, 3)",168.44598425484804
2023-12-13 16:00:00,2.14,2.2827746416883214,"(2, 0, 3)",164.34231440709317
2023-12-14 16:00:00,1.69,2.1374880372655047,"(1, 0, 3)",156.47104429581097
2023-12-15 16:00:00,1.59,1.708173842514573,"(1, 0, 3)",156.88545220685467
2023-12-16 16:00:00,2.43,1.7340543741088164,"(1, 0, 3)",156.9239618547789
2023-12-17 16:00:00,3.45,2.61570494765587,"(1, 0, 3)",157.6622335664145
2023-12-18 16:00:00,2.95,3.185615148715948,"(1, 0, 3)",158.15149597027673
2023-12-19 16:00:00,2.13,2.480966358647075,"(1, 0, 3)",157.90338577942623
2023-12-20 16:00:00,2.77,2.003394460283231,"(1, 0, 3)",157.38031148119987
2023-12-21 16:00:00,5.53,2.9131510472503357,"(1, 0, 3)",158.1571213468255
2023-12-22 16:00:00,8.57,5.2196826390204745,"(1, 0, 3)",159.45594260855273
2023-12-23 16:00:00,7.83,6.559199873383078,"(1, 0, 3)",161.20365645896624
2023-12-24 16:00:00,10.86,5.73146776040495,"(1, 0, 3)",160.93082888561645
2023-12-25 16:00:00,9.05,9.205219955778192,"(1, 0, 3)",163.81377781738135
2023-12-26 16:00:00,7.13,7.374111723639787,"(1, 0, 3)",163.66746445945498
2023-12-27 16:00:00,5.42,5.974983837601796,"(1, 0, 3)",162.9668007110517
2023-12-28 16:00:00,5.38,5.37661747251634,"(1, 0, 3)",159.53455078376214
2023-12-29 16:00:00,6.21,5.444114704377615,"(1, 0, 3)",158.844223285402
2023-12-30 16:00:00,5.25,6.260461247383681,"(1, 0, 3)",158.94453784350395
2023-12-31 16:00:00,6.44,4.990105480592346,"(1, 0, 3)",159.00166870653007
2024-01-01 16:00:00,5.83,6.386147766322894,"(1, 0, 3)",159.45775268842462
2024-01-02 16:00:00,5.19,5.652711186266205,"(1, 0, 3)",159.5024148032756
2024-01-03 16:00:00,4.66,4.865998574186408,"(1, 0, 3)",159.3873905673164
2024-01-04 16:00:00,3.81,4.7896536329529615,"(1, 0, 3)",158.71815705813736
2024-01-05 16:00:00,3.05,3.875036254473358,"(1, 0, 3)",158.7462665464285
2024-01-06 16:00:00,2.86,3.1998075351778095,"(1, 0, 3)",157.93406993933007
2024-01-07 16:00:00,2.62,3.1579539674383414,"(1, 0, 3)",155.71622860057246
2024-01-08 16:00:00,2.21,2.8148667882786302,"(1, 0, 3)",155.63370776688384
2024-01-09 16:00:00,1.92,2.330672537517444,"(1, 0, 3)",155.67921828935545
2024-01-10 16:00:00,1.63,2.0864236796537776,"(1, 0, 3)",154.50531907547926
2024-01-11 16:00:00,1.48,1.7745863745820214,"(1, 0, 3)",154.42359821091708
2024-01-12 16:00:00,1.25,1.6082959829335373,"(1, 0, 3)",153.02651896326518
2024-01-13 16:00:00,2.33,1.353184111715972,"(1, 0, 3)",151.68009297423396
2024-01-14 16:00:00,2.41,2.5766964952072042,"(1, 0, 3)",153.4071699152103
2024-01-15 16:00:00,1.92,2.2779540473696027,"(1, 0, 3)",153.43930975836417
2024-01-16 16:00:00,1.6,1.6824973423542318,"(1, 0, 3)",152.73740555643815
2024-01-17 16:00:00,1.26,1.6705074971149758,"(1, 0, 3)",151.6666701412558
2024-01-18 16:00:00,1.12,1.3130745007898272,"(1, 0, 3)",151.3871834064879
2024-01-19 16:00:00,1.39,1.1888792103920247,"(1, 0, 3)",150.23928068979416
2024-01-20 16:00:00,1.64,1.5308431074510875,"(1, 0, 3)",149.7147909116838
2024-01-21 16:00:00,2.76,1.6464017890757565,"(1, 0, 3)",149.74239083222415
2024-01-22 16:00:00,2.5,2.6230006232303533,"(1, 0, 3)",151.82335690527304
2024-01-23 16:00:00,2.12,2.2028466217102545,"(1, 0, 3)",151.68910558462431
2024-01-24 16:00:00,1.97,1.8659325041200407,"(1, 0, 3)",150.98866048244213
2024-01-25 16:00:00,1.65,1.9976648026463273,"(1, 0, 3)",146.8433347743573
2024-01-26 16:00:00,1.67,1.6262505850826352,"(1, 0, 3)",140.58640815232314
2024-01-27 16:00:00,1.66,1.6986255770619911,"(1, 0, 3)",135.11678796305898
2024-01-28 16:00:00,2.19,1.7209083902550284,"(1, 0, 3)",135.0673618768433
2024-01-29 16:00:00,1.86,2.1861763937197685,"(1, 0, 3)",135.55235047934082
2024-01-30 16:00:00,1.65,1.7597321704505748,"(1, 0, 3)",133.02139744309727
2024-01-31 16:00:00,1.5,1.5840063845648547,"(1, 0, 3)",130.9346408382977
2024-02-01 16:00:00,1.46,1.5712376018315972,"(1, 0, 3)",128.85947739998414
2024-02-02 16:00:00,1.61,1.484300500280635,"(1, 0, 3)",128.0782579396769
2024-02-03 16:00:00,2.32,1.6536049081971997,"(1, 0, 3)",128.12682864732778
2024-02-04 16:00:00,5.01,2.3568271859720347,"(1, 0, 3)",126.96992282619847
2024-02-05 16:00:00,3.56,4.781483998744203,"(1, 0, 3)",131.9089799450712
2024-02-06 16:00:00,3.36,2.7016890927462747,"(1, 0, 3)",132.3755248104832
2024-02-07 16:00:00,2.1,2.904444010046406,"(1, 0, 3)",131.06212063628936
2024-02-08 16:00:00,1.84,2.1297230610811915,"(1, 0, 3)",129.5016896203114
2024-02-09 16:00:00,1.61,1.8030237156693893,"(1, 0, 3)",128.0607419743398
2024-02-10 16:00:00,1.53,1.7810563398826211,"(1, 0, 3)",126.93303314943091
2024-02-11 16:00:00,1.59,1.6037511155811988,"(1, 0, 3)",126.28522250498125
2024-02-12 16:00:00,1.51,1.6825630827912428,"(1, 0, 3)",125.59287320241745
2024-02-13 16:00:00,1.19,1.5666980191319118,"(1, 0, 3)",125.41085447898257
2024-02-14 16:00:00,1.03,1.191307924797976,"(1, 0, 3)",121.81683917378093
2024-02-15 16:00:00,0.85,1.1060186857551255,"(1, 0, 3)",121.5004335442211
2024-02-16 16:00:00,0.89,0.9268391361674566,"(1, 0, 3)",121.92863116613296
2024-02-17 16:00:00,0.89,0.9632520989284686,"(1, 0, 3)",120.55835256786793
2024-02-18 16:00:00,1.16,0.958764617910667,"(1, 0, 3)",119.87240790750482
2024-02-19 16:00:00,1.1,1.2068588471988777,"(1, 0, 3)",119.15217272885732
2024-02-20 16:00:00,1.05,1.0847414558544457,"(1, 0, 3)",119.10481138985725
2024-02-21 16:00:00,1.02,1.0061073170268735,"(1, 0, 3)",119.01097262796529
2024-02-22 16:00:00,2.79,1.0556387136249328,"(1, 0, 3)",118.0119902776091
2024-02-23 16:00:00,2.7,3.0094620510813948,"(1, 0, 3)",123.97382196502396
2024-02-24 16:00:00,2.67,2.2478500787038174,"(1, 0, 3)",124.04503457207056
2024-02-25 16:00:00,2.56,2.0338044814087963,"(1, 0, 3)",123.91442972854716
2024-02-26 16:00:00,2.14,2.591782493319982,"(1, 0, 3)",124.07626993240562
2024-02-27 16:00:00,1.64,1.932708744754042,"(1, 0, 3)",124.3819585175184
2024-02-28 16:00:00,1.25,1.6064694598683629,"(2, 0, 2)",123.78948694403371
2024-02-29 16:00:00,1.39,1.281922202950935,"(2, 0, 2)",123.94791256238678
2024-03-01 16:00:00,1.24,1.491997868916987,"(2, 0, 2)",121.30779411961278
2024-03-02 16:00:00,1.24,1.2862635386268841,"(2, 0, 2)",121.09141538103049
2024-03-03 16:00:00,1.46,1.323311913251211,"(3, 0, 1)",119.00725898008963
2024-03-04 16:00:00,1.28,1.5500726048728726,"(3, 0, 1)",116.9872067109701
2024-03-05 16:00:00,1.13,1.320449655181453,"(2, 0, 3)",112.27559964817206
2024-03-06 16:00:00,0.98,1.1687925766384522,"(3, 0, 3)",111.7515810941495
2024-03-07 16:00:00,1.18,1.091980453830216,"(3, 0, 3)",111.8504477930161
2024-03-08 16:00:00,2.13,1.301518176447526,"(2, 0, 2)",110.59847976959777
2024-03-09 16:00:00,3.4,2.252724717930531,"(2, 0, 3)",111.60703587869403
2024-03-10 16:00:00,4.52,3.1105691044109864,"(3, 0, 1)",110.73111034598898
2024-03-11 16:00:00,3.23,3.592404355350337,"(3, 0, 3)",109.0849430880387
2024-03-12 16:00:00,2.12,2.4777560824178715,"(3, 0, 3)",109.24602449429824
2024-03-13 16:00:00,1.83,1.7075394514742257,"(3, 0, 3)",109.23531005162258
2024-03-14 16:00:00,1.66,1.7353865525407566,"(3, 0, 3)",108.57458376394752
2024-03-15 16:00:00,1.58,1.5995801448519436,"(3, 0, 3)",108.63167466263444
2024-03-16 16:00:00,3.23,1.524266707645017,"(2, 0, 3)",107.64412706933842
2024-03-17 16:00:00,2.91,3.1084538303009666,"(3, 0, 1)",113.09367969631579
2024-03-18 16:00:00,2.07,2.403604983034184,"(3, 0, 1)",112.74591739222363
2024-03-19 16:00:00,1.72,1.7669667473226736,"(3, 0, 1)",112.59956403316778
2024-03-20 16:00:00,1.4,1.5868269332152807,"(3, 0, 1)",112.59799929150645
2024-03-21 16:00:00,1.21,1.34955008370421,"(3, 0, 1)",110.71259130848416
