DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER,MARGINAL_PRICE,RMSE,MAPE,MAE,ACCEPTANCE,REVENUE
2023-12-01 04:00:00,14.86,9.42671000319526,"(1, 0, 0)","(2, 0, 0, 7)",14.86,29.520640189378437,0.3656318974969542,5.433289996804739,1,9.42671000319526
2023-12-02 04:00:00,10.53,10.93146550034838,"(1, 0, 0)","(2, 0, 0, 7)",10.53,0.16117454796997618,0.03812587847562976,0.40146550034838135,0,0.0
2023-12-03 04:00:00,9.34,9.451990324513616,"(1, 0, 0)","(2, 0, 0, 7)",9.34,0.012541832784665124,0.011990398770194482,0.11199032451361646,0,0.0
2023-12-04 04:00:00,10.0,8.175627033082156,"(1, 0, 0)","(2, 0, 0, 7)",10.0,3.3283367224206164,0.18243729669178438,1.824372966917844,1,8.175627033082156
2023-12-05 04:00:00,8.92,9.047482775484143,"(1, 0, 0)","(2, 0, 0, 7)",8.92,0.01625185804514047,0.014291790973558658,0.12748277548414322,0,0.0
2023-12-06 04:00:00,30.0,8.667660758929843,"(1, 0, 0)","(2, 0, 0, 7)",30.0,455.0686974961018,0.7110779747023386,21.33233924107016,1,8.667660758929843
2023-12-07 04:00:00,14.9,53.63245013993698,"(1, 0, 0)","(2, 0, 0, 7)",14.9,1500.202693842704,2.5994932979823475,38.73245013993698,0,0.0
2023-12-08 04:00:00,11.19,11.696517877768454,"(1, 0, 0)","(2, 0, 0, 7)",11.19,0.25656036049905856,0.045265225895304205,0.506517877768454,0,0.0
2023-12-09 04:00:00,9.9,8.017243782863337,"(1, 0, 0)","(2, 0, 0, 7)",9.9,3.544770973166757,0.19017739567036998,1.882756217136663,1,8.017243782863337
2023-12-10 04:00:00,8.91,6.8643415413149445,"(1, 0, 0)","(2, 0, 0, 7)",8.91,4.184718529589718,0.22959129727105002,2.0456584586850557,1,6.8643415413149445
2023-12-11 04:00:00,13.28,8.789508003251875,"(1, 0, 0)","(2, 0, 0, 7)",13.28,20.164518372858957,0.3381394575864552,4.4904919967481245,1,8.789508003251875
2023-12-12 04:00:00,13.75,12.633126459849358,"(1, 0, 0)","(2, 0, 0, 7)",13.75,1.2474065046886287,0.08122716655641037,1.1168735401506424,1,12.633126459849358
2023-12-13 04:00:00,11.78,16.72521285946555,"(1, 0, 0)","(2, 0, 0, 7)",11.78,24.45513022542345,0.41979735649113337,4.945212859465551,0,0.0
2023-12-14 04:00:00,12.26,11.05947334815103,"(1, 0, 0)","(1, 0, 1, 7)",12.26,1.4412642417996968,0.09792223913939392,1.2005266518489695,1,11.05947334815103
2023-12-15 04:00:00,11.64,11.34506025587671,"(1, 0, 0)","(2, 0, 0, 7)",11.64,0.086989452663512,0.0253384659899734,0.2949397441232904,1,11.34506025587671
2023-12-16 04:00:00,9.89,8.003727251419512,"(1, 0, 0)","(2, 0, 0, 7)",9.89,3.55802488203739,0.19072525263705642,1.8862727485804882,1,8.003727251419512
2023-12-17 04:00:00,9.24,7.60192977561404,"(1, 0, 0)","(1, 0, 1, 7)",9.24,2.683274060019871,0.1772803273144979,1.6380702243859604,1,7.60192977561404
2023-12-18 04:00:00,12.42,11.707995367440152,"(2, 0, 1)","(1, 0, 1, 7)",12.42,0.5069505967866846,0.05732726510143707,0.7120046325598484,1,11.707995367440152
2023-12-19 04:00:00,10.52,15.726942262672424,"(2, 0, 1)","(1, 0, 1, 7)",10.52,27.112247726804224,0.4949564888471886,5.206942262672424,0,0.0
2023-12-20 04:00:00,9.27,9.435910543748069,"(1, 0, 0)","(1, 0, 1, 7)",9.27,0.027526308526779925,0.017897577534851026,0.16591054374806902,0,0.0
2023-12-21 04:00:00,8.23,7.593314604759006,"(1, 0, 0)","(1, 0, 1, 7)",8.23,0.40536829251318146,0.07736153040595316,0.6366853952409945,1,7.593314604759006
2023-12-22 04:00:00,7.49,8.340766784529045,"(2, 0, 1)","(1, 0, 1, 7)",7.49,0.7238041216578897,0.11358702063138111,0.8507667845290445,0,0.0
2023-12-23 04:00:00,7.33,6.016766586072056,"(1, 0, 0)","(1, 0, 1, 7)",7.33,1.724581999456842,0.17915871949903736,1.3132334139279438,1,6.016766586072056
2023-12-24 04:00:00,7.11,6.254568483030574,"(1, 0, 0)","(1, 0, 1, 7)",7.11,0.7317630802246144,0.1203138561138434,0.8554315169694267,1,6.254568483030574
2023-12-25 04:00:00,6.88,8.543192849442738,"(1, 0, 0)","(2, 0, 0, 7)",6.88,2.766210454437454,0.24174314672132818,1.663192849442738,0,0.0
2023-12-26 04:00:00,6.37,5.75938147657355,"(2, 0, 1)","(1, 0, 1, 7)",6.37,0.3728549811514984,0.09585848091467038,0.6106185234264503,1,5.75938147657355
2023-12-27 04:00:00,8.77,8.801845374491272,"(1, 0, 0)","(1, 0, 1, 7)",8.77,0.001014127876489379,0.003631171549745991,0.03184537449127234,0,0.0
2023-12-28 04:00:00,6.81,6.641749990621982,"(1, 0, 0)","(2, 0, 0, 7)",6.81,0.02830806565570312,0.024706315620854322,0.16825000937801793,1,6.641749990621982
2023-12-29 04:00:00,6.26,6.098493703954195,"(1, 0, 0)","(2, 0, 0, 7)",6.26,0.02608428366243518,0.025799727802844237,0.1615062960458049,1,6.098493703954195
2023-12-30 04:00:00,5.66,5.505464424358869,"(1, 0, 0)","(1, 0, 1, 7)",5.66,0.02388124413873581,0.027303105236948993,0.1545355756411313,1,5.505464424358869
2023-12-31 04:00:00,5.42,6.327163114846953,"(2, 0, 1)","(1, 0, 1, 7)",5.42,0.822944916938826,0.16737326842194705,0.907163114846953,0,0.0
2024-01-01 04:00:00,5.01,4.663239903196552,"(2, 0, 1)","(1, 0, 1, 7)",5.01,0.12024256473513639,0.06921359217633687,0.34676009680344766,1,4.663239903196552
2024-01-02 04:00:00,5.64,5.294693348534844,"(2, 0, 1)","(1, 0, 1, 7)",5.64,0.11923668354607837,0.061224583593112676,0.3453066514651555,1,5.294693348534844
2024-01-03 04:00:00,4.97,5.234562983694047,"(2, 0, 1)","(1, 0, 1, 7)",4.97,0.0699935723410965,0.05323198867083438,0.26456298369404685,0,0.0
2024-01-04 04:00:00,5.41,5.200295053082964,"(1, 0, 0)","(1, 0, 1, 7)",5.41,0.043976164761476796,0.03876246708263138,0.20970494691703578,1,5.200295053082964
2024-01-05 04:00:00,6.03,5.73175119265553,"(1, 0, 0)","(1, 0, 1, 7)",6.03,0.08895235108239906,0.04946083040538481,0.29824880734447046,1,5.73175119265553
2024-01-06 04:00:00,4.7,6.003641960301601,"(2, 0, 1)","(1, 0, 1, 7)",4.7,1.6994823606590004,0.2773706298514044,1.3036419603016007,0,0.0
2024-01-07 04:00:00,4.32,6.0056996867707655,"(2, 0, 1)","(1, 0, 1, 7)",4.32,2.8415834339790558,0.390208260826566,1.6856996867707652,0,0.0
2024-01-08 04:00:00,4.79,6.496447523799664,"(2, 0, 1)","(1, 0, 1, 7)",4.79,2.9119631514820044,0.3562520926512868,1.706447523799664,0,0.0
2024-01-09 04:00:00,4.46,5.197012571246109,"(1, 0, 0)","(2, 0, 0, 7)",4.46,0.543187530174801,0.16524945543634734,0.7370125712461091,0,0.0
2024-01-10 04:00:00,5.3,4.169637052866578,"(2, 0, 1)","(1, 0, 1, 7)",5.3,1.2777203922521558,0.21327602776102306,1.1303629471334222,1,4.169637052866578
2024-01-11 04:00:00,5.78,5.828268500295462,"(2, 0, 1)","(1, 0, 1, 7)",5.78,0.0023298481207730294,0.008350951608211444,0.04826850029546215,0,0.0
2024-01-12 04:00:00,4.87,5.310703803985161,"(1, 0, 1)","(1, 0, 1, 7)",4.87,0.19421984284699137,0.09049359424746636,0.4407038039851612,0,0.0
2024-01-13 04:00:00,4.38,4.281579613362752,"(2, 0, 1)","(1, 0, 1, 7)",4.38,0.009686572505825287,0.022470407908047375,0.0984203866372475,1,4.281579613362752
2024-01-14 04:00:00,3.86,3.637185588402836,"(1, 0, 0)","(1, 0, 1, 7)",3.86,0.0496462620153904,0.05772394082828083,0.22281441159716397,1,3.637185588402836
2024-01-15 04:00:00,6.61,4.396366187558602,"(2, 0, 1)","(1, 0, 1, 7)",6.61,4.90017465558384,0.33489165089885,2.2136338124413983,1,4.396366187558602
2024-01-16 04:00:00,6.17,7.321821521569475,"(1, 0, 0)","(1, 0, 1, 7)",6.17,1.3266928175506199,0.18668095973573334,1.1518215215694747,0,0.0
2024-01-17 04:00:00,5.72,5.47025747999096,"(1, 0, 0)","(1, 0, 1, 7)",5.72,0.062371326300465615,0.0436612797218601,0.24974252000903974,1,5.47025747999096
2024-01-18 04:00:00,6.26,6.868101352560044,"(2, 0, 1)","(1, 0, 1, 7)",6.26,0.3697872549853547,0.09714079114377697,0.6081013525600438,0,0.0
2024-01-19 04:00:00,5.81,4.947457973094877,"(1, 0, 2)","(1, 0, 1, 7)",5.81,0.7439787481775978,0.1484581801902105,0.8625420269051229,1,4.947457973094877
2024-01-20 04:00:00,5.11,4.512863127252604,"(1, 0, 0)","(1, 0, 1, 7)",5.11,0.3565724447945398,0.11685653087033189,0.597136872747396,1,4.512863127252604
2024-01-21 04:00:00,4.58,5.168639228861379,"(2, 0, 1)","(1, 0, 1, 7)",4.58,0.3464961417545193,0.12852384909637102,0.5886392288613793,0,0.0
2024-01-22 04:00:00,5.02,4.962160054631632,"(1, 0, 2)","(1, 0, 1, 7)",5.02,0.0033454592802157957,0.011521901467802393,0.057839945368368006,1,4.962160054631632
2024-01-23 04:00:00,4.97,4.283765551726559,"(1, 0, 0)","(1, 0, 1, 7)",4.97,0.4709177179971531,0.1380753417049176,0.6862344482734404,1,4.283765551726559
2024-01-24 04:00:00,4.43,4.535237335508659,"(1, 0, 0)","(1, 0, 1, 7)",4.43,0.011074896784962035,0.023755606209629545,0.10523733550865888,0,0.0
2024-01-25 04:00:00,4.72,4.825935421849485,"(1, 0, 2)","(1, 0, 1, 7)",4.72,0.011222313602428488,0.022443945307094426,0.10593542184948568,0,0.0
2024-01-26 04:00:00,4.6,5.188252988017902,"(1, 0, 2)","(1, 0, 1, 7)",4.6,0.34604157791198986,0.12788108435171783,0.5882529880179019,0,0.0
2024-01-27 04:00:00,4.11,3.9091426162904974,"(1, 0, 0)","(1, 0, 1, 7)",4.11,0.04034368859062648,0.048870409661679534,0.2008573837095029,1,3.9091426162904974
2024-01-28 04:00:00,3.95,4.202655666581535,"(1, 0, 0)","(1, 0, 1, 7)",3.95,0.06383488585575964,0.06396345989405942,0.2526556665815347,0,0.0
2024-01-29 04:00:00,4.32,4.3423058451320165,"(1, 0, 0)","(1, 0, 1, 7)",4.32,0.0004975507270534893,0.005163390076855593,0.022305845132016167,0,0.0
2024-01-30 04:00:00,4.94,4.135080296212671,"(1, 0, 0)","(1, 0, 1, 7)",4.94,0.6478957295450826,0.1629392112929817,0.8049197037873297,1,4.135080296212671
2024-01-31 04:00:00,5.15,4.919939864641058,"(1, 0, 0)","(1, 0, 1, 7)",5.15,0.05292766588137501,0.04467187094348401,0.23006013535894265,1,4.919939864641058
2024-02-01 04:00:00,4.7,3.9273944561737535,"(1, 0, 2)","(1, 0, 1, 7)",4.7,0.5969193263510504,0.16438415826090355,0.7726055438262467,1,3.9273944561737535
2024-02-02 04:00:00,4.48,4.656819773519694,"(2, 0, 1)","(1, 0, 1, 7)",4.48,0.03126523230755577,0.039468699446360195,0.1768197735196937,0,0.0
2024-02-03 04:00:00,4.22,3.4407365430667767,"(1, 0, 2)","(1, 0, 1, 7)",4.22,0.6072515353115172,0.18465958695100074,0.7792634569332231,1,3.4407365430667767
2024-02-04 04:00:00,4.05,3.424078795818856,"(1, 0, 2)","(1, 0, 1, 7)",4.05,0.39177735384357326,0.15454844547682567,0.6259212041811439,1,3.424078795818856
2024-02-05 04:00:00,4.34,4.227449485020222,"(1, 0, 2)","(1, 0, 1, 7)",4.34,0.01266761842221315,0.025933298382437246,0.11255051497977764,1,4.227449485020222
2024-02-06 04:00:00,4.0,3.929181134967378,"(1, 0, 1)","(1, 0, 1, 7)",4.0,0.005015311644508734,0.017704716258155506,0.07081886503262202,1,3.929181134967378
2024-02-07 04:00:00,4.15,4.24399472821765,"(1, 0, 2)","(1, 0, 1, 7)",4.15,0.00883500893270974,0.02264933210063836,0.0939947282176492,0,0.0
2024-02-08 04:00:00,5.22,5.473586901863662,"(1, 0, 2)","(1, 0, 1, 7)",5.22,0.06430631679681069,0.04857986625740657,0.2535869018636623,0,0.0
2024-02-09 04:00:00,4.08,3.714415772494177,"(1, 0, 0)","(1, 0, 1, 7)",4.08,0.1336518274010295,0.08960397732985863,0.3655842275058232,1,3.714415772494177
2024-02-10 04:00:00,3.69,4.470908997769927,"(1, 0, 0)","(1, 0, 1, 7)",3.69,0.6098188627980315,0.21162845468019698,0.7809089977699268,0,0.0
2024-02-11 04:00:00,3.35,3.0439834064627345,"(1, 0, 0)","(1, 0, 1, 7)",3.35,0.09364615552015204,0.0913482368767957,0.3060165935372656,1,3.0439834064627345
2024-02-12 04:00:00,3.87,4.013791940701939,"(1, 0, 0)","(1, 0, 1, 7)",3.87,0.020676122210829883,0.03715554023305912,0.1437919407019388,0,0.0
2024-02-13 04:00:00,3.6,3.3956765793197743,"(1, 0, 0)","(1, 0, 1, 7)",3.6,0.041748060238468526,0.05675650574450716,0.2043234206802258,1,3.3956765793197743
2024-02-14 04:00:00,3.27,3.356861986232879,"(1, 0, 0)","(1, 0, 1, 7)",3.27,0.007545004652320822,0.026563298542164764,0.08686198623287877,0,0.0
2024-02-15 04:00:00,3.42,3.4127810518483974,"(1, 0, 0)","(1, 0, 1, 7)",3.42,5.2113212415525315e-05,0.0021108035531001495,0.007218948151602511,1,3.4127810518483974
2024-02-16 04:00:00,3.14,2.906103953372431,"(1, 0, 0)","(1, 0, 1, 7)",3.14,0.05470736062800594,0.07448918682406656,0.23389604662756902,1,2.906103953372431
2024-02-17 04:00:00,3.01,2.82877143830339,"(1, 0, 0)","(1, 0, 1, 7)",3.01,0.03284379157462184,0.060208824483923465,0.1812285616966096,1,2.82877143830339
