MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,LOOKBACK,STRATEGY,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,N_OBSERVATIONS,RMSE,MAPE,MAE,MED_MAE,ZERO_COUNT,NEGATIVE_COUNT,ACCEPTANCE,CHANCE_OF_ACCEPTANCE,REVENUE,MAX_REVENUE,ACHIEVED_REVENUE_PERCENTAGE,MAPE_NORM,RMSE_NORM,MAE_NORM,COMBINED_SCORE,MAE_vs_BEST_STATISTICAL
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,00_04,NEG,AVERAGE,243,2.9287735746561636,0.18783656578467375,1.6524654526748972,0.8726380000000002,0,0,180,0.7407407407407407,5.2682251476,7.5244800332,70.01447441358333,0.9952828469533739,0.9995057544240455,0.9957981362099716,0.9968464518733728,40.991164592791286
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,00_04,NEG,MARGINAL,243,6.964589358521462,0.26481031856492643,3.3632216238683124,1.2738378,0,0,85,0.3497942386831276,3.82123968,10.485960278399999,36.441485362779424,0.9933497996208653,0.9988246897921451,0.9914480516755754,0.9945289365554421,18.021518522709552
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,00_04,POS,AVERAGE,243,2.3543564662734915,0.47285670277534425,1.8546769802469134,1.4392243000000002,0,0,43,0.17695473251028807,0.7985114884,3.9527597800000005,20.201366458955416,0.9881251159655927,0.9996026902599283,0.9952839558413257,0.9942751326417154,976.2834265201427
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,00_04,POS,MARGINAL,243,3.621198836956565,0.6250724792028316,2.7836177893004113,2.1087162999999993,0,0,14,0.05761316872427984,0.4010848896,4.755639932399999,8.433878411765857,0.9843025103375566,0.9993889041063793,0.9929218594100064,0.9921254054751765,528.8800812475291
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,04_08,NEG,AVERAGE,243,1.3714897870829657,0.16253710819952205,0.9396950082304527,0.6467579999999997,0,0,152,0.6255144032921811,4.7927630932,6.092240204,78.66996265270697,0.9959181940325075,0.9997685540577127,0.9976105579560756,0.9977472929356027,43.91875811027264
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,04_08,NEG,MARGINAL,243,4.630062629217984,0.1875759473165037,1.8584940176954732,0.7321977000000004,0,0,68,0.27983539094650206,2.5514621743999997,8.573920134400002,29.75840845732988,0.9952893918835156,0.9992186531623046,0.9952742499370876,0.9965810512631947,-27.668499969231515
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,04_08,POS,AVERAGE,243,4.162750695758668,0.18292689028662704,2.1956875041152264,1.361927999999999,0,0,187,0.7695473251028807,7.464240606400001,10.608559304800002,70.36054936340595,0.9954061439836236,0.9992975144500811,0.9944168395152678,0.9963638257629972,129.5256656321359
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,04_08,POS,MARGINAL,243,20.60842721519604,0.2599797649218044,5.114325686008231,2.0958869999999994,0,0,130,0.5349794238683128,5.9012872976,14.250879452400001,41.409986782297565,0.9934711096583405,0.996522222111456,0.9869953711433641,0.9923409830579265,121.02968201356326
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,08_12,NEG,AVERAGE,243,4.570586186692925,0.2302548257058468,2.5755839522633748,1.1641785999999996,0,0,176,0.7242798353909465,8.1010841236,11.115999204,72.87769614705346,0.9942175941726713,0.9992286901173106,0.9934508446577959,0.9956182284944934,60.40017216009844
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,08_12,NEG,MARGINAL,243,16.961909926932158,0.3684980184210706,6.396474941152262,2.445805,0,0,135,0.5555555555555556,7.6067694292,15.307239597599999,49.69393325751989,0.9907458830339599,0.9971375906237103,0.9837351416965815,0.9905416018972427,117.39882948601858
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,08_12,POS,AVERAGE,243,8.52392154932156,0.15488063687375678,3.9047810057613166,1.367794,0,0,207,0.8518518518518519,12.811204467200001,17.759679465599998,72.1364622149569,0.9961104715418937,0.9985615444799176,0.9900709827914769,0.9949262943238042,23.401135843090152
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,08_12,POS,MARGINAL,243,17.04484023922748,0.21564221696878338,7.636297190946502,2.5768500000000003,0,0,110,0.45267489711934156,8.728939165200002,23.3909594152,37.317576463014724,0.9945845616560005,0.9971235957077772,0.9805825407093421,0.9908017759806896,25.55967346775738
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,12_16,NEG,AVERAGE,243,5.983848008215485,0.13445898201364095,3.3606622307407408,1.0433499999999967,0,0,234,0.9629629629629629,19.447495439320004,23.0065574596,84.53022784251931,0.996623322013995,0.9989901949297696,0.991454559661137,0.9956986984997576,-28.09530710450171
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,12_16,NEG,MARGINAL,243,28.917794822926005,0.2007726541893149,7.955728448971194,1.9969535,0,0,141,0.5802469135802469,16.80256821,30.050997300000002,55.913512760523254,0.9949579820444864,0.9951199736704571,0.9797702958092599,0.9899995028234321,-18.927784476082408
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,12_16,POS,AVERAGE,243,15.448724716893993,0.12408313695098268,3.2103422724279835,0.7480729999999998,0,0,187,0.7695473251028807,8.3150087212,12.4003592184,67.05457942590853,0.9968838913495989,0.9973929483960329,0.9918367909439336,0.9953863370410526,-1.3297077165726074
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,12_16,POS,MARGINAL,243,92.9707758136774,0.20677656126832036,12.775443981481482,1.4606861999999996,0,0,130,0.5349794238683128,6.330650240400001,22.7001991136,27.888082429229538,0.9948072054986574,0.9843107043041512,0.9675147971290847,0.9823368653425115,-4.351431835352046
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,16_20,NEG,AVERAGE,243,1.5767267322564573,0.34816207635096713,1.0738494460493826,0.5898299999999992,0,0,111,0.4567901234567901,4.693599825080001,6.763039872199999,69.40074158624152,0.9912565809946646,0.9997339192696048,0.9972694321106726,0.9960383434936775,93.23203362805386
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,16_20,NEG,MARGINAL,243,3.963404196044242,0.6156036947443713,2.202458474526749,0.9984500000000001,0,0,36,0.14814814814814814,2.47476162176,8.514640332119999,29.064781661115997,0.9845403005956433,0.9993311551952785,0.9943996223956304,0.9926748588075187,67.10712693634136
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,16_20,POS,AVERAGE,243,19.44576824286707,0.2019639132319723,8.298429080246914,2.803474999999999,0,0,199,0.8189300411522634,16.874379332000004,26.775798113999997,63.021013454598254,0.9949280658713551,0.9967184267816941,0.9788988819040274,0.9902292542625488,30.827971424176177
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,16_20,POS,MARGINAL,243,34.74135500500751,0.24077498787703983,13.98883181893004,3.365857000000002,0,0,143,0.588477366255144,15.17432734,35.721720065999996,42.479273987825,0.9939534005912484,0.9941372179937448,0.9644294131598267,0.9842711444817032,-18.724309255954648
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,20_24,NEG,AVERAGE,243,0.6973774857704893,0.24705369437884542,0.49613636720164606,0.3665786,0,0,138,0.5679012345679012,1.49515169904,2.2389599894,66.77884848851959,0.9937957229879545,0.9998823139692002,0.998738432060479,0.9974353920056986,141.7103234223755
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,20_24,NEG,MARGINAL,243,1.7983921994566416,0.32323394479679995,1.0186785041563786,0.5575135999999998,0,0,67,0.2757201646090535,1.00334751644,3.17832014352,31.568484958497272,0.9918826029367513,0.9996965120840668,0.9974097199349213,0.9962851415647617,48.17038420851601
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,20_24,POS,AVERAGE,243,5.416005377449893,0.22597790904594514,3.863813049794239,2.093033000000002,0,0,165,0.6790123456790124,9.8183917224,14.7366389548,66.62571942296222,0.9943250006851794,0.9990860212888035,0.9901751554811091,0.9945266885670323,124.28096441317219
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,168,ensemble,20_24,POS,MARGINAL,243,8.052670489115608,0.30301657584516173,5.578015102057614,3.3364150000000006,0,0,104,0.4279835390946502,7.893635482800001,17.54480025,44.99131007661373,0.9923903231622921,0.9986410705155546,0.9858163088132177,0.9922836450536742,104.61715701195415
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,00_04,NEG,AVERAGE,243,2.842424679830912,0.20139111976606602,1.6786533473251029,0.9377549999999992,0,0,158,0.6502057613168725,4.831939246,7.5244800332,64.21625447446473,0.9949424504744354,0.9995203262433303,0.9957315460334026,0.99671355101263,51.51204686561076
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,00_04,NEG,MARGINAL,243,6.921801682927303,0.2950521393516615,3.626919532098765,1.6742720000000002,0,0,77,0.3168724279835391,3.2676266160000007,10.485960278399999,31.161920599022064,0.9925903346228564,0.9988319104320575,0.990777524681921,0.9940518273593841,55.121887464835794
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,00_04,POS,AVERAGE,243,1.6097606269017652,0.2598674266764717,1.0519790275720167,0.5960953,0,0,117,0.48148148148148145,1.86384874,3.9527597800000005,47.153099194912365,0.9934739308166918,0.9997283446302996,0.9973250438750966,0.996808754684456,345.77310987352854
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,00_04,POS,MARGINAL,243,2.560874986572607,0.3439174808425882,1.6192103419753086,1.0216406,0,0,28,0.11522633744855967,0.622836572,4.755639932399999,13.096798345825919,0.9913631758237939,0.9995678391994387,0.9958826967950392,0.9955621566582677,204.68272262787295
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,04_08,NEG,AVERAGE,243,1.3135405209099225,0.11295739991318243,0.7286129888888889,0.39639899999999884,0,0,205,0.8436213991769548,5.630250007200001,6.092240204,92.41674357329723,0.9971632927757513,0.9997783332938693,0.9981472940750435,0.9983509765754968,-11.791965779853019
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,04_08,NEG,MARGINAL,243,4.638323771453759,0.19464982714252393,1.897221927983539,0.7868449999999996,0,0,68,0.27983539094650206,2.4595640192,8.573920134400002,28.68657487643042,0.9951117450359309,0.9992172590521428,0.9951757732012264,0.9964876939558283,-22.27006566435545
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,04_08,POS,AVERAGE,243,4.170380390603363,0.17365086095245919,2.1605704979423868,1.2289645,0,0,192,0.7901234567901234,7.607770426800001,10.608559304800002,71.71351178060297,0.9956390935685538,0.999296226899908,0.9945061344995673,0.9964720710751351,107.1173328551622
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,04_08,POS,MARGINAL,243,20.540523834254685,0.26353457147796094,5.088419275308643,2.3125920000000004,0,0,119,0.4897119341563786,5.5758702616,14.250879452400001,39.126499387102484,0.9933818375482671,0.9965336811555805,0.9870612455668638,0.9923361505848174,143.88312651736973
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,08_12,NEG,AVERAGE,243,3.832496762748471,0.19495937177520334,2.108781370781893,0.8775056999999995,0,0,188,0.7736625514403292,8.664288614000002,11.115999204,77.94430761457978,0.9951039714195373,0.9993532464966771,0.9946378230972203,0.9963524032486288,20.90246750066327
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,08_12,NEG,MARGINAL,243,15.915412880615566,0.31780447402730827,5.32937688106996,1.619356999999999,0,0,127,0.522633744855967,7.477818481200001,15.307239597599999,48.85151521618854,0.9920189536226516,0.9973141923726019,0.9864485422652961,0.9919281466622081,43.93883253979381
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,08_12,POS,AVERAGE,243,8.047954807078975,0.1679723537766802,3.91449307037037,1.7418249999999986,0,0,161,0.6625514403292181,11.006318603200002,17.759679465599998,61.973633164488874,0.9957816983234513,0.9986418663111069,0.9900462871026556,0.994832868056515,57.14587389613519
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,08_12,POS,MARGINAL,243,16.378224894065774,0.2306532141559002,7.566352597530864,3.1536039999999996,0,0,84,0.345679012345679,7.422040282,23.3909594152,31.730379888466576,0.9942075894151681,0.9972360904694278,0.9807603947479278,0.9907694205228845,53.66260685977588
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,12_16,NEG,AVERAGE,243,5.487514993389176,0.11120807815406561,2.666344544444444,0.8007262000000002,0,0,214,0.8806584362139918,19.980158726000006,23.0065574596,86.84549507715609,0.9972072236176036,0.9990739536740101,0.993220060017046,0.9965074805480338,-44.81624430499876
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,12_16,NEG,MARGINAL,243,28.43900703362225,0.19616053984644607,7.617303444032921,1.8685935999999996,0,0,109,0.448559670781893,12.4040738816,30.050997300000002,41.27674618505922,0.9950738064002659,0.9952007715678202,0.9806308377174665,0.990349525240235,-24.138933096933393
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,12_16,POS,AVERAGE,243,15.36655821526596,0.11038614900971823,3.08216438436214,0.5275320000000008,0,0,223,0.9176954732510288,9.2197271268,12.4003592184,74.35048424338797,0.9972278647827099,0.9974068144149948,0.9921627197103562,0.9956154202874872,-30.41890747445622
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,12_16,POS,MARGINAL,243,92.90667071548808,0.18295104768806716,12.380588811522633,1.2251510000000003,0,0,148,0.6090534979423868,6.9853690484,22.7001991136,30.772280954200838,0.9954055373170817,0.9843215223685623,0.9685188287947816,0.9828751985717112,-19.774734001398336
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,16_20,NEG,AVERAGE,243,1.46737857338497,0.22757704594104788,0.9357231495884775,0.39688769999999995,0,0,153,0.6296296296296297,4.7207586656,6.763039872199999,69.80231899866575,0.9942848414465072,0.9997523723327669,0.9976206575372679,0.997189945948924,30.022917438857043
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,16_20,NEG,MARGINAL,243,3.9897744601942313,0.5137802536726559,1.9752455564609055,0.8105720000000001,0,0,54,0.2222222222222222,3.2102879172000005,8.514640332119999,37.70315353297716,0.9870973999189988,0.9993267050778281,0.9949773759162877,0.9937334627005179,35.66263517957243
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,16_20,POS,AVERAGE,243,17.27248525367781,0.19559680079034777,7.440115660493827,2.6904900000000005,0,0,158,0.6502057613168725,15.555787348,26.775798113999997,58.096446954709066,0.9950879636193083,0.9970851794429442,0.981081388093865,0.991124874917712,25.5553728273061
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,16_20,POS,MARGINAL,243,33.2914695177086,0.2708285299913615,14.056875236625514,4.534633999999997,0,0,85,0.3497942386831276,11.290091058,35.721720065999996,31.605675866504345,0.9931986638489412,0.9943818936128979,0.9642563934016819,0.9840381804234514,9.498267639246972
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,20_24,NEG,AVERAGE,243,0.5803306326099413,0.1469766138667613,0.34815179872427987,0.19435550000000013,0,0,201,0.8271604938271605,1.86644944208,2.2389599894,83.36234014526424,0.9963089658342712,0.999902066226546,0.9991147249498471,0.998420589471862,28.151863649207943
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,20_24,NEG,MARGINAL,243,1.7583156897332974,0.23280642711413432,0.8864415957201647,0.363019,0,0,110,0.45267489711934156,1.28015517944,3.17832014352,40.277729166144475,0.9941535156248837,0.9997032752008205,0.9977459699160414,0.997170446201025,-3.5204437972611107
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,20_24,POS,AVERAGE,243,4.454075198042033,0.16755389361775627,3.0008075711934157,1.3177295999999998,0,0,196,0.8065843621399177,11.2639944328,14.7366389548,76.4353016135413,0.995792207143208,0.9992483519447695,0.9923695925661683,0.9958032721173002,41.20258281822757
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,168,recency,20_24,POS,MARGINAL,243,6.758601637080763,0.21970340488940607,4.31285494526749,2.429583000000001,0,0,108,0.4444444444444444,8.882648776,17.54480025,50.628383620383474,0.9944825727546773,0.9988594512776023,0.9890333386414648,0.9941286954098826,49.00255699143383
