PRODUCT,PRODUCT_SIGN,PRICE_TYPE,TIMESTEP,HIDDEN_SIZE,NUM_STACKED_LAYERS,LEARNING_RATE,DROPOUT_RATE,WEIGHT_DECAY,BATCH_SIZE,EXECUTION_TIME_[S],CV_MEAN_LOSS
all,NEG,AVERAGE,42,111,2,0.0009626855524033079,0.1312037280884873,2.0511104188433975e-06,32,708.9845008850098,0.002407519056294227
all,NEG,MARGINAL,42,88,2,0.0008673766174709674,0.1312037280884873,2.0511104188433975e-06,32,493.4413061141968,0.004198779817883538
all,POS,AVERAGE,42,118,2,0.0008903488639350984,0.1312037280884873,2.0511104188433975e-06,32,749.3762612342834,0.00268521053519912
all,POS,MARGINAL,42,115,2,0.0009888913458222359,0.14149068224667016,1.0625600049713473e-06,32,753.1934032440186,0.004437741304026553
