DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER,AIC,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01 16:00:00,16.57,16.100964887546805,"(1, 0, 0)","(2, 0, 0, 7)",-6.4404714774477085,18.08,0.21999393671398135,0.46903511245319507,0.028306283189691916,1,16.100964887546805
2024-07-02 16:00:00,13.84,14.697722336024812,"(1, 0, 0)","(2, 0, 0, 7)",-6.48071662298922,14.75,0.735687605715861,0.8577223360248123,0.06197415722722632,1,14.697722336024812
2024-07-03 16:00:00,11.49,13.886497774385663,"(1, 0, 0)","(1, 0, 1, 7)",-7.222576946655369,12.46,5.743201582635438,2.3964977743856632,0.20857247818848243,0,0.0
2024-07-04 16:00:00,22.31,11.615595549357415,"(1, 0, 0)","(1, 0, 1, 7)",-6.678284292404292,29.4,114.37028655392389,10.694404450642583,0.47935474902028613,1,11.615595549357415
2024-07-05 16:00:00,21.47,19.746268884903824,"(1, 0, 0)","(1, 0, 1, 7)",0.5162497605190204,24.73,2.9712489571507033,1.7237311150961752,0.08028556660904403,1,19.746268884903824
2024-07-06 16:00:00,27.13,26.30341848961408,"(1, 0, 0)","(1, 0, 1, 7)",-0.288873748839892,38.32,0.6832369933118647,0.8265815103859175,0.030467434957092428,1,26.30341848961408
2024-07-07 16:00:00,23.62,35.15407399228659,"(1, 0, 0)","(1, 0, 1, 7)",-0.0511312665502163,30.9,133.03486285954193,11.53407399228659,0.48831811991052454,0,0.0
2024-07-08 16:00:00,16.93,16.94746705172092,"(1, 0, 0)","(2, 0, 0, 7)",0.2763893836015665,19.98,0.0003050978958213215,0.01746705172092078,0.0010317218972782504,1,16.94746705172092
2024-07-09 16:00:00,14.64,15.451634771469436,"(1, 0, 0)","(1, 0, 1, 7)",-0.9596033693479188,17.85,0.658751002258243,0.8116347714694356,0.05543953357031664,1,15.451634771469436
2024-07-10 16:00:00,12.92,12.53137068521789,"(1, 0, 0)","(2, 0, 0, 7)",-1.2516505022455195,13.87,0.15103274430801203,0.3886293147821096,0.03007966832678867,1,12.53137068521789
2024-07-11 16:00:00,11.54,14.48756900491196,"(1, 0, 0)","(1, 0, 1, 7)",-2.752206903000824,12.49,8.688163038717684,2.9475690049119603,0.25542192416914733,0,0.0
2024-07-12 16:00:00,9.71,12.1539185019202,"(1, 0, 0)","(1, 0, 1, 7)",-2.9020763285287448,10.6,5.972737644027873,2.4439185019201997,0.2516908858826158,0,0.0
2024-07-13 16:00:00,19.33,13.944769717767777,"(1, 0, 0)","(1, 0, 1, 7)",-2.372225924577762,24.5,29.00070519267093,5.3852302822322216,0.278594427430534,1,13.944769717767777
2024-07-14 16:00:00,21.64,21.80759536009192,"(1, 0, 0)","(2, 0, 1, 7)",1.8598813427664125,26.0,0.028088204724340107,0.16759536009191933,0.007744702407205145,1,21.80759536009192
2024-07-15 16:00:00,15.83,16.681182042703934,"(1, 0, 0)","(2, 0, 1, 7)",1.5631345020670937,17.43,0.7245108698216421,0.8511820427039343,0.05377018589412093,1,16.681182042703934
2024-07-16 16:00:00,29.3,14.237188203967374,"(1, 0, 0)","(2, 0, 1, 7)",1.3836571099942674,80.35,226.88829920269964,15.062811796032626,0.5140891397963354,1,14.237188203967374
2024-07-17 16:00:00,25.14,23.357291712693726,"(1, 0, 0)","(1, 0, 1, 7)",9.350680939585311,31.7,3.17804883763047,1.7827082873062743,0.07091122861202363,1,23.357291712693726
2024-07-18 16:00:00,18.02,23.25128684389424,"(1, 0, 0)","(1, 0, 1, 7)",9.439476877401088,20.29,27.366362043100946,5.231286843894239,0.29030448634263256,0,0.0
2024-07-19 16:00:00,14.86,16.65340568905281,"(1, 0, 0)","(1, 0, 1, 7)",8.89009862790548,15.94,3.2163039655269885,1.7934056890528112,0.12068678930368851,0,0.0
2024-07-20 16:00:00,18.57,21.53616304222128,"(1, 0, 0)","(1, 0, 1, 7)",9.108417474591134,20.88,8.798123193039391,2.966163042221279,0.15972875833178668,0,0.0
2024-07-21 16:00:00,17.49,19.27909447487459,"(1, 0, 0)","(1, 0, 1, 7)",9.099971750343776,19.45,3.2008590400267907,1.7890944748745916,0.10229242280586574,1,19.27909447487459
2024-07-22 16:00:00,13.88,14.23366892200483,"(1, 0, 0)","(1, 0, 1, 7)",9.333609846024435,14.84,0.12508170639205768,0.3536689220048288,0.02548046988507412,1,14.23366892200483
2024-07-23 16:00:00,11.53,13.995977377085708,"(1, 0, 0)","(1, 0, 1, 7)",9.37732637522779,13.37,6.081044424298513,2.465977377085709,0.21387488092677442,0,0.0
2024-07-24 16:00:00,14.5,10.454296317788506,"(1, 0, 0)","(1, 0, 1, 7)",10.655726597266144,18.67,16.36771828425964,4.045703682211494,0.27901404704906857,1,10.454296317788506
2024-07-25 16:00:00,12.89,14.189376350958884,"(1, 0, 0)","(2, 0, 1, 7)",11.766280160813585,13.51,1.6883789014312245,1.2993763509588838,0.10080499231643784,0,0.0
