DATE,ACTUAL_VALUE,D+1,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01 08:00:00,19.210003,22.236433,21.54,9.159278544900008,3.0264300000000013,0.15754448346520306,0,0.0
2024-07-02 08:00:00,22.7,21.618225,60.6,1.1702371506250009,1.0817750000000004,0.04765528634361235,1,21.618225
2024-07-03 08:00:00,23.099995,24.071558,26.16,0.9439346629689995,0.9715629999999997,0.04205901343268688,1,24.071558
2024-07-04 08:00:00,18.91,21.436026,22.0,6.3808073526759905,2.526025999999998,0.13358149127445787,1,21.436026
2024-07-05 08:00:00,18.05,18.696869,20.32,0.4184395031609985,0.6468689999999988,0.035837617728531786,1,18.696869
2024-07-06 08:00:00,16.640001,17.440231,17.37,0.6403680528999985,0.8002299999999991,0.04809074230223899,0,0.0
2024-07-07 08:00:00,14.510002,15.922277,16.15,1.994520675624998,1.4122749999999993,0.09733113751466052,1,15.922277
2024-07-08 08:00:00,18.21,18.385206,20.75,0.030697142435999757,0.1752059999999993,0.009621416803953833,1,18.385206
2024-07-09 08:00:00,18.130003,19.434006,21.13,1.7004238240090042,1.3040030000000016,0.07192513978072711,1,19.434006
2024-07-10 08:00:00,17.599998,19.930603,20.8,5.4317196660250096,2.330605000000002,0.13242075368417666,1,19.930603
2024-07-11 08:00:00,17.750002,19.471325,19.23,2.962952870329006,1.7213230000000017,0.09697593273510628,0,0.0
2024-07-12 08:00:00,17.200003,20.347178,18.72,9.904710480625004,3.1471750000000007,0.18297525878338516,0,0.0
2024-07-13 08:00:00,15.470001,16.835558,17.24,1.8647459202489973,1.365556999999999,0.08827129358298032,1,16.835558
2024-07-14 08:00:00,14.52,15.48984,15.06,0.9405896255999993,0.9698399999999996,0.06679338842975203,0,0.0
2024-07-15 08:00:00,15.869997,16.09162,17.83,0.049116754128999664,0.22162299999999924,0.013964904971311542,1,16.09162
2024-07-16 08:00:00,68.88,18.11797,150.69,2576.7836897208995,50.762029999999996,0.736963269454123,1,18.11797
2024-07-17 08:00:00,45.399994,42.87003,59.52,6.400717841295998,2.5299639999999997,0.055726086659835236,1,42.87003
2024-07-18 08:00:00,30.12,34.58992,33.92,19.980184806399986,4.469919999999998,0.1484037184594953,0,0.0
2024-07-19 08:00:00,21.010002,28.19186,22.59,51.57908433216397,7.181857999999998,0.341830429145128,0,0.0
2024-07-20 08:00:00,17.159996,22.212124,18.43,25.523997328384,5.052128,0.294413122240821,0,0.0
2024-07-21 08:00:00,14.83,17.53803,16.26,7.333426480899995,2.708029999999999,0.18260485502360074,0,0.0
2024-07-22 08:00:00,16.290003,18.080795,17.6,3.206935987263999,1.7907919999999997,0.10993196256624384,0,0.0
2024-07-23 08:00:00,16.210001,18.309639,19.57,4.40847973104401,2.0996380000000023,0.12952732081879592,1,18.309639
2024-07-24 08:00:00,15.610001,17.698801,17.4,4.363085439999996,2.088799999999999,0.13381165062065012,0,0.0
2024-07-25 08:00:00,15.29,17.513655,16.44,4.944641559025004,2.223655000000001,0.14543198168737742,0,0.0
2024-07-26 08:00:00,14.499999,17.923313,15.32,11.719078742595997,3.4233139999999995,0.23609063697176802,0,0.0
2024-07-27 08:00:00,13.100001,16.154322,14.03,9.328876771041,3.054321,0.23315425701112538,0,0.0
2024-07-28 08:00:00,12.22,14.103769,17.67,3.5485856453609967,1.8837689999999991,0.1541545826513911,1,14.103769
2024-07-29 08:00:00,13.919999,14.692204,16.11,0.5963005620249994,0.7722049999999996,0.055474501111673895,1,14.692204
2024-07-30 08:00:00,14.099997,16.176859,17.3,4.313355767044001,2.076862,0.14729520864437065,1,16.176859
2024-07-31 08:00:00,14.459999,16.413942,16.22,3.8178932472489957,1.9539429999999989,0.13512746439332388,0,0.0
2024-08-01 08:00:00,13.9,16.760798,14.57,8.184165196804004,2.860798000000001,0.20581280575539573,0,0.0
2024-08-02 08:00:00,12.84,17.355185,13.57,20.38689558422499,4.515184999999999,0.35164992211838,0,0.0
2024-08-03 08:00:00,11.7699995,14.751083,12.46,8.886858833972243,2.9810834999999987,0.25327813310442354,0,0.0
2024-08-04 08:00:00,11.019999,13.802253,11.96,7.740937320516,2.782254,0.2524731626563668,0,0.0
2024-08-05 08:00:00,13.379998,15.848164,14.66,6.091843403556,2.468166,0.184466843717017,0,0.0
2024-08-06 08:00:00,28.889997,16.195765,56.03,161.143526069824,12.694232,0.4393988687503152,1,16.195765
2024-08-07 08:00:00,27.449999,23.494713,38.05,15.64428734179598,3.9552859999999974,0.1440905699122247,1,23.494713
2024-08-08 08:00:00,20.889997,24.805286,23.39,15.329487953520983,3.915288999999998,0.18742410542232235,0,0.0
2024-08-09 08:00:00,16.949997,19.801853,18.54,8.133082644736009,2.8518560000000015,0.16825112122438732,0,0.0
2024-08-10 08:00:00,14.229999,16.899569,15.99,7.126603984900001,2.66957,0.18760155921304003,0,0.0
2024-08-11 08:00:00,12.919998,15.459426,14.3,6.448694567184004,2.539428000000001,0.19655018522448695,0,0.0
2024-08-12 08:00:00,13.61,16.27317,15.6,7.092474448900005,2.663170000000001,0.1956774430565761,0,0.0
2024-08-13 08:00:00,25.179995,16.782522,38.86,70.51755278572902,8.397473000000002,0.33349780252140643,1,16.782522
2024-08-14 08:00:00,23.7,23.293358,28.9,0.16535771616399833,0.40664199999999795,0.017157890295358563,1,23.293358
2024-08-15 08:00:00,20.31,22.511723,22.0,4.847584168729005,2.201723000000001,0.1084058591826687,0,0.0
2024-08-16 08:00:00,17.030003,20.029743,18.54,8.998440067599995,2.999739999999999,0.17614441993932703,0,0.0
2024-08-17 08:00:00,15.030001,19.113293,15.71,16.673273557263986,4.083291999999998,0.2716760963622024,0,0.0
2024-08-18 08:00:00,13.339999,17.84309,14.58,20.277828554280994,4.5030909999999995,0.3375630687828387,0,0.0
2024-08-19 08:00:00,15.079999,17.763752,17.0,7.202530165008997,2.6837529999999994,0.1779677173718645,0,0.0
2024-08-20 08:00:00,40.649994,17.989845,67.76,513.4823527022011,22.660149,0.5574453221321509,1,17.989845
2024-08-21 08:00:00,35.119995,26.046255,44.39,82.33275758760009,9.073740000000004,0.2583639319994209,1,26.046255
2024-08-22 08:00:00,27.980001,28.492676,31.47,0.26283565562499794,0.512674999999998,0.018322908566014633,1,28.492676
2024-08-23 08:00:00,24.429998,22.793703,26.85,2.677461327025002,1.6362950000000005,0.06697892484477487,1,22.793703
2024-08-24 08:00:00,20.599995,21.999207,22.75,1.957794220943996,1.3992119999999986,0.067922929107507,1,21.999207
2024-08-25 08:00:00,18.15,18.85814,18.9,0.5014622596000003,0.7081400000000002,0.039015977961432524,1,18.85814
2024-08-26 08:00:00,17.23,20.394884,19.25,10.016490733456004,3.1648840000000007,0.18368450377248988,0,0.0
2024-08-27 08:00:00,17.1,18.261806,19.0,1.3497931816359967,1.1618059999999986,0.06794187134502915,1,18.261806
2024-08-28 08:00:00,17.300001,17.894596,18.8,0.3535432140249979,0.5945949999999982,0.0343696511925056,1,17.894596
2024-08-29 08:00:00,19.430002,17.769512,23.91,2.75722704010001,1.660490000000003,0.08546010443025187,1,17.769512
2024-08-30 08:00:00,19.269999,20.342129,22.35,1.149462736900003,1.0721300000000014,0.05563726287686893,1,20.342129
2024-08-31 08:00:00,17.159996,18.297039,18.3,1.2928667838490047,1.137043000000002,0.06626126253176294,1,18.297039
2024-09-01 08:00:00,15.440001,16.30235,17.16,0.743645797801,0.862349,0.05585161555365184,1,16.30235
2024-09-02 08:00:00,16.519999,17.731049,17.62,1.4666421025000005,1.2110500000000002,0.07330811581768257,0,0.0
2024-09-03 08:00:00,23.079996,18.77134,35.6,18.564516526336025,4.308656000000003,0.1866835678827675,1,18.77134
2024-09-04 08:00:00,25.880001,24.903803,36.25,0.9529625352040002,0.9761980000000001,0.03772016855795331,1,24.903803
2024-09-05 08:00:00,22.569996,22.879728,25.41,0.09593391182400021,0.30973200000000034,0.013723174784789521,1,22.879728
2024-09-06 08:00:00,19.290003,21.493683,21.96,4.8562055424000095,2.203680000000002,0.1142394845661767,1,21.493683
2024-09-07 08:00:00,17.039999,19.127968,18.43,4.35961454496099,2.0879689999999975,0.12253339920970636,0,0.0
2024-09-08 08:00:00,15.640001,17.164682,16.46,2.324652151760998,1.5246809999999993,0.09748599120933556,0,0.0
2024-09-09 08:00:00,18.330004,20.195423,24.06,3.4797880455610106,1.8654190000000028,0.10176860845202232,1,20.195423
2024-09-10 08:00:00,17.159996,18.738422,20.7,2.491428637476001,1.5784260000000003,0.09198288857409992,1,18.738422
2024-09-11 08:00:00,16.399998,18.674358,17.41,5.172713409600007,2.2743600000000015,0.1386805047171348,0,0.0
2024-09-12 08:00:00,16.360003,19.515713,18.44,9.958505604100017,3.1557100000000027,0.19289177391960152,0,0.0
2024-09-13 08:00:00,15.900001,19.272411,17.0,11.373149208100015,3.372410000000002,0.21210124452193443,0,0.0
2024-09-14 08:00:00,14.499999,15.7679,14.97,1.607572945800996,1.2679009999999984,0.08744145430630708,0,0.0
2024-09-15 08:00:00,13.019999,14.377958,13.81,1.844052645680998,1.3579589999999993,0.10429793427787508,0,0.0
2024-09-16 08:00:00,24.5,18.321194,35.6,38.17764358563602,6.178806000000002,0.2521961632653062,1,18.321194
2024-09-17 08:00:00,46.839996,23.871017,81.22,527.5739963024411,22.968979,0.4903710709112785,1,23.871017
2024-09-18 08:00:00,30.140003,36.090096,34.75,35.40360670864903,5.9500930000000025,0.19741514292483656,0,0.0
2024-09-19 08:00:00,23.949995,25.06976,29.49,1.2538736552249943,1.1197649999999975,0.046754289510289974,1,25.06976
2024-09-20 08:00:00,22.0,22.641838,23.98,0.41195601824399986,0.6418379999999999,0.02917445454545454,1,22.641838
2024-09-21 08:00:00,18.370003,19.34507,19.22,0.9507556544889986,0.9750669999999992,0.05307930543070675,0,0.0
2024-09-22 08:00:00,15.880003,17.62683,17.53,3.051404567929005,1.7468270000000015,0.11000167947071555,0,0.0
2024-09-23 08:00:00,19.110004,22.690296,24.0,12.818490805264,3.580292,0.1873517137934665,1,22.690296
2024-09-24 08:00:00,18.629997,21.51565,20.88,8.326993236409008,2.8856530000000014,0.15489283224253883,0,0.0
2024-09-25 08:00:00,17.020002,18.622492,18.24,2.5679742000999983,1.6024899999999995,0.09415333793732805,0,0.0
2024-09-26 08:00:00,15.710001,16.925325,16.84,1.4770124249760017,1.2153240000000007,0.07735989322979679,0,0.0
2024-09-27 08:00:00,14.3499975,14.42158,17.03,0.005124054306249983,0.07158249999999988,0.004988328395179154,1,14.42158
2024-09-28 08:00:00,13.43,14.522039,14.07,1.1925491775209995,1.0920389999999998,0.08131340282948621,0,0.0
2024-09-29 08:00:00,12.28,13.896834,13.02,2.6141521835560027,1.6168340000000008,0.13166400651465804,0,0.0
2024-09-30 08:00:00,14.78,13.655607,18.0,1.264259618448999,1.1243929999999995,0.07607530446549388,1,13.655607
2024-10-01 08:00:00,15.060003,16.067509,16.66,1.0150683400360023,1.0075060000000011,0.06689945546491599,1,16.067509
2024-10-02 08:00:00,15.660001,18.046146,18.0,5.693687961025004,2.386145000000001,0.15237195706437062,0,0.0
2024-10-03 08:00:00,14.330004,15.171498,15.81,0.7081121520359984,0.8414939999999991,0.05872252373411752,1,15.171498
2024-10-04 08:00:00,13.77,17.211033,15.59,11.840708107089005,3.441033000000001,0.24989346405228766,0,0.0
