DATE,ACTUAL_VALUE,D+1,MARGINAL_PRICE,RMSE,MAPE,MAE,ACCEPTANCE,REVENUE
2023-12-01 16:00:00,50.86,28.044310240667198,64.59,520.5556991941237,0.44859791111547,22.815689759332802,1,28.044310240667198
2023-12-02 16:00:00,36.67,27.93126977551943,43.67,76.36540593625028,0.23830734181839577,8.738730224480573,1,27.93126977551943
2023-12-03 16:00:00,28.61,24.30404918142802,35.0,18.5412124519607,0.15050509676938062,4.305950818571979,1,24.30404918142802
2023-12-04 16:00:00,24.05,23.170204360549462,32.84,0.7740403671961817,0.03658193927029266,0.8797956394505384,1,23.170204360549462
2023-12-05 16:00:00,26.36,23.018305148669583,33.3,11.166924479408213,0.12677142835092628,3.3416948513304163,1,23.018305148669583
2023-12-06 16:00:00,46.43,25.710702055923097,79.0,429.28930729542935,0.44624807116254367,20.719297944076903,1,25.710702055923097
2023-12-07 16:00:00,33.93,34.90943203503128,38.75,0.9592871112455148,0.028866255084918368,0.9794320350312802,1,34.90943203503128
2023-12-08 16:00:00,27.41,28.96002063643691,29.83,2.402563973380279,0.05654945773210173,1.5500206364369085,1,28.96002063643691
2023-12-09 16:00:00,21.05,16.14530958205982,23.98,24.055988095834223,0.2330019200921701,4.904690417940181,1,16.14530958205982
2023-12-10 16:00:00,17.38,17.10417272775903,19.58,0.07608068411189457,0.015870383903393022,0.2758272722409707,1,17.10417272775903
2023-12-11 16:00:00,17.94,20.97525093104309,20.4,9.21274821439793,0.16918901510831033,3.0352509310430875,0,0.0
2023-12-12 16:00:00,18.09,23.3751494299298,19.81,27.93280449668728,0.2921586196755002,5.285149429929799,0,0.0
2023-12-13 16:00:00,17.51,21.94723596169328,18.38,19.68906297974408,0.25341153407728606,4.437235961693279,0,0.0
2023-12-14 16:00:00,17.24,19.378619294459668,18.73,4.573692486635174,0.12404984306610613,2.1386192944596694,0,0.0
