DATE,ACTUAL_VALUE,D+1_ENSEMBEL_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-03 20:00:00,3.2400000486847054,3.0844703216978977,3.120297401247939,3.2894993673430446
2023-12-04 20:00:00,3.1399999197588877,3.084403862825957,3.186391136362775,3.377237855551961
2023-12-05 20:00:00,3.0100000129447797,2.837034403199285,2.9703290227654686,2.896533226539884
2023-12-06 20:00:00,3.7199999840903764,4.251220185728134,4.292144161543837,4.239259641318309
2023-12-07 20:00:00,5.010000039722122,3.5504152006813334,3.7242810911926787,4.164084517309286
2023-12-08 20:00:00,3.9499998748886194,4.245758060555613,4.491908568408855,4.3015685596720745
2023-12-09 20:00:00,24.689998431281335,7.080055894093203,7.568533454627336,8.087507329198473
2023-12-10 20:00:00,10.899998940624085,10.958401659051066,11.06136281848204,10.455209436521981
2023-12-11 20:00:00,7.679999058941517,7.838927053097967,8.491103794087046,8.855969763451668
2023-12-12 20:00:00,7.310000730349064,6.360238009237985,6.865610302285418,7.054518305375894
2023-12-13 20:00:00,6.010000181071954,6.0971940668917455,6.491722684670276,6.539023638542526
2023-12-14 20:00:00,5.310000316555872,4.9892519142470775,5.224169595393337,5.446542805145311
2023-12-15 20:00:00,4.610000249309473,4.43984166406467,4.57812966857335,4.7449323576951885
2023-12-16 20:00:00,9.090000064055635,7.1853198822019735,8.01680855133081,8.525530843974927
2023-12-17 20:00:00,9.800000613019478,8.471570128726277,8.43458478039194,8.408441533111747
2023-12-18 20:00:00,7.540000759181046,6.898335396734134,7.351172976080924,8.038838684874237
2023-12-19 20:00:00,5.989999887401088,5.9037399590512285,6.30530050797531,6.606433204798488
2023-12-20 20:00:00,5.640000274831985,8.597780194846122,9.338482315949076,10.25625857369892
2023-12-21 20:00:00,16.49999966530658,11.119146600716622,11.70086403487081,11.621743409536494
2023-12-22 20:00:00,16.899998636846984,15.195272564135616,15.750471563192232,15.269922184667534
2023-12-23 20:00:00,13.680000560412273,13.58538723195181,14.209021834148373,14.678625139120864
2023-12-24 20:00:00,22.15999938042315,17.014901491337472,17.439149774581892,19.672976277492452
2023-12-25 20:00:00,18.26000001394168,15.447221120983254,15.638058248986598,18.421653136287233
2023-12-26 20:00:00,13.660001098247065,13.652734741969322,14.056243560597322,15.795867895079027
2023-12-27 20:00:00,10.380000532223479,10.190809404526496,10.509051066479625,11.713461211426091
2023-12-28 20:00:00,11.850000160561033,11.689953252941997,12.154896826166132,13.693992666981806
