DATE,ACTUAL_VALUE,D+1,ORDER,MARGINAL_PRICE,RMSE,MAPE,MAE,ACCEPTANCE,REVENUE
2023-12-01 12:00:00,17.99,17.606159036998452,"(2, 0, 3)",17.99,0.1473338848779544,0.02133635147312653,0.38384096300154624,1,17.606159036998452
2023-12-02 12:00:00,12.49,15.95983151831712,"(4, 0, 3)",12.49,12.03973076550689,0.27780876848015373,3.46983151831712,0,0.0
2023-12-03 12:00:00,10.47,11.334785745298204,"(2, 0, 3)",10.47,0.7478543852709686,0.08259653727776534,0.8647857452982031,0,0.0
2023-12-04 12:00:00,10.77,9.47752478170484,"(1, 0, 3)",10.77,1.6704921899071197,0.12000698405711786,1.2924752182951593,1,9.47752478170484
2023-12-05 12:00:00,9.97,9.893130312046926,"(1, 0, 3)",9.97,0.005908948926003026,0.007710099092585191,0.07686968795307436,1,9.893130312046926
2023-12-06 12:00:00,54.48,9.414134901552812,"(1, 0, 3)",54.48,2030.93219707144,0.8272001670052714,45.06586509844718,1,9.414134901552812
2023-12-07 12:00:00,19.39,58.24930557635759,"(1, 0, 3)",19.39,1510.0456298767363,2.0040900245671787,38.85930557635759,0,0.0
2023-12-08 12:00:00,13.94,17.345456032485682,"(4, 0, 4)",13.94,11.597130789193127,0.2442938330334062,3.4054560324856826,0,0.0
2023-12-09 12:00:00,10.98,11.853993933014046,"(4, 0, 4)",10.98,0.7638653949453592,0.07959871885373818,0.8739939330140452,0,0.0
2023-12-10 12:00:00,9.5,11.679485552669382,"(4, 0, 4)",9.5,4.750157274294561,0.22941953185993494,2.179485552669382,0,0.0
2023-12-11 12:00:00,10.53,11.885956457934764,"(4, 0, 4)",10.53,1.8386179158149933,0.12877079372599856,1.3559564579347647,0,0.0
2023-12-12 12:00:00,10.4,11.54564475429843,"(4, 0, 4)",10.4,1.3125019030515077,0.110158149451772,1.145644754298429,0,0.0
2023-12-13 12:00:00,9.86,10.756590445859516,"(4, 0, 4)",9.86,0.803874427606566,0.09093209390055945,0.8965904458595162,0,0.0
2023-12-14 12:00:00,11.7,10.689139251316975,"(4, 0, 4)",11.7,1.021839453228004,0.08639835458829266,1.0108607486830241,1,10.689139251316975
