DATE,ACTUAL_VALUE,D+1,ORDER,MARGINAL_PRICE,RMSE,MAPE,MAE,ACCEPTANCE,REVENUE
2023-12-01,8.77,7.239048649224363,"(4, 0, 0)",13.24,2.3438120384417473,0.17456685869733604,1.530951350775637,1,7.239048649224363
2023-12-02,8.9,8.961827018982884,"(3, 0, 4)",9.84,0.003822580276309872,0.00694685606549256,0.061827018982883786,1,8.961827018982884
2023-12-03,8.2,9.842968502201453,"(3, 0, 4)",9.25,2.6993454992260877,0.20036201246359192,1.6429685022014535,0,0.0
2023-12-04,8.55,11.010660161060583,"(3, 0, 4)",13.26,6.054848428230692,0.28779651006556517,2.4606601610605825,1,11.010660161060583
2023-12-05,9.39,10.955955768396104,"(3, 0, 3)",12.46,2.4522174685730294,0.16676845243834962,1.565955768396103,1,10.955955768396104
2023-12-06,8.74,7.671564052399386,"(3, 0, 3)",10.0,1.141555374125222,0.1222466759268437,1.068435947600614,1,7.671564052399386
2023-12-07,7.61,6.617379109000234,"(3, 0, 3)",9.44,0.9852962332491694,0.1304363851510862,0.992620890999766,1,6.617379109000234
2023-12-08,8.96,12.583685783104324,"(2, 0, 4)",13.0,13.131098654672389,0.4044292168643217,3.6236857831043228,1,12.583685783104324
2023-12-09,8.85,10.121853503652355,"(1, 0, 3)",10.55,1.6176113347527723,0.1437122602997012,1.2718535036523555,1,10.121853503652355
2023-12-10,31.92,20.38708239041911,"(1, 0, 3)",66.31,133.00818858938104,0.36130694265604296,11.532917609580892,1,20.38708239041911
2023-12-11,25.41,24.27726072369783,"(2, 0, 3)",33.92,1.2830982680775669,0.04457848391586664,1.1327392763021713,1,24.27726072369783
2023-12-12,15.38,11.6601645546119,"(2, 0, 2)",17.82,13.837175740765694,0.24186186250897926,3.7198354453881013,1,11.6601645546119
2023-12-13,13.48,11.665390757317445,"(4, 0, 2)",15.8,3.2928067036289583,0.13461492898238545,1.8146092426825557,1,11.665390757317445
2023-12-14,10.75,9.420439434839407,"(2, 0, 3)",12.5,1.767731296430155,0.1236800525730784,1.3295605651605928,1,9.420439434839407
2023-12-15,9.12,8.931966875318292,"(3, 0, 3)",10.1,0.035356455977566564,0.020617667180011793,0.18803312468170752,1,8.931966875318292
2023-12-16,9.27,11.403586765668749,"(1, 0, 2)",12.4,4.552192486636834,0.2301603846460355,2.133586765668749,1,11.403586765668749
2023-12-17,25.89,14.689347969062862,"(1, 0, 2)",36.83,125.45460591813625,0.43262464391414207,11.200652030937139,1,14.689347969062862
2023-12-18,24.42,20.687458040182687,"(4, 0, 2)",29.79,13.931869481796882,0.15284774610226515,3.732541959817315,1,20.687458040182687
2023-12-19,21.12,17.24433874151212,"(1, 0, 2)",25.9,15.020750190543865,0.18350668837537315,3.875661258487881,1,17.24433874151212
2023-12-20,19.22,16.937267350061305,"(4, 0, 4)",20.67,5.210868351096133,0.11876860821741386,2.282732649938694,1,16.937267350061305
2023-12-21,24.19,26.59319595418136,"(3, 0, 4)",32.75,5.775350794193657,0.09934667028447126,2.40319595418136,1,26.59319595418136
2023-12-22,32.96,24.951540102786467,"(1, 0, 4)",45.0,64.1354299252774,0.24297511824070187,8.008459897213534,1,24.951540102786467
2023-12-23,36.07,28.661362850850335,"(3, 0, 4)",40.97,54.88790440776049,0.2053960950693004,7.408637149149666,1,28.661362850850335
2023-12-24,33.49,24.25322616295519,"(1, 0, 4)",37.66,85.31799091671553,0.2758069225752407,9.236773837044812,1,24.25322616295519
2023-12-25,31.81,29.129237450042336,"(1, 0, 4)",38.86,7.186487849255512,0.08427420779495955,2.680762549957663,1,29.129237450042336
2023-12-26,28.48,28.726470988838567,"(3, 0, 3)",32.15,0.06074794833906102,0.008654177978882268,0.246470988838567,1,28.726470988838567
2023-12-27,18.61,17.35970026378536,"(1, 0, 2)",22.31,1.5632494303783973,0.06718429533662759,1.2502997362146395,1,17.35970026378536
2023-12-28,27.25,26.930504559891222,"(1, 0, 2)",39.17,0.10207733625030158,0.011724603306744137,0.31949544010877773,1,26.930504559891222
2023-12-29,29.33,29.417094835129376,"(1, 0, 2)",33.88,0.007585510306213477,0.0029694795475410044,0.08709483512937766,1,29.417094835129376
2023-12-30,26.86,25.36036568675673,"(1, 0, 2)",29.94,2.2489030734566136,0.05583150831136523,1.49963431324327,1,25.36036568675673
