DATE,ACTUAL_VALUE,D+1,ORDER
2023-12-01 16:00:00,64.59,69.003265457797,"(1, 0, 4)"
2023-12-02 16:00:00,43.67,46.00138022940671,"(3, 0, 2)"
2023-12-03 16:00:00,35.0,47.15640425049358,"(4, 0, 4)"
2023-12-04 16:00:00,32.84,33.94720897969643,"(4, 0, 4)"
2023-12-05 16:00:00,33.3,51.13872444103318,"(3, 0, 4)"
2023-12-06 16:00:00,79.0,37.13455017629288,"(4, 0, 4)"
2023-12-07 16:00:00,38.75,68.87922358691286,"(4, 0, 4)"
2023-12-08 16:00:00,29.83,35.95788104127339,"(1, 0, 4)"
2023-12-09 16:00:00,23.98,33.761092937335164,"(1, 0, 3)"
2023-12-10 16:00:00,19.58,23.516865002723573,"(3, 0, 4)"
2023-12-11 16:00:00,20.4,21.77173671361957,"(3, 0, 4)"
2023-12-12 16:00:00,19.81,24.184791230072033,"(3, 0, 4)"
2023-12-13 16:00:00,18.38,24.809127673601953,"(4, 0, 4)"
2023-12-14 16:00:00,18.73,19.953236388342287,"(1, 0, 3)"
2023-12-15 16:00:00,17.72,19.00522813874678,"(3, 0, 4)"
2023-12-16 16:00:00,16.16,17.91987647239947,"(3, 0, 4)"
2023-12-17 16:00:00,14.94,18.00382903039566,"(3, 0, 4)"
2023-12-18 16:00:00,18.54,16.804901096542064,"(3, 0, 4)"
2023-12-19 16:00:00,16.13,17.89758002879471,"(3, 0, 4)"
2023-12-20 16:00:00,14.5,15.787184098554604,"(3, 0, 4)"
2023-12-21 16:00:00,13.01,15.645675587912427,"(3, 0, 4)"
2023-12-22 16:00:00,12.33,13.622453274967564,"(3, 0, 4)"
2023-12-23 16:00:00,15.02,13.171876117831726,"(3, 0, 4)"
2023-12-24 16:00:00,13.0,14.092221022006536,"(3, 0, 4)"
2023-12-25 16:00:00,15.0,13.5259667036451,"(3, 0, 4)"
2023-12-26 16:00:00,13.09,15.650462005292379,"(3, 0, 4)"
2023-12-27 16:00:00,12.81,12.860879905111009,"(3, 0, 4)"
2023-12-28 16:00:00,12.11,12.900057597535172,"(3, 0, 4)"
2023-12-29 16:00:00,11.95,11.741036669912145,"(3, 0, 4)"
2023-12-30 16:00:00,17.02,12.53277698775427,"(3, 0, 4)"
2023-12-31 16:00:00,14.46,15.964018921785412,"(3, 0, 4)"
2024-01-01 16:00:00,11.92,13.94330836418171,"(3, 0, 4)"
2024-01-02 16:00:00,12.31,12.359212499469256,"(3, 0, 4)"
2024-01-03 16:00:00,15.48,11.649344922773228,"(3, 0, 4)"
2024-01-04 16:00:00,18.68,13.95760985236806,"(3, 0, 4)"
2024-01-05 16:00:00,15.09,17.658882993969105,"(3, 0, 4)"
2024-01-06 16:00:00,12.78,15.768411041457213,"(3, 0, 4)"
2024-01-07 16:00:00,11.1,12.545239373860715,"(3, 0, 4)"
