DATE,ACTUAL_VALUE,D+1,ORDER,MARGINAL_PRICE,RMSE,MAPE,MAE,ACCEPTANCE,REVENUE
2023-12-01 04:00:00,9.73,8.96747553742226,"(3, 0, 4)",14.86,0.5814435560294721,0.07836839286513263,0.7625244625777405,1,8.96747553742226
2023-12-02 04:00:00,9.32,9.618386002540316,"(4, 0, 4)",10.53,0.08903420651198907,0.03201566550861752,0.29838600254031533,1,9.618386002540316
2023-12-03 04:00:00,8.3,8.308316859684181,"(3, 0, 4)",9.34,6.917015500634697e-05,0.0010020312872506625,0.0083168596841805,1,8.308316859684181
2023-12-04 04:00:00,8.27,7.512474425455193,"(3, 0, 4)",10.0,0.5738449960894394,0.09159922304048448,0.7575255745448066,1,7.512474425455193
2023-12-05 04:00:00,8.16,8.075121273505976,"(3, 0, 4)",8.92,0.007204398211247304,0.010401804717404883,0.08487872649402384,1,8.075121273505976
2023-12-06 04:00:00,12.17,8.496885583572212,"(3, 0, 4)",30.0,13.49176951616965,0.3018171254254551,3.6731144164277882,1,8.496885583572212
2023-12-07 04:00:00,11.48,13.553432153953295,"(3, 0, 2)",14.9,4.2991208970474,0.18061255696457273,2.073432153953295,1,13.553432153953295
2023-12-08 04:00:00,9.84,11.189150402863914,"(3, 0, 4)",11.19,1.820206809547863,0.1371087807788531,1.3491504028639145,1,11.189150402863914
2023-12-09 04:00:00,8.48,9.361195540923452,"(3, 0, 4)",9.9,0.7765055813433748,0.10391456850512402,0.8811955409234518,1,9.361195540923452
2023-12-10 04:00:00,7.66,7.573130621296375,"(4, 0, 4)",8.91,0.007546288956353815,0.011340649961308746,0.08686937870362499,1,7.573130621296375
2023-12-11 04:00:00,8.94,7.279662408522853,"(4, 0, 4)",13.28,2.756720917672132,0.1857200885321193,1.6603375914771465,1,7.279662408522853
2023-12-12 04:00:00,9.59,9.688951175427452,"(3, 0, 4)",13.75,0.009791335118474319,0.010318162192643554,0.09895117542745169,1,9.688951175427452
2023-12-13 04:00:00,9.97,10.27800018257293,"(3, 0, 4)",11.78,0.09486411246495763,0.030892696346331898,0.30800018257292905,1,10.27800018257293
2023-12-14 04:00:00,10.24,10.508995481504853,"(3, 0, 4)",12.26,0.07235856907002734,0.026269089990708233,0.2689954815048523,1,10.508995481504853
2023-12-15 04:00:00,10.0,9.822854831928025,"(3, 0, 4)",11.64,0.031380410571248386,0.017714516807197534,0.17714516807197533,1,9.822854831928025
2023-12-16 04:00:00,9.31,9.12123397807421,"(3, 0, 4)",9.89,0.035632611033687936,0.020275619970546752,0.18876602192579028,1,9.12123397807421
2023-12-17 04:00:00,8.21,8.578920614096289,"(3, 0, 4)",9.24,0.13610241950518207,0.04493551937835417,0.36892061409628774,1,8.578920614096289
2023-12-18 04:00:00,9.31,8.06376915087987,"(3, 0, 4)",12.42,1.5530913292986834,0.13385938229002484,1.2462308491201313,1,8.06376915087987
2023-12-19 04:00:00,9.51,10.039791414583506,"(3, 0, 4)",10.52,0.2806789429663929,0.05570887640205116,0.5297914145835065,1,10.039791414583506
2023-12-20 04:00:00,8.75,9.995751506629544,"(3, 0, 4)",9.27,1.5518968162697786,0.14237160075766217,1.245751506629544,0,0.0
2023-12-21 04:00:00,7.76,8.757773626478574,"(3, 0, 4)",8.23,0.9955522096962056,0.12857907557713588,0.9977736264785744,0,0.0
